date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.01,0.01,0.01,0.01,2703400,0.01
20140113,0,0.01,0.01,0.01,0.01,2650800,0.01
20140110,0,0.01,0.01,0.01,0.01,3769000,0.01
20140109,0,0.01,0.01,0.01,0.01,5930000,0.01
20140108,0,0.01,0.01,0.01,0.01,2799300,0.01
20140107,0,0.01,0.01,0.01,0.01,7134400,0.01
20140106,0,0.02,0.02,0.01,0.01,1936900,0.01
20140103,0,0.01,0.02,0.01,0.02,7886700,0.02
20140102,0,0.01,0.01,0.01,0.01,1092800,0.01
20140101,0,0.01,0.01,0.01,0.01,0,0.01
20131231,0,0.01,0.01,0.01,0.01,5238600,0.01
20131230,0,0.01,0.01,0.01,0.01,550000,0.01
20131227,0,0.01,0.01,0.01,0.01,1407000,0.01
20131226,0,0.01,0.01,0.01,0.01,0,0.01
20131225,0,0.01,0.01,0.01,0.01,0,0.01
20131224,0,0.01,0.01,0.01,0.01,7852700,0.01
20131223,0,0.01,0.01,0.01,0.01,1600000,0.01
20131220,0,0.01,0.01,0.01,0.01,1966300,0.01
20131219,0,0.01,0.01,0.01,0.01,1723300,0.01
20131218,0,0.01,0.01,0.01,0.01,582600,0.01
20131217,0,0.01,0.01,0.01,0.01,1622200,0.01
20131216,0,0.01,0.01,0.01,0.01,1500000,0.01
20131213,0,0.01,0.01,0.01,0.01,3154700,0.01
20131212,0,0.01,0.01,0.01,0.01,0,0.01
20131211,0,0.01,0.01,0.01,0.01,1601000,0.01
20131210,0,0.01,0.01,0.01,0.01,250000,0.01
20131209,0,0.01,0.01,0.01,0.01,1852700,0.01
20131206,0,0.01,0.01,0.01,0.01,6515200,0.01
20131205,0,0.01,0.01,0.01,0.01,4798000,0.01
20131204,0,0.01,0.01,0.01,0.01,4800000,0.01
20131203,0,0.01,0.01,0.01,0.01,4383600,0.01
20131202,0,0.01,0.01,0.01,0.01,11046300,0.01
20131129,0,0.01,0.01,0.01,0.01,5164000,0.01
20131128,0,0.01,0.01,0.01,0.01,620000,0.01
20131127,0,0.01,0.01,0.01,0.01,3412500,0.01
20131126,0,0.01,0.01,0.01,0.01,7550700,0.01
20131125,0,0.01,0.01,0.01,0.01,4776600,0.01
20131122,0,0.01,0.01,0.01,0.01,4123900,0.01
20131121,0,0.01,0.01,0.01,0.01,4771200,0.01
20131120,0,0.01,0.01,0.01,0.01,4531500,0.01
20131119,0,0.01,0.01,0.01,0.01,9351500,0.01
20131118,0,0.01,0.01,0.01,0.01,1137800,0.01
20131115,0,0.01,0.01,0.01,0.01,1625000,0.01
20131114,0,0.01,0.01,0.01,0.01,2188600,0.01
20131113,0,0.01,0.01,0.01,0.01,2085500,0.01
20131112,0,0.01,0.01,0.01,0.01,4423200,0.01
20131111,0,0.01,0.01,0.01,0.01,1078600,0.01
20131108,0,0.01,0.01,0.01,0.01,16785300,0.01
20131107,0,0.02,0.02,0.01,0.01,19564900,0.01
20131106,0,0.02,0.02,0.01,0.01,3289100,0.01
20131105,0,0.01,0.02,0.01,0.01,4237400,0.01
20131104,0,0.01,0.01,0.01,0.01,3964200,0.01
20131101,0,0.01,0.01,0.01,0.01,4216900,0.01
20131031,0,0.01,0.01,0.01,0.01,6470100,0.01
20131030,0,0.02,0.02,0.01,0.01,3371800,0.01
20131029,0,0.02,0.02,0.02,0.02,5323500,0.02
20131028,0,0.02,0.02,0.01,0.01,7763100,0.01
20131025,0,0.02,0.02,0.02,0.02,11990100,0.02
20131024,0,0.01,0.02,0.01,0.02,11653700,0.02
