date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.08,0.08,0.08,0.08,110200,0.08
20140113,0,0.08,0.08,0.07,0.08,321900,0.08
20140110,0,0.08,0.09,0.08,0.08,128900,0.08
20140109,0,0.08,0.09,0.08,0.08,363500,0.08
20140108,0,0.08,0.08,0.08,0.08,262100,0.08
20140107,0,0.08,0.09,0.08,0.08,1327100,0.08
20140106,0,0.07,0.08,0.07,0.08,426600,0.08
20140103,0,0.08,0.08,0.07,0.07,451200,0.07
20140102,0,0.07,0.08,0.07,0.08,133600,0.08
20131231,0,0.08,0.08,0.07,0.08,481000,0.08
20131230,0,0.07,0.08,0.07,0.07,312300,0.07
20131227,0,0.07,0.08,0.07,0.08,249800,0.08
20131226,0,0.08,0.08,0.07,0.07,226500,0.07
20131224,0,0.08,0.08,0.08,0.08,216500,0.08
20131223,0,0.08,0.08,0.08,0.08,333200,0.08
20131220,0,0.08,0.08,0.08,0.08,141200,0.08
20131219,0,0.08,0.08,0.08,0.08,690000,0.08
20131218,0,0.08,0.08,0.08,0.08,251600,0.08
20131217,0,0.08,0.08,0.07,0.08,422800,0.08
20131216,0,0.08,0.09,0.08,0.08,455700,0.08
20131213,0,0.08,0.09,0.08,0.08,374400,0.08
20131212,0,0.09,0.09,0.08,0.08,1722800,0.08
20131211,0,0.1,0.1,0.09,0.09,160900,0.09
20131210,0,0.11,0.11,0.1,0.1,699800,0.1
20131209,0,0.12,0.12,0.11,0.11,416800,0.11
20131206,0,0.12,0.12,0.12,0.12,130400,0.12
20131205,0,0.12,0.12,0.12,0.12,365300,0.12
20131204,0,0.12,0.13,0.12,0.12,411700,0.12
20131203,0,0.12,0.12,0.11,0.12,489700,0.12
20131202,0,0.12,0.12,0.11,0.11,335600,0.11
20131129,0,0.12,0.13,0.12,0.12,102700,0.12
20131127,0,0.12,0.12,0.12,0.12,60800,0.12
20131126,0,0.12,0.13,0.12,0.12,119400,0.12
20131125,0,0.13,0.13,0.12,0.12,612600,0.12
20131122,0,0.13,0.14,0.12,0.13,224100,0.13
20131121,0,0.14,0.14,0.13,0.14,102600,0.14
20131120,0,0.14,0.14,0.14,0.14,107800,0.14
20131119,0,0.15,0.15,0.14,0.14,65100,0.14
20131118,0,0.15,0.15,0.14,0.14,257300,0.14
20131115,0,0.14,0.15,0.14,0.14,424400,0.14
20131114,0,0.13,0.15,0.13,0.14,738400,0.14
20131113,0,0.13,0.14,0.12,0.13,466700,0.13
20131112,0,0.14,0.14,0.13,0.13,247400,0.13
20131111,0,0.14,0.14,0.14,0.14,284900,0.14
20131108,0,0.14,0.14,0.13,0.14,199100,0.14
20131107,0,0.13,0.13,0.13,0.13,81800,0.13
20131106,0,0.13,0.13,0.13,0.13,101900,0.13
20131105,0,0.13,0.14,0.13,0.13,245800,0.13
20131104,0,0.14,0.14,0.13,0.13,418900,0.13
20131101,0,0.14,0.14,0.13,0.14,88000,0.14
20131031,0,0.14,0.15,0.13,0.14,457200,0.14
20131030,0,0.14,0.15,0.14,0.14,126400,0.14
20131029,0,0.14,0.14,0.14,0.14,423500,0.14
20131028,0,0.17,0.17,0.14,0.15,501400,0.15
20131025,0,0.16,0.17,0.16,0.16,14600,0.16
20131024,0,0.16,0.17,0.14,0.17,143300,0.17
20131023,0,0.16,0.16,0.14,0.16,699800,0.16
20131022,0,0.16,0.16,0.15,0.16,190000,0.16
20131021,0,0.17,0.17,0.15,0.15,780400,0.15
20131018,0,0.17,0.18,0.17,0.17,87200,0.17
20131017,0,0.17,0.18,0.17,0.17,164600,0.17
20131016,0,0.18,0.2,0.17,0.19,297700,0.19
20131015,0,0.19,0.19,0.18,0.18,105300,0.18
20131014,0,0.19,0.19,0.18,0.18,111100,0.18
20131011,0,0.16,0.19,0.16,0.19,630000,0.19
20131010,0,0.15,0.16,0.15,0.16,238700,0.16
20131009,0,0.17,0.17,0.15,0.15,441100,0.15
20131008,0,0.17,0.17,0.16,0.17,372300,0.17
20131007,0,0.18,0.19,0.17,0.18,321100,0.18
