date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,11.03,11.49,11.03,11.41,12523100,11.41
20140113,0,11.52,11.54,10.82,10.98,17451500,10.98
20140110,0,11.5,11.66,11.32,11.56,10324400,11.56
20140109,0,11.88,11.93,11.34,11.44,15323600,11.44
20140108,0,11.89,11.94,11.72,11.78,19495200,11.78
20140107,0,12.05,12.2,11.76,11.88,33201900,11.88
20140106,0,12.28,12.42,11.87,11.89,29973400,11.89
20140103,0,11.63,12.19,11.6,12.08,24248600,12.08
20140102,0,11.82,12.04,11.7,11.85,14573100,11.85
20131231,0,11.45,11.77,11.38,11.77,12239100,11.77
20131230,0,11.67,11.77,11.14,11.33,15958300,11.33
20131227,0,11.98,12.04,11.52,11.71,13967700,11.71
20131226,0,11.9,12.19,11.83,11.99,13378500,11.99
20131224,0,11.75,11.94,11.74,11.84,7947400,11.84
20131223,0,11.73,11.95,11.67,11.82,12095900,11.82
20131220,0,11.64,11.77,11.38,11.68,29312600,11.68
20131219,0,11.4,11.69,11.35,11.65,26813600,11.65
20131218,0,10.77,11.33,10.68,11.27,28532400,11.27
20131217,0,10.33,10.85,10.28,10.67,18400600,10.67
20131216,0,10.26,10.41,10.08,10.36,12825300,10.36
20131213,0,10.29,10.58,10.01,10.24,13476600,10.24
20131212,0,10.2,10.57,10.04,10.4,22018200,10.4
20131211,0,10.4,10.62,10.09,10.14,24469100,10.14
20131210,0,9.75,10.18,9.75,10.04,23837200,10.04
20131209,0,9.09,9.63,9.09,9.62,16814200,9.62
20131206,0,9.15,9.26,8.95,9.09,8037700,9.09
20131205,0,9.12,9.14,8.93,9.09,9618100,9.09
20131204,0,9.07,9.2,8.97,9.09,12418200,9.09
20131203,0,9.14,9.32,9.01,9.09,21551300,9.09
20131202,0,8.72,8.86,8.4,8.75,32278900,8.75
20131129,0,9.14,9.17,8.93,9.05,5336900,9.05
20131127,0,9.25,9.31,9.01,9.1,14051400,9.1
20131126,0,9.06,9.37,9.06,9.19,13109300,9.19
20131125,0,9.11,9.21,8.6,9.07,25194700,9.07
20131122,0,9.53,9.65,9.1,9.12,20060200,9.12
20131121,0,9.28,9.64,9.28,9.53,16948100,9.53
20131120,0,9.85,9.91,9.19,9.22,33714000,9.22
20131119,0,10.2,10.2,9.65,9.82,22496100,9.82
20131118,0,10.71,10.85,10.36,10.41,17670000,10.41
20131115,0,10.82,10.98,10.66,10.71,15210400,10.71
20131114,0,10.39,10.77,10.35,10.72,17116300,10.72
20131113,0,10.12,10.41,10.1,10.3,21225700,10.3
20131112,0,9.96,10.36,9.86,10.28,19142300,10.28
20131111,0,10.18,10.18,9.76,9.99,18174600,9.99
20131108,0,9.75,10.43,9.45,10.11,46081100,10.11
20131107,0,9.73,9.97,9.4,9.5,38688000,9.5
20131106,0,10.31,10.43,9.77,10.01,26516500,10.01
20131105,0,10.6,10.67,10.1,10.28,20770300,10.28
20131104,0,10.27,10.69,10.25,10.57,27008300,10.57
20131101,0,9.19,9.95,9.18,9.93,24210900,9.93
20131031,0,9.12,9.31,8.98,9.14,19223900,9.14
20131030,0,9.44,9.6,9.11,9.14,15066000,9.14
20131029,0,9.34,9.52,8.99,9.44,21027300,9.44
20131028,0,9.77,9.79,9.28,9.36,15376100,9.36
20131025,0,9.8,10.13,9.77,9.8,15763100,9.8
20131024,0,9.7,9.75,9.4,9.65,17560500,9.65
20131023,0,9.78,9.97,9.6,9.7,11203200,9.7
20131022,0,10.1,10.25,9.51,9.87,31704600,9.87
20131021,0,10.67,10.75,10.4,10.6,13385300,10.6
20131018,0,10.76,11.01,10.54,10.65,22342700,10.65
20131017,0,11.35,11.35,10.58,10.67,28540700,10.67
20131016,0,11.3,11.54,11.25,11.45,14693300,11.45
20131015,0,11.09,11.29,10.89,11.18,16274900,11.18
20131014,0,10.82,11.1,10.56,11.01,13099600,11.01
20131011,0,11.09,11.28,10.99,11.12,13201100,11.12
20131010,0,10.6,11.11,10.5,11.1,26134200,11.1
20131009,0,10.56,10.59,9.88,10.26,30584600,10.26
20131008,0,11.09,11.16,10.34,10.53,24341700,10.53
20131007,0,11.24,11.41,11.02,11.03,19870600,11.03
20131004,0,11.41,11.5,11.11,11.45,15341200,11.45
20131003,0,11.98,12.31,11.28,11.3,33246300,11.3
20131002,0,11.53,11.84,11.48,11.77,15783200,11.77
20131001,0,11.21,11.7,11.21,11.7,14063100,11.7
20130930,0,11.27,11.53,10.85,11.21,22946000,11.21
20130927,0,12.05,12.14,11.51,11.64,23463400,11.64
20130926,0,11.75,12.18,11.68,12.11,22620000,12.11
20130925,0,11.93,11.97,11.64,11.7,28852000,11.7
20130924,0,12.14,12.18,11.75,11.81,22163600,11.81
20130923,0,12.19,12.21,11.83,11.94,32670600,11.94
20130920,0,12.37,12.72,12.3,12.64,35390800,12.64
20130919,0,12.03,12.76,11.91,12.59,47198500,12.59
20130918,0,11.45,11.57,11.22,11.55,19752700,11.55
20130917,0,11.2,11.45,11.1,11.36,15975200,11.36
20130916,0,11.36,11.52,11.05,11.24,27019200,11.24
20130913,0,11.85,11.85,11.42,11.69,18292100,11.69
20130912,0,11.72,12.17,11.52,11.76,31735100,11.76
20130911,0,11.09,11.55,11.08,11.53,22352200,11.53
20130910,0,11.25,11.38,10.85,11.2,19410800,11.2
20130909,0,10.9,11.43,10.88,11.1,24769100,11.1
20130906,0,10.82,10.86,10.46,10.77,19786700,10.77
