date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,1.37,1.37,1.37,1.37,10600,1.29
20140113,0,1.4,1.42,1.31,1.35,64700,1.28
20140110,0,1.4,1.4,1.4,1.4,2300,1.32
20140109,0,1.37,1.41,1.35,1.41,44500,1.33
20140108,0,1.43,1.43,1.43,1.43,5100,1.35
20140107,0,1.38,1.38,1.38,1.38,500,1.3
20140106,0,1.42,1.42,1.42,1.42,0,1.34
20140103,0,1.42,1.42,1.42,1.42,200,1.34
20140102,0,1.39,1.44,1.39,1.44,19900,1.36
20131231,0,1.36,1.39,1.35,1.35,6300,1.28
20131230,0,1.4,1.4,1.4,1.4,0,1.32
20131227,0,1.39,1.4,1.39,1.4,9700,1.32
20131224,0,1.35,1.35,1.35,1.35,0,1.28
20131223,0,1.35,1.35,1.35,1.35,0,1.28
20131220,0,1.36,1.41,1.35,1.35,84300,1.28
20131219,0,1.36,1.4,1.35,1.4,7700,1.32
20131218,0,1.41,1.41,1.32,1.33,163800,1.26
20131217,0,1.44,1.44,1.44,1.44,2700,1.36
20131216,0,1.41,1.45,1.4,1.45,4700,1.37
20131213,0,1.42,1.42,1.41,1.41,233500,1.33
20131212,0,1.43,1.43,1.42,1.43,30400,1.35
20131211,0,1.44,1.44,1.44,1.44,0,1.36
20131210,0,1.45,1.45,1.44,1.44,248900,1.34
20131209,0,1.44,1.45,1.44,1.45,4800,1.35
20131206,0,1.42,1.42,1.42,1.42,2800,1.32
20131205,0,1.49,1.51,1.42,1.42,43600,1.32
20131204,0,1.4,1.48,1.4,1.47,43000,1.37
20131203,0,1.4,1.4,1.4,1.4,7800,1.3
20131202,0,1.41,1.45,1.41,1.41,17800,1.31
20131129,0,1.45,1.45,1.45,1.45,1000,1.35
20131128,0,1.42,1.45,1.42,1.45,4200,1.35
20131127,0,1.4,1.42,1.4,1.42,5400,1.32
20131126,0,1.37,1.37,1.37,1.37,53500,1.28
20131125,0,1.4,1.4,1.38,1.38,20900,1.29
20131122,0,1.36,1.4,1.36,1.4,239100,1.3
20131121,0,1.36,1.38,1.35,1.35,49000,1.26
20131120,0,1.42,1.42,1.4,1.4,300,1.3
20131119,0,1.41,1.42,1.38,1.42,18800,1.32
20131118,0,1.41,1.41,1.41,1.41,10000,1.31
20131115,0,1.43,1.43,1.43,1.43,1000,1.33
20131114,0,1.4,1.42,1.4,1.42,43400,1.32
20131113,0,1.43,1.45,1.41,1.41,99500,1.31
20131112,0,1.5,1.5,1.43,1.46,52800,1.36
20131111,0,1.49,1.5,1.48,1.5,14500,1.4
20131108,0,1.41,1.48,1.41,1.47,48100,1.37
20131107,0,1.41,1.41,1.41,1.41,23000,1.31
20131106,0,1.4,1.42,1.4,1.42,11400,1.32
20131105,0,1.43,1.43,1.41,1.43,96100,1.33
20131104,0,1.42,1.43,1.35,1.43,273500,1.33
20131101,0,1.41,1.43,1.35,1.43,36000,1.33
20131031,0,1.41,1.42,1.38,1.41,150900,1.31
20131030,0,1.36,1.41,1.36,1.41,123600,1.31
20131029,0,1.31,1.38,1.31,1.35,435900,1.26
20131028,0,1.42,1.42,1.29,1.32,227800,1.23
20131025,0,1.24,1.45,1.24,1.45,1308300,1.35
20131024,0,1.2,1.24,1.17,1.24,1223000,1.15
20131023,0,1.19,1.2,1.18,1.19,102400,1.11
20131022,0,1.25,1.25,1.17,1.19,101800,1.11
20131021,0,1.26,1.28,1.24,1.25,76900,1.16
20131018,0,1.25,1.25,1.23,1.24,165600,1.15
20131017,0,1.26,1.26,1.24,1.24,68700,1.15
20131016,0,1.25,1.26,1.24,1.24,124500,1.15
20131015,0,1.25,1.26,1.23,1.26,311500,1.17
20131011,0,1.2,1.24,1.2,1.24,12300,1.15
20131010,0,1.19,1.2,1.18,1.19,53300,1.11
20131009,0,1.19,1.2,1.19,1.2,33000,1.12
20131008,0,1.22,1.22,1.2,1.2,16400,1.12
20131007,0,1.22,1.22,1.21,1.21,57800,1.13
20131004,0,1.22,1.23,1.22,1.22,12700,1.14
20131003,0,1.24,1.24,1.21,1.23,31600,1.15
20131002,0,1.24,1.24,1.23,1.24,51400,1.15
20131001,0,1.29,1.29,1.24,1.24,182500,1.15
20130930,0,1.29,1.3,1.27,1.27,91400,1.18
20130927,0,1.29,1.29,1.29,1.29,200,1.2
20130926,0,1.3,1.3,1.25,1.27,32000,1.18
20130925,0,1.26,1.26,1.25,1.25,21600,1.16
20130924,0,1.24,1.26,1.24,1.26,731100,1.17
20130923,0,1.25,1.3,1.23,1.23,70300,1.15
20130920,0,1.25,1.25,1.23,1.23,31800,1.15
20130919,0,1.28,1.28,1.24,1.24,43100,1.15
20130918,0,1.24,1.3,1.22,1.22,186400,1.14
20130917,0,1.19,1.39,1.19,1.25,102500,1.16
20130916,0,1.16,1.23,1.16,1.18,86300,1.1
20130913,0,1.16,1.22,1.12,1.16,520000,1.08
20130912,0,1.21,1.21,1.16,1.16,70700,1.08
20130911,0,1.23,1.23,1.19,1.2,105600,1.12
20130910,0,1.24,1.24,1.2,1.2,12500,1.1
