date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,33.26,33.64,32.82,33.33,83200,33.33
20140113,0,34.22,34.64,32.36,33.02,243100,33.02
20140110,0,33.75,34.62,33.14,34.43,206300,34.43
20140109,0,32.62,33.82,31.64,33.77,263200,33.77
20140108,0,32.16,32.67,31.83,32.42,247700,32.42
20140107,0,31.91,32.56,31.65,32.27,123400,32.27
20140106,0,32.42,32.81,31.52,31.8,127500,31.8
20140103,0,31.46,32.56,31.32,32.16,96600,32.16
20140102,0,32.59,32.59,31.24,31.35,157100,31.35
20131231,0,33.01,33.49,31.69,32.63,460200,32.63
20131230,0,32.7,33.67,32.27,33.23,87900,33.23
20131227,0,33.29,33.57,32.47,32.82,58200,32.82
20131226,0,32.08,33.31,32.04,33.2,127300,33.2
20131224,0,31.55,32.24,31.12,31.82,65100,31.82
20131223,0,31.76,32.14,31.41,31.6,104700,31.6
20131220,0,30.4,32.05,30.04,31.8,213500,31.8
20131219,0,30.98,30.98,29.9,30.33,122500,30.33
20131218,0,30.71,31.32,29.76,31.11,69900,31.11
20131217,0,31.1,31.44,30.24,30.74,58000,30.74
20131216,0,30.37,31.74,30.36,31.1,137200,31.1
20131213,0,30.54,30.61,29.95,30.21,124200,30.21
20131212,0,30.38,31.04,29.54,30.39,55400,30.39
20131211,0,31.63,31.69,30.25,30.46,110700,30.46
20131210,0,31.73,32.29,31.24,31.59,94800,31.59
20131209,0,32.66,32.92,31.7,31.78,86100,31.78
20131206,0,33.02,33.14,32.05,32.69,65400,32.69
20131205,0,32.41,32.77,32.11,32.56,42900,32.56
20131204,0,33.51,33.71,32.32,32.36,94900,32.36
20131203,0,32.95,33.87,32.6,33.75,264100,33.75
20131202,0,33.64,33.74,32.68,33.04,74400,33.04
20131129,0,33.54,33.65,33.47,33.64,32200,33.64
20131127,0,33.1,33.34,32.97,33.22,103600,33.22
20131126,0,32.29,33.18,31.42,33.05,124900,33.05
20131125,0,32.43,32.63,31.59,32.34,102100,32.34
20131122,0,32.65,32.82,32.29,32.43,125800,32.43
20131121,0,31.87,33.21,31.3,32.67,105400,32.67
20131120,0,33.44,33.44,31.57,31.82,70800,31.82
20131119,0,33.43,33.61,32.93,33.28,90700,33.28
20131118,0,33.88,34.27,33.29,33.37,71800,33.37
20131115,0,34.21,34.37,33.74,33.8,71700,33.8
20131114,0,33.66,34.56,33.51,34.28,66700,34.28
20131113,0,33.43,33.91,33.06,33.68,51500,33.68
20131112,0,32.92,33.73,32.57,33.63,67900,33.63
20131111,0,33.08,33.45,32.15,32.96,41600,32.96
20131108,0,31.79,33.2,31.59,33.13,232400,33.13
20131107,0,32.91,33.22,31.59,31.79,76700,31.79
20131106,0,33.54,33.7,32.68,32.8,128100,32.8
