date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,3.25,3.3,3.15,3.23,40900,3.23
20140113,0,3.19,3.25,3.1,3.24,23900,3.24
20140110,0,3.25,3.25,3.18,3.23,29200,3.23
20140109,0,3.3,3.3,3.23,3.25,17500,3.25
20140108,0,3.38,3.38,3.26,3.26,93100,3.26
20140107,0,3.54,3.62,3.33,3.37,96200,3.37
20140106,0,4.17,4.17,3.2,3.44,425200,3.44
20140103,0,4.72,4.72,4.72,4.72,3300,4.72
20140102,0,4.54,4.77,4.54,4.75,15000,4.75
20131231,0,4.55,4.75,4.5,4.61,9000,4.61
20131230,0,4.49,4.6,4.35,4.43,84700,4.43
20131227,0,4.66,4.7,4.6,4.7,1500,4.7
20131226,0,4.6,4.6,4.6,4.6,4800,4.6
20131224,0,4.55,4.55,4.55,4.55,500,4.55
20131223,0,4.73,4.74,4.56,4.6,13900,4.6
20131220,0,4.64,4.68,4.59,4.59,2200,4.59
20131219,0,4.9,4.9,4.55,4.84,33000,4.84
20131218,0,4.95,5,4.5,4.91,12600,4.91
20131217,0,5,5,4.84,4.93,7400,4.93
20131216,0,4.91,5,4.78,4.78,37400,4.78
20131213,0,5,5,5,5,0,5
20131212,0,5,5,5,5,500,5
20131211,0,5,5,4.92,4.92,6400,4.92
20131210,0,4.96,5.01,4.96,5,8900,5
20131209,0,5.1,5.2,5.1,5.2,3800,5.2
20131206,0,5.22,5.22,5.15,5.15,9700,5.15
20131205,0,5.17,5.17,5.17,5.17,0,5.17
20131204,0,5.17,5.17,5.17,5.17,300,5.17
20131203,0,5,5.24,5,5.22,1800,5.22
20131202,0,4.88,5.29,4.88,5.26,1300,5.26
20131129,0,5.1,5.1,5.1,5.1,0,5.1
20131127,0,5.1,5.1,5.1,5.1,0,5.1
20131126,0,5.1,5.1,5.1,5.1,3000,5.1
20131125,0,5.04,5.05,4.91,4.98,23800,4.98
20131122,0,5.47,5.47,5.1,5.17,17100,5.17
20131121,0,5.55,5.55,5.55,5.55,100,5.55
20131120,0,5.4,5.4,5.4,5.4,100,5.4
20131119,0,5.33,5.33,5.31,5.31,800,5.31
20131118,0,5.43,5.43,5.3,5.3,1100,5.3
20131115,0,5.69,5.69,5.2,5.21,6600,5.21
20131114,0,5.7,5.7,4.8,5.2,47000,5.2
20131113,0,5.5,5.5,5.2,5.2,1100,5.2
20131112,0,4.98,5.18,4.82,5.17,17500,5.17
20131111,0,4.95,4.95,4.95,4.95,0,4.95
20131108,0,4.99,5.01,4.95,4.95,3800,4.95
20131107,0,5.24,5.25,4.9,4.9,5800,4.9
20131106,0,5.38,5.38,5.19,5.25,2600,5.25
20131105,0,5.3,5.38,5.1,5.35,500,5.35
20131104,0,4.82,4.82,4.8,4.82,300,4.82
20131101,0,4.99,4.99,4.99,4.99,100,4.99
20131031,0,5.06,5.19,4.96,5,1700,5
20131030,0,5.01,5.01,4.95,4.95,800,4.95
20131029,0,4.92,5.13,4.85,4.92,7500,4.92
20131028,0,4.95,4.95,4.95,4.95,0,4.95
20131025,0,4.95,4.95,4.95,4.95,0,4.95
20131024,0,4.9,4.95,4.87,4.95,900,4.95
20131023,0,4.85,4.85,4.85,4.85,200,4.85
20131022,0,4.88,4.88,4.88,4.88,100,4.88
20131021,0,5,5,4.75,4.85,2700,4.85
20131018,0,5,5,5,5,0,5
20131017,0,4.89,5,4.89,5,200,5
20131016,0,4.86,4.9,4.8,4.86,8900,4.86
20131015,0,4.92,5,4.85,4.9,1900,4.9
20131014,0,5.04,5.1,4.81,4.92,10300,4.92
20131011,0,4.93,5.14,4.88,5.06,6200,5.06
20131010,0,4.75,4.8,4.75,4.78,900,4.78
20131009,0,4.71,4.81,4.7,4.8,13300,4.8
20131008,0,4.8,4.9,4.65,4.8,21300,4.8
20131007,0,4.82,4.82,4.8,4.8,1100,4.8
20131004,0,4.82,4.83,4.8,4.8,18800,4.8
20131003,0,4.75,4.8,4.75,4.8,11700,4.8
20131002,0,4.76,4.9,4.76,4.81,23300,4.81
20131001,0,4.56,4.8,4.56,4.8,5200,4.8
20130930,0,4.6,4.65,4.56,4.61,29400,4.61
20130927,0,4.64,4.75,4.61,4.65,4200,4.65
20130926,0,4.66,4.75,4.66,4.75,1100,4.75
20130925,0,4.6,4.7,4.55,4.6,12900,4.6
20130924,0,4.78,4.78,4.51,4.6,2700,4.6
20130923,0,4.9,4.9,4.85,4.85,3000,4.85
20130920,0,4.55,4.76,4.55,4.55,7200,4.55
20130919,0,4.7,4.87,4.55,4.87,3100,4.87
20130918,0,4.55,4.89,4.55,4.75,1500,4.75
20130917,0,4.85,4.85,4.85,4.85,0,4.85
20130916,0,4.85,4.85,4.85,4.85,400,4.85
20130913,0,4.55,4.66,4.5,4.64,13800,4.64
20130912,0,4.65,4.65,4.65,4.65,0,4.65
20130911,0,4.65,4.65,4.65,4.65,400,4.65
20130910,0,4.54,4.69,4.5,4.52,7100,4.52
20130909,0,4.7,4.92,4.7,4.91,700,4.91
20130906,0,4.52,4.62,4.5,4.5,6900,4.5
20130905,0,4.7,4.7,4.45,4.5,39600,4.5
20130904,0,4.6,4.6,4.51,4.51,3500,4.51
20130903,0,4.49,4.75,4.49,4.75,800,4.75
20130830,0,4.18,4.45,4.18,4.45,200,4.45
20130829,0,4.6,4.67,4.35,4.35,19500,4.35
20130828,0,4.74,4.75,4.58,4.75,7700,4.75
20130827,0,4.88,4.91,4.74,4.75,17900,4.75
20130826,0,4.62,5,4.62,4.88,9700,4.88
20130823,0,4.87,4.9,4.85,4.9,3200,4.9
20130822,0,4.88,5.07,4.86,4.86,1200,4.86
20130821,0,4.92,4.94,4.75,4.94,6100,4.94
20130820,0,5.02,5.05,4.91,5.02,14700,5.02
20130819,0,5.02,5.08,4.57,5.08,2200,5.08
20130816,0,4.98,4.98,4.98,4.98,500,4.98
20130815,0,4.9,5.38,4.9,5.27,6200,5.27
20130814,0,5.1,5.1,4.44,4.9,16500,4.9
