date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,1.86,1.86,1.82,1.83,253800,1.83
20140113,0,1.89,1.92,1.86,1.86,385400,1.86
20140110,0,1.9,1.9,1.86,1.89,1029800,1.89
20140109,0,1.9,1.92,1.89,1.9,161400,1.9
20140108,0,1.9,1.93,1.9,1.9,31500,1.9
20140107,0,1.93,1.94,1.9,1.9,173400,1.9
20140106,0,1.94,1.94,1.93,1.94,75100,1.94
20140103,0,1.94,1.94,1.92,1.94,71200,1.94
20140102,0,1.93,1.94,1.91,1.94,152700,1.94
20140101,0,1.94,1.94,1.94,1.94,0,1.94
20131231,0,1.94,1.94,1.92,1.94,64600,1.94
20131230,0,1.91,1.93,1.9,1.93,69600,1.93
20131227,0,1.94,1.94,1.92,1.94,48900,1.94
20131226,0,1.94,1.94,1.94,1.94,0,1.94
20131225,0,1.94,1.94,1.94,1.94,0,1.94
20131224,0,1.94,1.94,1.93,1.94,86700,1.94
20131223,0,1.94,1.94,1.91,1.91,136200,1.91
20131220,0,1.9,1.94,1.89,1.93,768100,1.93
20131219,0,1.9,1.94,1.88,1.89,114200,1.89
20131218,0,1.89,1.94,1.88,1.88,43200,1.88
20131217,0,1.95,1.95,1.84,1.84,85400,1.84
20131216,0,1.9,1.92,1.85,1.9,133500,1.9
20131213,0,1.83,1.91,1.83,1.88,200900,1.88
20131212,0,1.96,1.96,1.82,1.82,167300,1.82
20131211,0,1.96,1.96,1.92,1.95,46600,1.95
20131210,0,1.96,1.96,1.93,1.96,127500,1.96
20131209,0,2,2,1.91,1.95,168500,1.95
20131206,0,2,2,1.97,2,111900,2
20131205,0,1.99,2,1.98,2,509200,2
20131204,0,1.86,2,1.85,1.99,1690800,1.99
20131203,0,1.84,1.87,1.82,1.86,89900,1.86
20131202,0,1.84,1.9,1.83,1.84,222900,1.84
20131129,0,1.84,1.84,1.82,1.84,98100,1.84
20131128,0,1.85,1.87,1.83,1.84,135200,1.84
20131127,0,1.86,1.88,1.83,1.85,172800,1.85
20131126,0,1.86,1.86,1.83,1.85,84500,1.85
20131125,0,1.88,1.9,1.85,1.86,79300,1.86
20131122,0,1.9,1.9,1.86,1.9,63100,1.9
20131121,0,1.84,1.9,1.84,1.9,67100,1.9
20131120,0,1.88,1.9,1.83,1.86,431000,1.86
20131119,0,1.86,1.91,1.86,1.9,310500,1.9
20131118,0,1.91,1.92,1.84,1.87,70900,1.87
20131115,0,1.84,1.93,1.83,1.92,261100,1.92
20131114,0,1.9,1.9,1.79,1.81,361900,1.81
20131113,0,1.95,1.95,1.86,1.88,149800,1.88
20131112,0,1.97,1.98,1.93,1.95,203400,1.95
20131111,0,2,2.02,1.91,1.94,431800,1.94
20131108,0,1.96,1.99,1.89,1.99,221800,1.99
20131107,0,1.97,1.98,1.96,1.97,658700,1.97
20131106,0,1.85,1.98,1.85,1.97,916400,1.97
20131105,0,1.8,1.89,1.8,1.89,252100,1.89
