date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,5.98,6.2,5.96,6.05,113800,6.05
20140113,0,6.49,6.5,5.9,5.97,519200,5.97
20140110,0,6.53,6.53,6.33,6.41,167200,6.41
20140109,0,6.4,6.54,6.25,6.52,313000,6.52
20140108,0,6.71,6.88,6.41,6.42,272800,6.42
20140107,0,6.43,6.9,6.41,6.55,437200,6.55
20140106,0,6.09,6.61,5.85,6.4,838800,6.4
20140103,0,7.01,7.26,6.39,6.51,4217900,6.51
20140102,0,6.31,6.47,5.4,5.53,1668800,5.53
20131231,0,5.51,6.45,5.3,6.29,2084200,6.29
20131230,0,5.17,5.59,4.95,5.51,1005300,5.51
20131227,0,5,5.55,4.91,5,1003900,5
20131226,0,4.31,5,4.31,4.98,503900,4.98
20131224,0,4.32,4.32,4.25,4.31,27400,4.31
20131223,0,4.48,4.5,4.26,4.3,90700,4.3
20131220,0,4.51,4.6,4.34,4.4,124800,4.4
20131219,0,4,4.51,4,4.46,253100,4.46
20131218,0,3.93,4.22,3.93,4.06,87700,4.06
20131217,0,3.86,3.95,3.83,3.89,75100,3.89
20131216,0,3.98,4.07,3.85,3.93,83700,3.93
20131213,0,3.96,4.2,3.95,4.01,77400,4.01
20131212,0,3.75,4.1,3.73,3.98,107300,3.98
20131211,0,4.07,4.14,3.75,3.75,330800,3.75
20131210,0,4.51,4.62,4.15,4.19,411400,4.19
20131209,0,4.87,4.94,4.55,4.63,192800,4.63
20131206,0,4.81,4.9,4.65,4.76,186700,4.76
20131205,0,4.76,5.07,4.64,4.78,418000,4.78
20131204,0,4.37,5.07,4.35,4.71,763100,4.71
20131203,0,4.06,4.5,4.06,4.33,307900,4.33
20131202,0,4.1,4.49,3.91,4.13,542000,4.13
20131129,0,3.68,4.16,3.62,4.03,526200,4.03
20131127,0,3.53,3.6,3.53,3.58,60100,3.58
20131126,0,3.5,3.66,3.48,3.55,97900,3.55
20131125,0,3.51,3.7,3.45,3.53,104200,3.53
20131122,0,3.52,3.77,3.52,3.56,196500,3.56
20131121,0,3.37,3.55,3.3,3.48,119500,3.48
20131120,0,3.21,3.58,3.21,3.34,285900,3.34
20131119,0,3.11,3.78,3.05,3.4,1023900,3.4
20131118,0,2.8,3.56,2.8,3.32,1125000,3.32
20131115,0,2.68,2.83,2.68,2.77,104700,2.77
20131114,0,2.72,2.73,2.6,2.65,59000,2.65
20131113,0,2.74,2.76,2.65,2.72,139000,2.72
20131112,0,2.8,2.84,2.72,2.78,88600,2.78
20131111,0,2.79,2.82,2.75,2.81,49900,2.81
20131108,0,2.64,2.75,2.62,2.74,87100,2.74
20131107,0,2.48,2.64,2.48,2.59,102200,2.59
20131106,0,2.59,2.59,2.46,2.49,51600,2.49
20131105,0,2.52,2.62,2.52,2.57,44200,2.57
20131104,0,2.59,2.59,2.47,2.56,59300,2.56
20131101,0,2.51,2.59,2.48,2.55,58600,2.55
20131031,0,2.46,2.64,2.46,2.51,93000,2.51
20131030,0,2.51,2.57,2.42,2.46,21000,2.46
20131029,0,2.38,2.56,2.35,2.5,82900,2.5
20131028,0,2.53,2.57,2.35,2.38,140800,2.38
20131025,0,2.66,2.75,2.51,2.55,227200,2.55
20131024,0,2.72,2.87,2.6,2.71,118900,2.71
20131023,0,2.68,2.71,2.55,2.68,88600,2.68
20131022,0,2.8,2.8,2.55,2.76,360000,2.76
20131021,0,2.9,2.92,2.65,2.8,136500,2.8
20131018,0,2.96,2.99,2.86,2.9,118100,2.9
20131017,0,3.11,3.17,2.85,2.85,187400,2.85
20131016,0,3.29,3.29,2.95,3.09,399600,3.09
20131015,0,2.62,3.27,2.5,3.01,1165400,3.01
20131014,0,2.9,3.02,2.68,2.74,424500,2.74
20131011,0,2.78,3.08,2.73,2.94,741500,2.94
20131010,0,2.56,2.76,2.56,2.73,348700,2.73
20131009,0,2.55,2.8,2.5,2.59,428200,2.59
20131008,0,3.07,3.1,2.28,2.46,613900,2.46
20131007,0,2.24,3.33,2.19,2.9,765900,2.9
20131004,0,1.91,2.2,1.85,2.2,248000,2.2
20131003,0,1.88,1.94,1.85,1.88,65700,1.88
20131002,0,1.81,1.86,1.81,1.85,20000,1.85
20131001,0,1.84,1.86,1.8,1.81,6600,1.81
20130930,0,1.8,1.86,1.79,1.86,9400,1.86
20130927,0,1.79,1.84,1.78,1.84,1600,1.84
20130926,0,1.81,1.81,1.81,1.81,400,1.81
20130925,0,1.74,1.8,1.74,1.78,13600,1.78
20130924,0,1.87,1.87,1.71,1.76,25100,1.76
20130923,0,1.86,1.88,1.85,1.88,14500,1.88
20130920,0,1.87,1.88,1.82,1.82,3400,1.82
20130919,0,1.91,1.91,1.79,1.81,45400,1.81
20130918,0,1.85,1.91,1.83,1.85,27900,1.85
20130917,0,1.85,1.85,1.84,1.84,400,1.84
20130916,0,1.88,1.9,1.84,1.84,44900,1.84
20130913,0,1.9,1.95,1.86,1.91,19600,1.91
20130912,0,1.82,1.97,1.82,1.86,65900,1.86
20130911,0,1.82,1.82,1.78,1.78,6700,1.78
20130910,0,1.83,1.83,1.78,1.79,63900,1.79
20130909,0,1.78,1.9,1.78,1.88,65200,1.88
20130906,0,1.84,1.86,1.7,1.78,107500,1.78
20130905,0,1.7,1.85,1.7,1.8,85300,1.8
20130904,0,1.66,1.72,1.65,1.72,25300,1.72
20130903,0,1.61,1.62,1.61,1.61,5000,1.61
20130830,0,1.62,1.64,1.61,1.62,13200,1.62
20130829,0,1.62,1.65,1.62,1.64,2600,1.64
20130828,0,1.7,1.7,1.62,1.67,5500,1.67
20130827,0,1.7,1.72,1.63,1.71,52200,1.71
20130826,0,1.76,1.78,1.69,1.76,11000,1.76
20130823,0,1.65,1.85,1.63,1.78,41400,1.78
20130822,0,1.69,1.69,1.65,1.65,2400,1.65
20130821,0,1.82,1.82,1.67,1.69,87600,1.69
20130820,0,1.83,1.84,1.79,1.81,13000,1.81
20130819,0,1.8,1.96,1.7,1.84,125100,1.84
20130816,0,1.85,1.88,1.79,1.82,34800,1.82
20130815,0,1.88,1.88,1.8,1.84,123700,1.84
20130814,0,1.99,1.99,1.82,1.88,128300,1.88
20130813,0,1.65,2.1,1.62,2,456100,2
20130812,0,1.48,1.65,1.48,1.65,87400,1.65
20130809,0,1.51,1.51,1.48,1.48,17500,1.48
20130808,0,1.41,1.53,1.33,1.52,60800,1.52
20130807,0,1.44,1.48,1.39,1.41,23300,1.41
20130806,0,1.46,1.52,1.46,1.46,73200,1.46
20130805,0,1.35,1.47,1.32,1.46,59200,1.46
20130802,0,1.31,1.31,1.27,1.3,3900,1.3
20130801,0,1.28,1.3,1.25,1.3,28300,1.3
20130731,0,1.25,1.25,1.25,1.25,12400,1.25
20130730,0,1.26,1.26,1.25,1.25,900,1.25
20130729,0,1.28,1.3,1.25,1.25,6300,1.25
20130726,0,1.26,1.26,1.26,1.26,200,1.26
20130725,0,1.28,1.32,1.25,1.25,15100,1.25
20130724,0,1.31,1.32,1.28,1.28,13300,1.28
20130723,0,1.32,1.32,1.29,1.29,5200,1.29
20130722,0,1.31,1.33,1.28,1.29,26900,1.29
20130719,0,1.31,1.37,1.31,1.34,13500,1.34
20130718,0,1.34,1.34,1.33,1.33,500,1.33
20130717,0,1.25,1.36,1.25,1.36,50800,1.36
20130716,0,1.27,1.27,1.25,1.25,3300,1.25
20130715,0,1.25,1.25,1.25,1.25,1000,1.25
20130712,0,1.25,1.25,1.25,1.25,21600,1.25
20130711,0,1.21,1.3,1.2,1.26,80800,1.26
20130710,0,1.18,1.23,1.17,1.18,13900,1.18
20130709,0,1.14,1.15,1.14,1.15,2000,1.15
20130708,0,1.23,1.23,1.15,1.16,39200,1.16
20130705,0,1.22,1.26,1.22,1.24,9600,1.24
20130703,0,1.29,1.3,1.27,1.27,600,1.27
20130702,0,1.25,1.26,1.25,1.25,300,1.25
20130701,0,1.25,1.31,1.25,1.26,12400,1.26
20130628,0,1.22,1.25,1.22,1.25,700,1.25
20130627,0,1.25,1.26,1.23,1.26,3200,1.26
20130626,0,1.27,1.27,1.22,1.26,22500,1.26
20130625,0,1.29,1.31,1.27,1.28,18700,1.28
20130624,0,1.3,1.3,1.29,1.29,9700,1.29
20130621,0,1.32,1.34,1.3,1.31,21300,1.31
20130620,0,1.4,1.4,1.32,1.32,80600,1.32
20130619,0,1.44,1.45,1.4,1.41,15200,1.41
20130618,0,1.46,1.46,1.46,1.46,400,1.46
20130617,0,1.41,1.47,1.41,1.46,14800,1.46
20130614,0,1.43,1.44,1.4,1.41,27700,1.41
20130613,0,1.44,1.47,1.43,1.47,8600,1.47
20130612,0,1.43,1.48,1.43,1.45,6000,1.45
20130611,0,1.46,1.49,1.45,1.45,45800,1.45
20130610,0,1.56,1.57,1.43,1.46,37700,1.46
20130607,0,1.5,1.56,1.46,1.56,26200,1.56
20130606,0,1.54,1.54,1.47,1.47,4700,1.47
20130605,0,1.54,1.54,1.49,1.49,35100,1.49
20130604,0,1.54,1.54,1.52,1.54,41500,1.54
20130603,0,1.51,1.54,1.51,1.54,1900,1.54
20130531,0,1.52,1.54,1.52,1.52,93800,1.52
20130530,0,1.54,1.54,1.49,1.54,2000,1.54
20130529,0,1.49,1.55,1.47,1.54,10200,1.54
20130528,0,1.6,1.6,1.43,1.53,28800,1.53
20130524,0,1.62,1.62,1.52,1.54,12700,1.54
20130523,0,1.4,1.74,1.4,1.62,104900,1.62
20130522,0,1.4,1.44,1.4,1.43,12600,1.43
20130521,0,1.4,1.43,1.37,1.42,72400,1.42
20130520,0,1.33,1.41,1.33,1.41,45200,1.41
20130517,0,1.35,1.4,1.35,1.4,145400,1.4
20130516,0,1.39,1.4,1.34,1.34,34600,1.34
20130515,0,1.35,1.36,1.34,1.36,10100,1.36
20130514,0,1.31,1.34,1.31,1.34,20900,1.34
20130513,0,1.31,1.31,1.31,1.31,500,1.31
20130510,0,1.35,1.35,1.31,1.31,5300,1.31
20130509,0,1.32,1.32,1.32,1.32,0,1.32
20130508,0,1.34,1.35,1.31,1.32,5300,1.32
20130507,0,1.3,1.33,1.29,1.32,20000,1.32
20130506,0,1.27,1.31,1.25,1.25,11200,1.25
20130503,0,1.33,1.33,1.28,1.28,2200,1.28
20130502,0,1.36,1.36,1.3,1.3,3200,1.3
20130501,0,1.35,1.38,1.35,1.35,2200,1.35
20130430,0,1.34,1.45,1.34,1.36,45200,1.36
20130429,0,1.35,1.38,1.32,1.32,42600,1.32
20130426,0,1.33,1.33,1.32,1.32,1200,1.32
20130425,0,1.37,1.37,1.33,1.35,11500,1.35
20130424,0,1.37,1.37,1.35,1.37,26600,1.37
20130423,0,1.37,1.37,1.36,1.37,1800,1.37
20130422,0,1.38,1.38,1.31,1.33,2600,1.33
20130419,0,1.36,1.46,1.35,1.46,22900,1.46
20130418,0,1.35,1.36,1.32,1.35,11600,1.35
20130417,0,1.33,1.35,1.31,1.32,7600,1.32
20130416,0,1.26,1.37,1.26,1.34,54400,1.34
20130415,0,1.34,1.35,1.24,1.29,39700,1.29
20130412,0,1.25,1.35,1.25,1.35,71000,1.35
20130411,0,1.35,1.39,1.35,1.36,4000,1.36
20130410,0,1.32,1.4,1.32,1.35,22500,1.35
20130409,0,1.35,1.38,1.35,1.35,23600,1.35
20130408,0,1.35,1.37,1.35,1.35,2900,1.35
20130405,0,1.32,1.36,1.32,1.34,24400,1.34
20130404,0,1.33,1.37,1.33,1.35,12100,1.35
20130403,0,1.35,1.37,1.32,1.37,26300,1.37
20130402,0,1.31,1.36,1.31,1.36,6900,1.36
20130401,0,1.35,1.36,1.33,1.33,12500,1.33
20130328,0,1.35,1.36,1.35,1.35,28000,1.35
20130327,0,1.31,1.35,1.31,1.35,11600,1.35
20130326,0,1.35,1.35,1.35,1.35,9400,1.35
20130325,0,1.35,1.43,1.35,1.36,3500,1.36
20130322,0,1.35,1.35,1.35,1.35,3400,1.35
20130321,0,1.35,1.35,1.35,1.35,1200,1.35
20130320,0,1.35,1.35,1.32,1.32,10200,1.32
20130319,0,1.35,1.37,1.31,1.37,17500,1.37
20130318,0,1.35,1.37,1.35,1.35,4000,1.35
20130315,0,1.36,1.37,1.32,1.32,22200,1.32
20130314,0,1.37,1.39,1.35,1.35,33600,1.35
20130313,0,1.38,1.38,1.38,1.38,1600,1.38
20130312,0,1.37,1.37,1.36,1.37,2500,1.37
20130311,0,1.36,1.41,1.35,1.38,7900,1.38
20130308,0,1.36,1.4,1.36,1.36,2800,1.36
20130307,0,1.39,1.4,1.36,1.36,3200,1.36
20130306,0,1.35,1.38,1.35,1.35,15600,1.35
20130305,0,1.42,1.42,1.35,1.35,14300,1.35
20130304,0,1.43,1.43,1.37,1.37,14700,1.37
20130301,0,1.45,1.45,1.43,1.44,7800,1.44
