date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,214.9,216.98,212.56,216.22,1363100,216.22
20140113,0,219.17,220.34,211.03,213.54,2471300,213.54
20140110,0,216.2,218.79,215.59,218.75,2241000,218.75
20140109,0,209.01,215.28,209.01,215.25,2380100,215.25
20140108,0,211.9,212.58,207.55,209.06,2247300,209.06
20140107,0,199.63,210,198.6,209.64,3766800,209.64
20140106,0,207.73,208.14,202.55,203.92,2079300,203.92
20140103,0,208.41,209.58,205.55,207.42,1989300,207.42
20140102,0,213.98,214,206.28,207.64,3574800,207.64
20131231,0,215.43,217.49,213.25,216.83,1004900,216.83
20131230,0,215.1,216.12,210.27,214.65,1096500,214.65
20131227,0,220.15,220.86,215.95,216.35,1035200,216.35
20131226,0,221.34,221.81,218,220.5,639200,220.5
20131224,0,220.32,222.5,218.5,220.3,505100,220.3
20131223,0,219.42,221.35,218.05,220.02,1307900,220.02
20131220,0,219.32,222,216.75,218.66,2733200,218.66
20131219,0,215.67,220.14,215,219.07,2492200,219.07
20131218,0,217.67,218.44,207.33,215.42,5582200,215.42
20131217,0,229.02,229.48,223.39,223.58,1481900,223.58
20131216,0,230.12,231.73,225.72,228.09,1475400,228.09
20131213,0,232,235.49,228.83,229.3,1571600,229.3
20131212,0,231.9,233.85,228.87,231.74,1205700,231.74
20131211,0,237.11,237.11,230.52,231.41,1143700,231.41
20131210,0,233.79,239.17,233,236.98,1618500,236.98
20131209,0,233.24,237.65,231.7,234.81,1735100,234.81
20131206,0,232.15,235.08,228.01,232.99,2656600,232.99
20131205,0,219.18,227.32,218.03,226.44,1663000,226.44
20131204,0,214.76,221.26,214.76,219.02,1387800,219.02
20131203,0,219.25,221.74,215,216.43,1449400,216.43
20131202,0,223.16,223.83,219.28,220.39,1295400,220.39
20131129,0,223.73,226.69,222.54,224.03,768700,224.03
20131127,0,222.28,225.34,219.61,223.13,1235600,223.13
20131126,0,216.89,223.44,214.31,222.93,1673500,222.93
20131125,0,220.19,220.7,212.01,216.62,1867700,216.62
20131122,0,221,222,216,220.25,1651400,220.25
20131121,0,217.12,221.77,216.17,220.61,1015100,220.61
20131120,0,221.08,223.31,214.32,216.19,1192400,216.19
20131119,0,221.34,225.3,220,221.38,1735500,221.38
20131118,0,227.62,231.48,221.01,222.07,2788700,222.07
20131115,0,225.5,233,224.88,231.06,3458100,231.06
20131114,0,220.5,223.81,217.48,221.44,2062600,221.44
20131113,0,208.5,220.99,208.23,220.77,2826800,220.77
20131112,0,212.79,214.79,208,209.28,1781700,209.28
20131111,0,212.67,216.75,210.13,211.66,2115800,211.66
20131108,0,212.52,216.46,208.35,215.17,2057400,215.17
20131107,0,220.66,221.99,210.74,211.47,3449300,211.47
20131106,0,226.99,229.27,220.2,220.78,2104200,220.78
20131105,0,221.21,227.5,221.01,224.54,2056800,224.54
20131104,0,219.9,225.23,216.39,223.72,2620400,223.72
20131101,0,225.2,226.2,219.01,219.9,2756900,219.9
20131031,0,221.71,227.43,218,223.67,3326900,223.67
20131030,0,241.59,242.7,222.22,224.11,8941600,224.11
20131029,0,244.1,248,238.32,247.14,4073100,247.14
20131028,0,241.37,246.88,238.5,243,2128300,243
20131025,0,245.82,246.46,238.88,240.7,1567700,240.7
20131024,0,241.91,245.26,240.25,243.29,1262000,243.29
20131023,0,241,242.59,235.25,240.83,1942800,240.83
20131022,0,251.5,252.32,238.45,244.95,2693500,244.95
20131021,0,251.01,253.66,246.32,249.79,1541400,249.79
20131018,0,246.6,252.3,244.5,250.21,2518600,250.21
20131017,0,239,241.42,237.22,240,2013300,240
20131016,0,236.76,240.37,236.76,238.92,1748700,238.92
20131015,0,228.3,236.9,227.1,235.45,2539500,235.45
20131014,0,223.2,230,221.06,228.5,1574200,228.5
20131011,0,226.99,228.89,223.26,226.62,1724700,226.62
20131010,0,225.44,228.75,223.19,227.55,2272200,227.55
20131009,0,221.03,226,213.5,221.83,4483000,221.83
20131008,0,237.34,237.36,217.74,222.73,6431600,222.73
20131007,0,242.56,243.7,237.1,237.21,2250100,237.21
20131004,0,245.93,246.68,242.88,244.99,1731900,244.99
20131003,0,250.52,254.2,242.57,245.07,1863400,245.07
20131002,0,248.61,253.56,248.42,251.19,1450500,251.19
20131001,0,247.71,251.3,243.72,251,1224300,251
