date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,1.67,1.68,1.54,1.59,262200,1.59
20140113,0,1.62,1.73,1.61,1.63,342200,1.63
20140110,0,1.66,1.66,1.62,1.63,23100,1.63
20140109,0,1.65,1.66,1.59,1.63,52900,1.63
20140108,0,1.65,1.65,1.58,1.62,71400,1.62
20140107,0,1.58,1.63,1.58,1.58,17500,1.58
20140106,0,1.6,1.61,1.56,1.57,83100,1.57
20140103,0,1.67,1.67,1.57,1.61,105500,1.61
20140102,0,1.6,1.67,1.58,1.67,169100,1.67
20131231,0,1.58,1.64,1.57,1.58,104100,1.58
20131230,0,1.62,1.66,1.58,1.6,85100,1.6
20131227,0,1.65,1.66,1.61,1.64,53000,1.64
20131226,0,1.61,1.69,1.57,1.64,349700,1.64
20131224,0,1.6,1.61,1.57,1.6,21100,1.6
20131223,0,1.6,1.6,1.57,1.6,77300,1.6
20131220,0,1.59,1.6,1.57,1.59,70100,1.59
20131219,0,1.63,1.65,1.56,1.6,102200,1.6
20131218,0,1.63,1.63,1.6,1.61,33000,1.61
20131217,0,1.62,1.65,1.61,1.61,28700,1.61
20131216,0,1.61,1.62,1.6,1.61,72500,1.61
20131213,0,1.65,1.66,1.6,1.62,43400,1.62
20131212,0,1.64,1.64,1.6,1.63,70300,1.63
20131211,0,1.65,1.65,1.61,1.61,40300,1.61
20131210,0,1.59,1.65,1.59,1.62,53700,1.62
20131209,0,1.63,1.65,1.6,1.63,55800,1.63
20131206,0,1.6,1.63,1.6,1.63,35500,1.63
20131205,0,1.61,1.65,1.59,1.61,19900,1.61
20131204,0,1.58,1.65,1.58,1.58,40900,1.58
20131203,0,1.61,1.64,1.57,1.58,72300,1.58
20131202,0,1.62,1.65,1.58,1.6,95100,1.6
20131129,0,1.59,1.62,1.58,1.59,70100,1.59
20131127,0,1.62,1.7,1.58,1.61,86400,1.61
20131126,0,1.6,1.69,1.59,1.64,51000,1.64
20131125,0,1.68,1.71,1.6,1.61,103600,1.61
20131122,0,1.69,1.75,1.66,1.69,48500,1.69
20131121,0,1.69,1.71,1.67,1.7,36900,1.7
20131120,0,1.73,1.73,1.68,1.68,72700,1.68
20131119,0,1.72,1.75,1.71,1.74,13900,1.74
20131118,0,1.75,1.77,1.7,1.71,119800,1.71
20131115,0,1.75,1.8,1.75,1.77,31900,1.77
20131114,0,1.8,1.8,1.76,1.77,77800,1.77
20131113,0,1.82,1.82,1.76,1.79,71900,1.79
20131112,0,1.78,1.84,1.77,1.8,45000,1.8
20131111,0,1.84,1.86,1.75,1.78,52200,1.78
20131108,0,1.9,1.93,1.81,1.83,252600,1.83
20131107,0,2,2,1.92,1.98,174200,1.98
20131106,0,2.06,2.07,1.97,2.01,194000,2.01
20131105,0,1.94,2.05,1.94,2.02,161600,2.02
20131104,0,1.92,1.98,1.9,1.96,44800,1.96
20131101,0,1.96,1.98,1.89,1.95,79000,1.95
20131031,0,1.97,2.01,1.85,1.98,84600,1.98
20131030,0,2.04,2.05,1.91,1.95,136100,1.95
20131029,0,1.93,2.05,1.9,2.03,369100,2.03
20131028,0,1.93,1.93,1.88,1.89,27100,1.89
20131025,0,1.91,1.95,1.9,1.93,60100,1.93
20131024,0,1.95,1.95,1.86,1.9,67400,1.9
20131023,0,1.98,1.98,1.94,1.96,93900,1.96
20131022,0,1.98,1.99,1.92,1.96,77800,1.96
20131021,0,1.92,1.98,1.9,1.97,230400,1.97
20131018,0,1.88,1.99,1.82,1.9,539900,1.9
20131017,0,1.89,1.91,1.82,1.87,115600,1.87
20131016,0,1.87,1.94,1.86,1.89,95200,1.89
20131015,0,1.88,1.9,1.85,1.88,64400,1.88
20131014,0,1.87,1.88,1.82,1.88,45100,1.88
20131011,0,1.85,1.92,1.85,1.88,84100,1.88
20131010,0,1.82,1.88,1.82,1.87,42600,1.87
20131009,0,1.83,1.89,1.78,1.8,62700,1.8
20131008,0,1.8,1.93,1.79,1.81,184800,1.81
20131007,0,1.81,1.83,1.71,1.78,159700,1.78
20131004,0,1.89,1.89,1.82,1.84,31100,1.84
20131003,0,1.9,1.9,1.81,1.81,113500,1.81
20131002,0,1.91,1.93,1.88,1.89,131800,1.89
20131001,0,1.96,1.96,1.91,1.93,107300,1.93
20130930,0,1.98,1.98,1.92,1.95,54900,1.95
20130927,0,1.91,1.97,1.91,1.95,118000,1.95
20130926,0,1.95,2.01,1.93,1.93,131300,1.93
20130925,0,1.97,1.98,1.95,1.96,36000,1.96
20130924,0,2,2,1.95,1.96,116900,1.96
20130923,0,2.01,2.03,1.98,1.99,76300,1.99
20130920,0,2.02,2.04,1.97,2.01,91600,2.01
20130919,0,2,2.04,1.98,2.01,102600,2.01
20130918,0,2.03,2.04,1.95,2,128500,2
20130917,0,1.95,2.03,1.95,2.02,68500,2.02
20130916,0,2.06,2.1,1.94,1.94,515900,1.94
20130913,0,2.02,2.08,1.96,1.97,295700,1.97
20130912,0,2.04,2.09,2,2.01,154600,2.01
20130911,0,2,2.15,1.98,2.03,418800,2.03
20130910,0,2.04,2.08,1.95,1.98,249500,1.98
20130909,0,2.03,2.1,1.9,2.04,698700,2.04
20130906,0,1.97,2.02,1.85,1.9,592100,1.9
20130905,0,2,2.3,1.93,1.95,3743600,1.95
20130904,0,1.62,1.64,1.6,1.64,27800,1.64
20130903,0,1.58,1.65,1.55,1.63,37700,1.63
20130830,0,1.58,1.58,1.52,1.55,129200,1.55
20130829,0,1.63,1.68,1.58,1.59,24500,1.59
20130828,0,1.59,1.61,1.54,1.57,27400,1.57
20130827,0,1.59,1.67,1.55,1.58,89500,1.58
20130826,0,1.61,1.69,1.58,1.65,224200,1.65
20130823,0,1.52,1.6,1.51,1.6,52400,1.6
20130822,0,1.52,1.53,1.5,1.52,49800,1.52
20130821,0,1.46,1.52,1.46,1.5,97300,1.5
20130820,0,1.57,1.63,1.47,1.53,86100,1.53
20130819,0,1.52,1.62,1.52,1.56,43100,1.56
20130816,0,1.55,1.6,1.55,1.56,30800,1.56
20130815,0,1.62,1.68,1.51,1.55,103400,1.55
20130814,0,1.67,1.68,1.55,1.57,204800,1.57
20130813,0,1.66,1.7,1.65,1.67,59500,1.67
20130812,0,1.72,1.74,1.64,1.66,80800,1.66
20130809,0,1.75,1.79,1.68,1.69,75000,1.69
20130808,0,1.68,1.79,1.68,1.79,141100,1.79
20130807,0,1.69,1.74,1.68,1.7,35000,1.7
20130806,0,1.73,1.77,1.64,1.7,51400,1.7
20130805,0,1.75,1.76,1.71,1.75,33900,1.75
20130802,0,1.75,1.78,1.75,1.75,28700,1.75
20130801,0,1.73,1.8,1.72,1.77,100600,1.77
20130731,0,1.76,1.77,1.66,1.74,74600,1.74
20130730,0,1.75,1.78,1.68,1.76,100600,1.76
20130729,0,1.73,1.8,1.71,1.74,110200,1.74
20130726,0,1.68,1.73,1.68,1.72,85700,1.72
20130725,0,1.64,1.68,1.59,1.67,129900,1.67
20130724,0,1.62,1.68,1.61,1.67,116600,1.67
20130723,0,1.6,1.63,1.58,1.62,63000,1.62
20130722,0,1.6,1.63,1.58,1.6,40700,1.6
20130719,0,1.55,1.64,1.55,1.6,49100,1.6
20130718,0,1.61,1.64,1.58,1.6,80100,1.6
20130717,0,1.6,1.64,1.55,1.59,112900,1.59
20130716,0,1.58,1.63,1.58,1.6,48500,1.6
20130715,0,1.61,1.63,1.59,1.61,34500,1.61
20130712,0,1.64,1.64,1.59,1.61,24200,1.61
20130711,0,1.58,1.65,1.58,1.62,93900,1.62
20130710,0,1.48,1.55,1.48,1.55,29700,1.55
20130709,0,1.47,1.48,1.44,1.46,82900,1.46
20130708,0,1.5,1.52,1.44,1.44,123100,1.44
20130705,0,1.5,1.55,1.5,1.5,38400,1.5
20130703,0,1.51,1.55,1.47,1.51,147900,1.51
20130702,0,1.63,1.65,1.5,1.5,198600,1.5
20130701,0,1.68,1.7,1.63,1.65,33600,1.65
20130628,0,1.67,1.7,1.66,1.68,409200,1.68
20130627,0,1.7,1.7,1.65,1.69,90500,1.69
20130626,0,1.72,1.72,1.64,1.7,58000,1.7
20130625,0,1.72,1.72,1.68,1.72,32600,1.72
20130624,0,1.66,1.7,1.62,1.69,63200,1.69
20130621,0,1.7,1.71,1.67,1.67,12600,1.67
20130620,0,1.69,1.72,1.66,1.68,53900,1.68
20130619,0,1.71,1.75,1.7,1.73,47400,1.73
20130618,0,1.71,1.74,1.63,1.73,77900,1.73
20130617,0,1.68,1.71,1.67,1.69,32400,1.69
20130614,0,1.67,1.7,1.66,1.7,37100,1.7
20130613,0,1.6,1.67,1.6,1.66,41400,1.66
20130612,0,1.59,1.63,1.58,1.63,49400,1.63
20130611,0,1.64,1.69,1.56,1.6,138900,1.6
20130610,0,1.65,1.74,1.58,1.64,138800,1.64
20130607,0,1.62,1.64,1.62,1.63,49000,1.63
20130606,0,1.61,1.64,1.61,1.63,23200,1.63
20130605,0,1.63,1.64,1.6,1.61,8600,1.61
20130604,0,1.61,1.64,1.59,1.62,44600,1.62
20130603,0,1.62,1.64,1.6,1.63,93600,1.63
20130531,0,1.65,1.66,1.6,1.63,27300,1.63
20130530,0,1.61,1.66,1.59,1.66,43500,1.66
20130529,0,1.58,1.61,1.58,1.58,67800,1.58
20130528,0,1.64,1.64,1.53,1.59,147700,1.59
20130524,0,1.68,1.69,1.62,1.65,61200,1.65
20130523,0,1.74,1.78,1.63,1.66,166700,1.66
20130522,0,1.79,1.82,1.7,1.77,143500,1.77
20130521,0,1.8,1.8,1.73,1.77,77700,1.77
20130520,0,1.81,1.84,1.8,1.83,37100,1.83
20130517,0,1.82,1.84,1.8,1.81,27500,1.81
20130516,0,1.8,1.83,1.75,1.83,55100,1.83
20130515,0,1.75,1.81,1.7,1.8,118300,1.8
20130514,0,1.78,1.84,1.76,1.77,95800,1.77
20130513,0,1.7,1.78,1.7,1.77,95600,1.77
