date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,4.99,4.99,4.75,4.98,8200,4.98
20140113,0,5.16,5.22,4.76,4.95,11000,4.95
20140110,0,5.07,5.12,4.96,5.11,16400,5.11
20140109,0,5.04,5.14,4.75,5.1,23300,5.1
20140108,0,5.34,5.36,5,5.1,50800,5.1
20140107,0,5,5,4.91,4.95,25600,4.95
20140106,0,4.99,4.99,4.61,4.9,4400,4.9
20140103,0,5.1,5.25,4.85,4.95,21400,4.95
20140102,0,4.7,5.23,4.7,5.01,30400,5.01
20131231,0,4.69,4.91,4.62,4.66,16200,4.66
20131230,0,4.71,4.85,4.69,4.76,2100,4.76
20131227,0,4.62,4.76,4.62,4.76,5500,4.76
20131226,0,4.9,4.9,4.54,4.62,24800,4.62
20131224,0,4.86,5,4.61,4.61,4400,4.61
20131223,0,4.74,4.87,4.6,4.6,31100,4.6
20131220,0,4.9,5.12,4.73,4.73,29300,4.73
20131219,0,5,5.3,4.8,5.07,38700,5.07
20131218,0,4.86,4.9,4.75,4.86,164800,4.86
20131217,0,5,5,4.77,4.77,212900,4.77
20131216,0,4.67,4.89,4.65,4.72,17600,4.72
20131213,0,4.82,4.96,4.65,4.67,5700,4.67
20131212,0,4.99,4.99,4.76,4.88,9800,4.88
20131211,0,4.96,4.96,4.79,4.82,2900,4.82
20131210,0,4.8,4.85,4.76,4.77,5600,4.77
20131209,0,4.76,5,4.65,4.85,5300,4.85
20131206,0,4.69,4.95,4.69,4.8,1400,4.8
20131205,0,4.93,5.1,4.7,4.7,42200,4.7
20131204,0,4.75,4.96,4.67,4.95,27000,4.95
20131203,0,4.87,4.94,4.63,4.94,22200,4.94
20131202,0,5.06,5.06,4.87,4.95,23200,4.95
20131129,0,5.07,5.16,5.03,5.15,6700,5.15
20131127,0,4.97,5.64,4.97,5.2,13000,5.2
20131126,0,4.95,5.1,4.9,5.02,12200,5.02
20131125,0,5.78,5.78,5,5.22,69200,5.22
20131122,0,5.62,5.69,5.2,5.65,110900,5.65
20131121,0,5.6,6.1,5.12,5.59,200100,5.59
20131120,0,4.3,5.8,4.3,5.55,221400,5.55
20131119,0,3.97,4.6,3.97,4.32,75700,4.32
20131118,0,4.08,4.09,3.85,4.03,25900,4.03
20131115,0,3.85,4.08,3.85,4.08,15900,4.08
20131114,0,3.76,4,3.76,3.99,4100,3.99
20131113,0,3.78,3.81,3.73,3.75,2100,3.75
20131112,0,3.77,3.84,3.71,3.76,3600,3.76
20131111,0,3.65,3.8,3.65,3.73,16800,3.73
20131108,0,3.85,3.9,3.76,3.89,9900,3.89
20131107,0,3.9,4.06,3.79,3.9,15300,3.9
20131106,0,3.69,3.81,3.69,3.81,9100,3.81
20131105,0,3.57,4.08,3.56,3.8,9700,3.8
20131104,0,3.56,3.72,3.52,3.58,5100,3.58
20131101,0,3.75,3.75,3.49,3.57,2000,3.57
20131031,0,3.79,3.79,3.79,3.79,3000,3.79
20131030,0,3.59,3.59,3.45,3.5,9400,3.5
20131029,0,3.66,3.74,3.48,3.6,5600,3.6
20131028,0,3.78,3.78,3.73,3.73,4900,3.73
20131025,0,3.9,3.9,3.68,3.75,8000,3.75
20131024,0,3.83,4.03,3.72,3.8,3500,3.8
20131023,0,3.76,3.86,3.61,3.86,12000,3.86
20131022,0,3.95,4.06,3.77,3.79,29500,3.79
20131021,0,4,4,3.64,3.67,24500,3.67
20131018,0,3.83,4.07,3.8,3.94,16200,3.94
20131017,0,4.02,4.02,4,4,1100,4
20131016,0,3.99,4.07,3.99,4.06,3000,4.06
20131015,0,3.89,4.03,3.79,4.02,8700,4.02
20131014,0,3.97,3.98,3.65,3.81,12500,3.81
20131011,0,3.68,3.98,3.66,3.96,25500,3.96
20131010,0,3.6,3.77,3.56,3.77,28000,3.77
20131009,0,3.68,3.77,3.52,3.52,30800,3.52
20131008,0,3.79,3.88,3.64,3.66,25600,3.66
20131007,0,3.9,3.98,3.65,3.76,16500,3.76
20131004,0,3.74,3.75,3.62,3.73,4400,3.73
20131003,0,3.84,3.89,3.65,3.79,23000,3.79
20131002,0,3.81,3.9,3.77,3.83,14300,3.83
20131001,0,3.83,4.08,3.73,3.86,10800,3.86
20130930,0,3.86,4,3.49,3.77,21200,3.77
20130927,0,3.86,4.14,3.86,3.9,15900,3.9
20130926,0,3.69,4.11,3.34,3.91,13700,3.91
20130925,0,4.04,4.1,3.95,3.99,12400,3.99
20130924,0,4.12,4.16,3.81,3.96,30900,3.96
20130923,0,4.25,4.41,4.15,4.27,22000,4.27
20130920,0,4.39,4.43,4.1,4.21,40400,4.21
20130919,0,4.22,4.57,4.08,4.57,51200,4.57
20130918,0,4.38,4.4,4.05,4.3,45200,4.3
20130917,0,4.26,4.4,3.91,4.3,21300,4.3
20130916,0,4.21,4.4,4.14,4.17,45200,4.17
20130913,0,4.05,4.25,3.91,4.15,48200,4.15
20130912,0,3.62,4.25,3.62,3.99,70600,3.99
20130911,0,3.57,3.65,3.45,3.55,20300,3.55
20130910,0,3.59,3.8,3.3,3.6,90600,3.6
20130909,0,3.66,3.75,3.36,3.47,18800,3.47
20130906,0,3.38,3.75,3.36,3.75,22700,3.75
20130905,0,3.36,3.38,3.27,3.38,4700,3.38
20130904,0,3.19,3.39,3.17,3.38,15200,3.38
20130903,0,3.12,3.17,3,3.17,19600,3.17
20130830,0,3,3.21,3,3.21,45800,3.21
20130829,0,2.85,3.1,2.83,3.1,66000,3.1
20130828,0,2.95,2.95,2.93,2.95,15000,2.95
20130827,0,2.97,3,2.9,2.91,41900,2.91
20130826,0,3,3.19,2.95,2.99,41400,2.99
20130823,0,3.22,3.27,2.7,2.7,38400,2.7
