date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,18.75,18.76,18.75,18.75,22300,18.75
20140113,0,18.75,18.76,18.75,18.75,32100,18.75
20140110,0,18.75,18.76,18.75,18.75,9900,18.75
20140109,0,18.75,18.75,18.75,18.75,25600,18.75
20140108,0,18.75,18.76,18.75,18.75,65200,18.75
20140107,0,18.76,18.76,18.75,18.75,14500,18.75
20140106,0,18.75,18.76,18.75,18.75,37400,18.75
20140103,0,18.75,18.76,18.75,18.75,4300,18.75
20140102,0,18.75,18.76,18.75,18.75,6300,18.75
20140101,0,18.75,18.75,18.75,18.75,0,18.75
20131231,0,18.75,18.76,18.75,18.75,4700,18.75
20131230,0,18.75,18.76,18.75,18.75,6000,18.75
20131227,0,18.75,18.76,18.75,18.75,6900,18.75
20131226,0,18.75,18.75,18.75,18.75,0,18.75
20131225,0,18.75,18.75,18.75,18.75,0,18.75
20131224,0,18.75,18.76,18.75,18.75,4900,18.75
20131223,0,18.75,18.76,18.75,18.75,50200,18.75
20131220,0,18.75,18.75,18.75,18.75,51400,18.75
20131219,0,18.75,18.75,18.75,18.75,22500,18.75
20131218,0,18.75,18.75,18.75,18.75,25200,18.75
20131217,0,18.75,18.75,18.75,18.75,22200,18.75
20131216,0,18.75,18.75,18.75,18.75,1800,18.75
20131213,0,18.75,18.85,18.75,18.75,291200,18.75
20131212,0,18.7,18.73,18.7,18.72,1100,18.72
20131211,0,18.7,18.7,18.7,18.7,1300,18.7
20131210,0,18.7,18.7,18.7,18.7,300,18.7
20131209,0,18.7,18.72,18.7,18.7,1700,18.7
20131206,0,18.7,18.7,18.7,18.7,300,18.7
20131205,0,18.69,18.69,18.69,18.69,100,18.69
20131204,0,18.7,18.74,18.7,18.7,300,18.7
20131203,0,18.74,18.74,18.7,18.7,100,18.7
20131202,0,18.69,18.7,18.69,18.7,800,18.7
20131129,0,18.69,18.72,18.69,18.72,300,18.72
20131128,0,18.69,18.71,18.69,18.71,2800,18.71
20131127,0,18.7,18.7,18.69,18.69,400,18.69
20131126,0,18.69,18.69,18.69,18.69,300,18.69
20131125,0,18.69,18.71,18.69,18.69,6700,18.69
20131122,0,18.69,18.71,18.69,18.7,1200,18.7
20131121,0,18.69,18.69,18.69,18.69,1000,18.69
20131120,0,18.69,18.69,18.69,18.69,900,18.69
20131119,0,18.69,18.69,18.69,18.69,900,18.69
20131118,0,18.7,18.71,18.69,18.7,5900,18.7
20131115,0,18.69,18.69,18.69,18.69,10800,18.69
20131114,0,18.7,18.71,18.68,18.71,3200,18.71
20131113,0,18.68,18.68,18.68,18.68,800,18.68
20131112,0,18.68,18.68,18.68,18.68,1400,18.68
20131111,0,18.69,18.73,18.69,18.69,1100,18.69
20131108,0,18.7,18.71,18.69,18.69,3700,18.69
20131107,0,18.66,18.7,18.66,18.68,2500,18.68
20131106,0,18.66,18.66,18.65,18.65,1600,18.65
20131105,0,18.64,18.66,18.64,18.66,1000,18.66
20131104,0,18.64,18.65,18.64,18.64,4500,18.64
20131101,0,18.64,18.64,18.64,18.64,1400,18.64
20131031,0,18.64,18.64,18.63,18.63,1300,18.63
20131030,0,18.64,18.64,18.64,18.64,1300,18.64
20131029,0,18.65,18.66,18.65,18.65,1300,18.65
20131028,0,18.65,18.65,18.65,18.65,2900,18.65
20131025,0,18.65,18.68,18.65,18.66,4300,18.66
20131024,0,18.66,18.66,18.66,18.66,2200,18.66
20131023,0,18.65,18.66,18.65,18.65,800,18.65
20131022,0,18.65,18.66,18.65,18.66,400,18.66
20131021,0,18.65,18.65,18.65,18.65,1300,18.65
20131018,0,18.65,18.65,18.65,18.65,400,18.65
20131017,0,18.65,18.65,18.65,18.65,1800,18.65
20131016,0,18.65,18.68,18.65,18.65,1400,18.65
20131015,0,18.65,18.68,18.65,18.65,2000,18.65
20131014,0,18.64,18.67,18.64,18.65,1400,18.65
20131011,0,18.65,18.68,18.65,18.65,9100,18.65
20131010,0,18.67,18.68,18.65,18.66,1100,18.66
20131009,0,18.67,18.67,18.67,18.67,31500,18.67
