date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,1409,1409,1409,1409,0,1408.63
20140113,0,1409,1409,1409,1409,0,1408.63
20140110,0,1409,1409,1409,1409,0,1408.63
20140109,0,1409,1409,1409,1409,0,1408.63
20140108,0,1409,1409,1409,1409,0,1408.63
20140107,0,1409,1409,1409,1409,0,1408.63
20140106,0,1409,1409,1409,1409,0,1408.63
20140103,0,1409,1409,1409,1409,0,1408.63
20140102,0,1409,1409,1409,1409,0,1408.63
20140101,0,1409,1409,1409,1409,0,1408.63
20131231,0,1409,1409,1409,1409,0,1408.63
20131230,0,1409,1409,1409,1409,0,1408.63
20131227,0,1409,1409,1409,1409,0,1408.63
20131226,0,1328.59,1328.59,1328.59,1328.59,0,1328.1
20131225,0,1328.59,1328.59,1328.59,1328.59,0,1328.1
20131224,0,1328.59,1328.59,1328.59,1328.59,0,1328.1
20131223,0,1328.59,1328.59,1328.59,1328.59,0,1328.1
20131220,0,1328.59,1328.59,1328.59,1328.59,0,1328.1
20131219,0,1328.59,1328.59,1328.59,1328.59,400,1328.1
20131218,0,1320.8,1320.8,1320.8,1320.8,0,1320.31
20131217,0,1320.8,1320.8,1320.8,1320.8,0,1320.31
20131216,0,1320.8,1320.8,1320.8,1320.8,600,1320.31
20131213,0,1465,1465,1465,1465,0,1464.46
20131212,0,1465,1465,1465,1465,0,1464.46
20131211,0,1465,1465,1465,1465,0,1464.46
20131210,0,1465,1465,1465,1465,0,1464.46
20131209,0,1465,1465,1465,1465,0,1464.46
20131206,0,1465,1465,1465,1465,0,1464.46
20131205,0,1465,1465,1465,1465,0,1464.46
20131204,0,1465,1465,1465,1465,0,1464.46
20131203,0,1465,1465,1465,1465,0,1464.46
20131202,0,1465,1465,1465,1465,0,1464.46
20131129,0,1465,1465,1465,1465,0,1464.46
20131128,0,1465,1465,1465,1465,0,1464.46
20131127,0,1465,1465,1465,1465,0,1464.46
20131126,0,1465,1465,1465,1465,0,1464.46
20131125,0,1615,1615,1615,1615,0,1614.4
20131122,0,1615,1615,1615,1615,0,1614.4
20131121,0,1615,1615,1615,1615,0,1614.4
20131120,0,1615,1615,1615,1615,0,1614.4
20131119,0,1615,1615,1615,1615,0,1614.4
20131118,0,1615,1615,1615,1615,0,1614.4
20131115,0,1615,1615,1615,1615,0,1614.4
20131114,0,1615,1615,1615,1615,0,1614.4
20131113,0,1615,1615,1615,1615,0,1614.4
20131112,0,1615,1615,1615,1615,0,1614.4
20131111,0,1615,1615,1615,1615,0,1614.4
20131108,0,1615,1615,1615,1615,0,1614.4
20131107,0,1615,1615,1615,1615,0,1614.4
20131106,0,1615,1615,1615,1615,0,1614.4
20131105,0,1615,1615,1615,1615,0,1614.4
20131104,0,1615,1615,1615,1615,0,1614.4
20131101,0,1615,1615,1615,1615,0,1614.4
20131031,0,1615,1615,1615,1615,0,1614.4
20131030,0,1615,1615,1615,1615,0,1614.4
20131029,0,1615,1615,1615,1615,0,1614.4
20131028,0,1615,1615,1615,1615,0,1614.4
20131025,0,1615,1615,1615,1615,0,1614.4
20131024,0,1615,1615,1615,1615,0,1614.4
20131023,0,1615,1615,1615,1615,0,1614.4
20131022,0,1615,1615,1615,1615,0,1614.4
20131021,0,1615,1615,1615,1615,0,1614.4
20131018,0,1615,1615,1615,1615,0,1614.4
20131017,0,1615,1615,1615,1615,0,1614.4
20131016,0,1615,1615,1615,1615,0,1614.4
20131015,0,1615,1615,1615,1615,0,1614.4
20131014,0,1615,1615,1615,1615,0,1614.4
20131011,0,1615,1615,1615,1615,0,1614.4
20131010,0,1615,1615,1615,1615,0,1614.4
20131009,0,1615,1615,1615,1615,0,1614.4
20131008,0,1615,1615,1615,1615,0,1614.4
20131007,0,1615,1615,1615,1615,0,1614.4
20131004,0,1615,1615,1615,1615,0,1614.4
20131003,0,1615,1615,1615,1615,0,1614.4
20131002,0,1615,1615,1615,1615,0,1614.4
20131001,0,1615,1615,1615,1615,0,1614.4
20130930,0,1615,1615,1615,1615,0,1614.26
20130927,0,1615,1615,1615,1615,0,1614.26
20130926,0,1615,1615,1615,1615,0,1614.26
20130925,0,1615,1615,1615,1615,0,1614.26
20130924,0,1615,1615,1615,1615,0,1614.26
20130923,0,1615,1615,1615,1615,0,1614.26
20130920,0,1615,1615,1615,1615,0,1614.26
