date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.79,0.79,0.79,0.79,0,0.79
20140113,0,0.79,0.79,0.79,0.79,1800,0.79
20140110,0,0.79,0.79,0.79,0.79,1400,0.79
20140109,0,0.79,0.79,0.79,0.79,1000,0.79
20140108,0,0.79,0.79,0.79,0.79,0,0.79
20140107,0,0.79,0.79,0.79,0.79,0,0.79
20140106,0,0.79,0.79,0.79,0.79,3100,0.79
20140103,0,0.66,0.66,0.66,0.66,0,0.66
20140102,0,0.66,0.66,0.66,0.66,2100,0.66
20140101,0,0.6,0.6,0.6,0.6,0,0.6
20131231,0,0.6,0.6,0.6,0.6,2000,0.6
20131230,0,0.58,0.58,0.58,0.58,0,0.58
20131227,0,0.58,0.58,0.58,0.58,0,0.58
20131226,0,0.58,0.58,0.58,0.58,0,0.58
20131225,0,0.58,0.58,0.58,0.58,0,0.58
20131224,0,0.58,0.58,0.58,0.58,0,0.58
20131223,0,0.58,0.58,0.58,0.58,1000,0.58
20131220,0,0.58,0.58,0.58,0.58,0,0.58
20131219,0,0.58,0.58,0.58,0.58,200,0.58
20131218,0,0.58,0.58,0.58,0.58,1900,0.58
20131217,0,0.55,0.55,0.55,0.55,0,0.55
20131216,0,0.55,0.55,0.55,0.55,600,0.55
20131213,0,0.55,0.55,0.55,0.55,0,0.55
20131212,0,0.55,0.55,0.55,0.55,0,0.55
20131211,0,0.55,0.55,0.55,0.55,0,0.55
20131210,0,0.55,0.55,0.55,0.55,0,0.55
20131209,0,0.55,0.55,0.55,0.55,0,0.55
20131206,0,0.55,0.55,0.55,0.55,1400,0.55
20131205,0,0.6,0.6,0.6,0.6,0,0.6
20131204,0,0.6,0.6,0.6,0.6,0,0.6
20131203,0,0.6,0.6,0.6,0.6,0,0.6
20131202,0,0.6,0.6,0.6,0.6,1200,0.6
20131129,0,0.6,0.6,0.6,0.6,0,0.6
20131128,0,0.6,0.6,0.6,0.6,20000,0.6
20131127,0,0.55,0.55,0.55,0.55,0,0.55
20131126,0,0.55,0.55,0.55,0.55,0,0.55
20131125,0,0.55,0.55,0.55,0.55,0,0.55
20131122,0,0.55,0.55,0.55,0.55,0,0.55
20131121,0,0.55,0.55,0.55,0.55,0,0.55
20131120,0,0.55,0.55,0.55,0.55,1500,0.55
20131119,0,0.5,0.5,0.5,0.5,0,0.5
20131118,0,0.5,0.5,0.5,0.5,20800,0.5
20131115,0,0.37,0.37,0.37,0.37,0,0.37
20131114,0,0.37,0.37,0.37,0.37,0,0.37
20131113,0,0.37,0.37,0.37,0.37,0,0.37
20131112,0,0.37,0.37,0.37,0.37,0,0.37
20131111,0,0.37,0.37,0.37,0.37,7500,0.37
20131108,0,0.35,0.35,0.35,0.35,0,0.35
20131107,0,0.35,0.35,0.35,0.35,0,0.35
20131106,0,0.35,0.35,0.35,0.35,0,0.35
20131105,0,0.35,0.35,0.35,0.35,11000,0.35
20131104,0,0.3,0.3,0.3,0.3,0,0.3
20131101,0,0.3,0.3,0.3,0.3,0,0.3
20131031,0,0.3,0.3,0.3,0.3,0,0.3
20131030,0,0.3,0.3,0.3,0.3,0,0.3
20131029,0,0.3,0.3,0.3,0.3,21000,0.3
20131028,0,0.37,0.37,0.37,0.37,0,0.37
20131025,0,0.37,0.37,0.37,0.37,0,0.37
