date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,15.71,15.97,15.38,15.93,249200,15.93
20140113,0,15.87,15.95,15.39,15.58,278800,15.58
20140110,0,15.72,16.11,15.61,15.98,156900,15.98
20140109,0,16.06,16.07,15.53,15.72,164100,15.72
20140108,0,16.04,16.15,15.87,16.05,233000,16.05
20140107,0,15.63,16.05,15.63,16.03,306900,16.03
20140106,0,15.79,15.92,15.42,15.56,225500,15.56
20140103,0,15.67,15.89,15.5,15.75,186300,15.75
20140102,0,15.91,15.91,15.55,15.65,284800,15.65
20131231,0,15.94,16.1,15.61,15.99,263100,15.99
20131230,0,16.02,16.1,15.67,15.86,286600,15.86
20131227,0,15.86,16.13,15.57,16.11,267500,16.11
20131226,0,15.77,15.98,15.72,15.85,198500,15.85
20131224,0,15.69,15.85,15.51,15.65,70200,15.65
20131223,0,15.44,15.7,15.3,15.64,217100,15.64
20131220,0,15.14,15.44,14.92,15.33,394800,15.33
20131219,0,14.75,15.18,14.66,15.06,256000,15.06
20131218,0,14.98,15.01,14.55,14.95,412900,14.95
20131217,0,14.95,15.15,14.79,14.91,274700,14.91
20131216,0,15.35,15.48,14.83,15,451000,15
20131213,0,15.24,15.36,15.07,15.23,151900,15.23
20131212,0,15.25,15.37,15.13,15.23,180600,15.23
20131211,0,15.1,15.6,15.04,15.19,713000,15.19
20131210,0,15.24,15.38,14.87,15.12,477500,15.12
20131209,0,15.9,15.91,15.17,15.23,591300,15.23
20131206,0,15.45,16.03,15.05,15.88,641400,15.88
20131205,0,15.02,15.6,14.9,15.27,740500,15.27
20131204,0,14.63,15.06,14.45,15,463600,15
20131203,0,14.97,15.17,14.69,14.77,264300,14.77
20131202,0,15.4,15.4,14.94,14.99,411700,14.99
20131129,0,15.37,15.5,15.18,15.45,143000,15.45
20131127,0,15.02,15.3,14.73,15.25,279300,15.25
20131126,0,14.78,15.11,14.59,15.05,486900,15.05
20131125,0,15.52,15.52,14.67,14.8,552200,14.8
20131122,0,15.54,15.54,14.6,15.41,1422500,15.41
20131121,0,15.92,16.11,15.43,15.48,494000,15.48
20131120,0,16.11,16.22,15.68,15.86,316000,15.86
20131119,0,16.57,16.57,15.88,16,271800,16
20131118,0,16.99,17.05,16.56,16.65,188100,16.65
20131115,0,16.92,17.17,16.81,16.96,242400,16.96
20131114,0,16.78,17.02,16.51,16.84,376800,16.84
20131113,0,16.03,16.77,15.91,16.76,470300,16.76
20131112,0,15.91,16.13,15.75,16.13,166300,16.13
20131111,0,16.01,16.29,15.77,15.95,259300,15.95
20131108,0,15.62,16.26,15.56,16.09,420800,16.09
20131107,0,16.68,16.68,15.42,15.84,861700,15.84
20131106,0,17.83,17.87,16.55,16.64,447800,16.64
20131105,0,16.89,17.73,16.73,17.64,683300,17.64
20131104,0,16.62,16.99,16.62,16.9,379000,16.9
20131101,0,16.94,17.17,16.46,16.51,428800,16.51
20131031,0,17.03,17.26,16.83,16.97,276600,16.97
