Date,Open,High,Low,Close,Volume,Adj Close
2015-02-04,41.94,42.21,41.36,41.84,41614800,41.27609
2015-02-03,41.63,41.93,41.05,41.60,52082400,41.03933
2015-02-02,40.59,41.37,40.23,41.28,50352500,40.72364
2015-01-30,41.55,41.58,40.35,40.40,78004900,39.8555
2015-01-29,40.93,42.12,40.79,42.01,63585300,41.4438
2015-01-28,42.74,42.79,41.16,41.19,84507100,40.63485
2015-01-27,42.95,43.20,42.11,42.66,169164000,42.08504
2015-01-26,47.00,47.13,46.24,47.01,42525500,46.37641
2015-01-23,47.36,47.39,46.80,47.18,26211600,46.54412
2015-01-22,46.38,47.14,46.08,47.13,35898000,46.4948
2015-01-21,45.94,46.14,45.48,45.92,39081100,45.3011
2015-01-20,46.30,46.65,45.57,46.39,36161900,45.76477
2015-01-16,45.31,46.28,45.17,46.24,35695300,45.61679
2015-01-15,46.22,46.38,45.41,45.48,32742300,44.86703
2015-01-14,45.96,46.24,45.62,45.96,29719600,45.34056
2015-01-13,46.97,47.91,46.06,46.36,35270600,45.73518
2015-01-12,47.42,47.54,46.36,46.60,23651900,45.97194
2015-01-09,47.61,47.82,46.90,47.19,23942800,46.55399
2015-01-08,46.75,47.75,46.72,47.59,29645200,46.9486
2015-01-07,45.98,46.46,45.49,46.23,29114100,45.60693
2015-01-06,46.38,46.75,45.54,45.65,36447900,45.03474
2015-01-05,46.37,46.73,46.25,46.33,39673900,45.70558
2015-01-02,46.66,47.42,46.54,46.76,27913900,46.12978
2014-12-31,46.73,47.44,46.45,46.45,21552500,45.82396
2014-12-30,47.44,47.62,46.84,47.02,16384700,46.38628
2014-12-29,47.70,47.78,47.26,47.45,14439500,46.81049
2014-12-26,48.41,48.41,47.82,47.88,13197800,47.23469
2014-12-24,48.64,48.64,48.08,48.14,11437800,47.49118
2014-12-23,48.37,48.80,48.13,48.45,23648100,47.79701
2014-12-22,47.78,48.12,47.71,47.98,26566000,47.33334
2014-12-19,47.63,48.10,47.17,47.66,64551200,47.01765
2014-12-18,46.58,47.52,46.34,47.52,40105600,46.87954
2014-12-17,45.05,45.95,44.90,45.74,34970900,45.12353
2014-12-16,45.90,46.34,45.13,45.16,47801400,44.55135
2014-12-15,47.20,47.67,46.55,46.67,29247800,46.041
2014-12-12,46.78,47.73,46.67,46.95,34248400,46.31722
2014-12-11,47.08,47.74,46.68,47.17,29060400,46.53426
2014-12-10,47.58,47.66,46.70,46.90,30431800,46.2679
2014-12-09,47.11,47.92,47.05,47.59,24330500,46.9486
2014-12-08,48.26,48.35,47.45,47.70,26663100,47.05711
2014-12-05,48.82,48.97,48.38,48.42,27313400,47.76741
2014-12-04,48.39,49.06,48.20,48.84,30320400,48.18175
2014-12-03,48.44,48.50,47.81,48.08,23534800,47.432
2014-12-02,48.84,49.05,48.20,48.46,25743000,47.80687
2014-12-01,47.88,48.78,47.71,48.62,31191600,47.96471
2014-11-28,47.95,48.20,47.61,47.81,21534400,47.16563
2014-11-26,47.49,47.99,47.28,47.75,27163600,47.10644
2014-11-25,47.66,47.97,47.45,47.47,28007900,46.83022
2014-11-24,47.99,48.00,47.39,47.59,35434200,46.9486
2014-11-21,49.02,49.05,47.57,47.98,42883100,47.33334
2014-11-20,48.00,48.70,47.87,48.70,21500700,48.04364
2014-11-19,48.66,48.75,47.93,48.22,26176800,47.57011
2014-11-18,49.13,49.33,48.70,48.74,23995500,48.0831
2014-11-17,49.41,49.71,49.14,49.46,30315500,48.48757
2014-11-14,49.74,50.05,49.39,49.58,29081700,48.60521
2014-11-13,48.81,49.65,48.71,49.61,26208800,48.63462
2014-11-12,48.56,48.92,48.52,48.78,22722000,47.82094
2014-11-11,48.85,48.95,48.65,48.87,23445200,47.90917
2014-11-10,48.65,49.15,48.55,48.89,36370100,47.92878
2014-11-07,48.92,48.92,48.29,48.68,28000600,47.72291
2014-11-06,47.86,48.86,47.79,48.70,33037800,47.74252
2014-11-05,47.80,47.90,47.26,47.86,22449600,46.91903
2014-11-04,47.30,47.73,47.25,47.57,21530800,46.63473
2014-11-03,46.89,47.46,46.73,47.44,23130400,46.50729
2014-10-31,46.94,46.97,46.48,46.95,35849700,46.02692
2014-10-30,46.32,46.32,45.77,46.05,30073900,45.14462
2014-10-29,46.44,46.70,46.34,46.62,30276100,45.70341
2014-10-28,45.86,46.50,45.77,46.49,29024600,45.57597
2014-10-27,45.71,46.10,45.71,45.91,30371300,45.00737
2014-10-24,46.83,46.90,45.18,46.13,61076700,45.22305
2014-10-23,44.62,45.45,44.53,45.02,45451900,44.13487
