date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,50.98,50.98,49.15,49.99,900,49.99
20140128,0,48.37,48.37,47.35,48,600,48
20140127,0,45.8,47.01,45.55,46.97,800,46.97
20140124,0,47,47,45.95,46.79,3000,46.79
20140123,0,50.55,50.55,48.69,48.69,1600,48.69
20140122,0,50.1,50.48,49.51,50.48,500,50.48
20140121,0,50.39,50.39,50.17,50.17,100,50.17
20140120,0,50.4,50.4,50.1,50.35,500,50.35
20140117,0,49.5,50.97,49.5,50.7,900,50.7
20140116,0,49,49.3,48.95,49.3,1000,49.3
20140115,0,48.86,48.86,48.38,48.86,100,48.86
20140114,0,46.5,46.5,45.63,45.63,500,45.63
20140113,0,47.38,47.38,47.38,47.38,400,47.38
20140110,0,47.42,47.8,47.42,47.8,500,47.8
20140109,0,47.28,47.28,46.85,46.85,0,46.85
20140108,0,47.99,47.99,47.99,47.99,400,47.99
20140107,0,47.12,47.18,46.58,47.18,400,47.18
20140106,0,47.49,47.73,47.3,47.73,1000,47.73
20140103,0,47,47.47,47,47.47,1100,47.47
20140102,0,48.04,48.33,47.03,48.33,3900,48.33
20140101,0,46.83,46.83,46.83,46.83,0,46.83
20131231,0,46.83,46.83,46.83,46.83,0,46.83
20131230,0,47.1,47.1,45.89,46.83,2900,46.83
20131227,0,45.94,45.94,45.01,45.69,1200,45.69
20131226,0,44.88,44.88,44.88,44.88,0,44.88
20131225,0,44.88,44.88,44.88,44.88,0,44.88
20131224,0,44.88,44.88,44.88,44.88,0,44.88
20131223,0,44.41,44.92,43.5,44.88,1100,44.88
20131220,0,44.45,44.45,44.45,44.45,0,44.45
20131219,0,43.7,43.7,43.7,43.7,0,43.7
20131218,0,44.33,44.33,43.51,43.51,400,43.51
20131217,0,43.79,44.17,43.31,44.17,1600,44.17
20131216,0,44.15,45.19,43.67,45.18,1100,45.18
20131213,0,43.04,44.17,43.04,44.17,0,44.17
20131212,0,44.06,44.06,43.99,43.99,100,43.99
20131211,0,44.89,45,44.87,44.9,1400,44.9
20131210,0,43.1,43.99,43,43.99,1600,43.99
20131209,0,44.4,44.4,44.02,44.02,100,44.02
20131206,0,42.91,43.69,42.91,43.6,500,43.6
20131205,0,41.3,41.3,41.3,41.3,0,41.3
20131204,0,42,42,41.3,41.3,900,41.3
20131203,0,42.89,42.98,42.04,42.98,300,42.98
20131202,0,43.66,43.88,43.4,43.4,300,43.4
20131129,0,42.2,43.06,42,43.06,400,43.06
20131128,0,42,42.1,42,42,500,42
20131127,0,41.22,42,41.22,42,700,42
20131126,0,41.7,41.99,41.7,41.99,600,41.99
20131125,0,41.08,42.1,41.08,41.32,200,41.32
20131122,0,39.12,39.12,39.12,39.12,0,39.12
20131121,0,39.12,39.12,39.12,39.12,0,39.12
20131120,0,39.13,39.13,39.12,39.12,400,39.12
20131119,0,40.5,40.5,40.45,40.45,300,40.45
