date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,1.38,1.46,1.32,1.43,28825300,1.43
20140113,0,1.15,1.39,1.14,1.39,22406500,1.39
20140110,0,1.16,1.16,1.14,1.14,1849000,1.14
20140109,0,1.13,1.17,1.12,1.15,3485400,1.15
20140108,0,1.13,1.14,1.12,1.13,1671800,1.13
20140107,0,1.15,1.16,1.12,1.13,3047700,1.13
20140106,0,1.1,1.15,1.09,1.14,5024200,1.14
20140103,0,1.08,1.1,1.07,1.1,1659300,1.1
20140102,0,1.1,1.11,1.09,1.09,1495700,1.09
20140101,0,1.1,1.1,1.1,1.1,0,1.1
20131231,0,1.1,1.1,1.09,1.1,404700,1.1
20131230,0,1.11,1.12,1.09,1.1,2020400,1.1
20131227,0,1.11,1.12,1.09,1.11,1914500,1.11
20131226,0,1.11,1.11,1.11,1.11,0,1.11
20131225,0,1.11,1.11,1.11,1.11,0,1.11
20131224,0,1.11,1.12,1.09,1.11,1747200,1.11
20131223,0,1.13,1.13,1.1,1.11,1710700,1.11
20131220,0,1.12,1.12,1.1,1.12,1823000,1.12
20131219,0,1.12,1.14,1.11,1.11,1395300,1.11
20131218,0,1.12,1.15,1.11,1.12,1689700,1.12
20131217,0,1.11,1.12,1.1,1.11,1484800,1.11
20131216,0,1.13,1.14,1.1,1.11,2917400,1.11
20131213,0,1.16,1.17,1.13,1.13,1306000,1.13
20131212,0,1.16,1.17,1.15,1.16,1019800,1.16
20131211,0,1.2,1.2,1.16,1.16,2385400,1.16
20131210,0,1.2,1.21,1.18,1.19,3837500,1.19
20131209,0,1.14,1.2,1.13,1.19,3679600,1.19
20131206,0,1.13,1.14,1.12,1.13,562400,1.13
20131205,0,1.14,1.15,1.12,1.13,1832700,1.13
20131204,0,1.14,1.16,1.13,1.14,1264000,1.14
20131203,0,1.14,1.16,1.12,1.14,2877200,1.14
20131202,0,1.17,1.18,1.12,1.14,4791500,1.14
20131129,0,1.21,1.22,1.16,1.17,3504300,1.17
20131128,0,1.22,1.24,1.21,1.21,1429500,1.21
20131127,0,1.23,1.25,1.21,1.22,1924200,1.22
20131126,0,1.24,1.25,1.21,1.22,1770200,1.22
20131125,0,1.23,1.25,1.2,1.23,2327900,1.23
20131122,0,1.19,1.24,1.18,1.22,2046800,1.22
20131121,0,1.2,1.24,1.16,1.18,5344700,1.18
20131120,0,1.28,1.28,1.2,1.2,5006600,1.2
20131119,0,1.29,1.3,1.26,1.28,2558700,1.28
20131118,0,1.3,1.34,1.28,1.28,3809700,1.28
20131115,0,1.36,1.37,1.27,1.28,7204300,1.28
20131114,0,1.4,1.43,1.3,1.35,9430000,1.35
20131113,0,1.58,1.58,1.38,1.4,16450300,1.4
20131112,0,1.68,1.73,1.67,1.68,1743000,1.68
20131111,0,1.67,1.69,1.66,1.67,934000,1.67
20131108,0,1.68,1.68,1.65,1.66,866800,1.66
20131107,0,1.69,1.7,1.67,1.68,842000,1.68
20131106,0,1.69,1.71,1.68,1.68,1007400,1.68
20131105,0,1.74,1.77,1.68,1.68,3351100,1.68
20131104,0,1.7,1.7,1.68,1.7,613800,1.7
20131101,0,1.72,1.73,1.67,1.7,1745800,1.7
20131031,0,1.67,1.73,1.67,1.72,1900500,1.72
20131030,0,1.67,1.68,1.66,1.67,502400,1.67
20131029,0,1.66,1.68,1.66,1.67,664300,1.67
20131028,0,1.69,1.7,1.67,1.67,768400,1.67
20131025,0,1.71,1.71,1.68,1.69,904200,1.69
20131024,0,1.73,1.73,1.7,1.71,818200,1.71
20131023,0,1.73,1.73,1.72,1.72,368300,1.72
20131022,0,1.74,1.78,1.73,1.73,2622300,1.73
20131021,0,1.74,1.74,1.72,1.74,610700,1.74
20131018,0,1.74,1.74,1.73,1.73,489100,1.73
20131017,0,1.75,1.75,1.72,1.74,506400,1.74
20131016,0,1.73,1.74,1.7,1.74,1748200,1.74
20131015,0,1.74,1.74,1.72,1.73,1174400,1.73
20131014,0,1.73,1.75,1.72,1.73,454100,1.73
20131011,0,1.73,1.75,1.72,1.74,863800,1.74
20131010,0,1.74,1.75,1.72,1.73,1228500,1.73
20131009,0,1.75,1.75,1.72,1.72,889500,1.72
20131008,0,1.72,1.76,1.72,1.76,1381200,1.76
20131007,0,1.73,1.77,1.71,1.73,1990900,1.73
20131004,0,1.75,1.75,1.71,1.73,1356700,1.73
20131003,0,1.78,1.78,1.73,1.75,1554000,1.75
20131002,0,1.71,1.81,1.7,1.77,4431800,1.77
20131001,0,1.72,1.72,1.67,1.7,1621600,1.7
20130930,0,1.69,1.77,1.68,1.7,2962400,1.7
20130927,0,1.82,1.86,1.7,1.7,7371700,1.7
20130926,0,1.89,1.89,1.84,1.86,2747200,1.86
20130925,0,1.68,1.94,1.68,1.9,10966800,1.9
20130924,0,1.68,1.69,1.65,1.68,1112900,1.68
20130923,0,1.72,1.72,1.68,1.68,712000,1.68
20130920,0,1.71,1.72,1.69,1.71,832900,1.71
20130919,0,1.72,1.72,1.7,1.7,469600,1.7
20130918,0,1.71,1.73,1.7,1.7,716500,1.7
20130917,0,1.74,1.74,1.71,1.71,508300,1.71
20130916,0,1.74,1.75,1.73,1.75,613000,1.75
20130913,0,1.74,1.74,1.71,1.74,470500,1.74
20130912,0,1.73,1.74,1.72,1.73,648800,1.73
20130911,0,1.76,1.76,1.73,1.73,890800,1.73
20130910,0,1.73,1.76,1.72,1.76,1475300,1.76
20130909,0,1.76,1.77,1.7,1.71,1387800,1.71
20130906,0,1.75,1.76,1.74,1.75,876500,1.75
20130905,0,1.76,1.76,1.73,1.75,756900,1.75
20130904,0,1.75,1.77,1.73,1.76,582700,1.76
20130903,0,1.72,1.77,1.7,1.76,1228800,1.76
20130902,0,1.71,1.73,1.7,1.7,487800,1.7
20130830,0,1.73,1.74,1.69,1.69,546500,1.69
20130829,0,1.68,1.73,1.68,1.72,677000,1.72
20130828,0,1.69,1.7,1.65,1.68,1093700,1.68
20130827,0,1.78,1.79,1.71,1.71,1074400,1.71
20130826,0,1.82,1.83,1.77,1.78,848300,1.78
20130823,0,1.79,1.86,1.79,1.82,1521000,1.82
20130822,0,1.76,1.82,1.76,1.8,1121700,1.8
20130821,0,1.78,1.79,1.76,1.77,151700,1.77
20130820,0,1.77,1.8,1.72,1.78,1851500,1.78
20130819,0,1.78,1.8,1.76,1.77,768800,1.77
20130816,0,1.79,1.79,1.75,1.78,558900,1.78
20130815,0,1.76,1.8,1.76,1.78,675500,1.78
20130814,0,1.78,1.8,1.73,1.78,1096900,1.78
20130813,0,1.83,1.85,1.77,1.77,1668500,1.77
20130812,0,1.7,1.83,1.69,1.83,2450600,1.83
20130809,0,1.65,1.7,1.63,1.7,941300,1.7
20130808,0,1.61,1.65,1.61,1.65,315100,1.65
20130807,0,1.62,1.63,1.6,1.61,281600,1.61
20130806,0,1.6,1.66,1.6,1.62,827000,1.62
20130805,0,1.63,1.63,1.6,1.6,452900,1.6
20130802,0,1.62,1.63,1.59,1.63,313300,1.63
20130801,0,1.64,1.66,1.61,1.61,667500,1.61
20130731,0,1.62,1.64,1.58,1.64,528700,1.64
20130730,0,1.59,1.61,1.58,1.6,418800,1.6
20130729,0,1.59,1.62,1.58,1.58,342000,1.58
20130726,0,1.52,1.61,1.52,1.61,1748300,1.61
20130725,0,1.58,1.6,1.51,1.51,2784000,1.51
20130724,0,1.65,1.67,1.62,1.62,749500,1.62
