date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.91,0.91,0.91,0.91,200,0.91
20140113,0,0.9,0.9,0.9,0.9,1200,0.9
20140110,0,0.95,0.95,0.95,0.95,0,0.95
20140109,0,0.95,0.95,0.95,0.95,0,0.95
20140108,0,0.95,0.95,0.95,0.95,1500,0.95
20140107,0,0.95,0.95,0.95,0.95,1900,0.95
20140106,0,0.95,0.95,0.95,0.95,500,0.95
20140103,0,0.92,0.92,0.92,0.92,6000,0.92
20140102,0,0.92,0.92,0.92,0.92,200,0.92
20140101,0,0.9,0.9,0.9,0.9,0,0.9
20131231,0,0.9,0.9,0.9,0.9,0,0.9
20131230,0,0.9,0.9,0.9,0.9,100,0.9
20131227,0,0.91,0.91,0.91,0.91,0,0.91
20131226,0,0.91,0.91,0.91,0.91,0,0.91
20131225,0,0.91,0.91,0.91,0.91,0,0.91
20131224,0,0.91,0.91,0.91,0.91,0,0.91
20131223,0,0.91,0.91,0.91,0.91,2400,0.91
20131220,0,0.9,0.9,0.9,0.9,100,0.9
20131219,0,0.9,0.9,0.9,0.9,200,0.9
20131218,0,0.9,0.9,0.9,0.9,2000,0.9
20131217,0,0.89,0.89,0.89,0.89,6100,0.89
20131216,0,0.9,0.9,0.9,0.9,700,0.9
20131213,0,0.88,0.88,0.88,0.88,300,0.88
20131212,0,0.83,0.83,0.83,0.83,0,0.83
20131211,0,0.87,0.87,0.87,0.87,1800,0.87
20131210,0,0.87,0.87,0.87,0.87,200,0.87
20131209,0,0.83,0.83,0.83,0.83,0,0.83
20131206,0,0.83,0.83,0.83,0.83,1900,0.83
20131205,0,0.82,0.82,0.82,0.82,1000,0.82
20131204,0,0.83,0.83,0.83,0.83,700,0.83
20131203,0,0.83,0.83,0.83,0.83,200,0.83
20131202,0,0.8,0.8,0.8,0.8,0,0.8
20131129,0,0.8,0.8,0.8,0.8,600,0.8
20131128,0,0.8,0.8,0.8,0.8,0,0.8
20131127,0,0.8,0.8,0.8,0.8,0,0.8
20131126,0,0.8,0.8,0.8,0.8,0,0.8
20131125,0,0.8,0.8,0.8,0.8,0,0.8
20131122,0,0.8,0.8,0.8,0.8,0,0.8
20131121,0,0.8,0.8,0.8,0.8,1600,0.8
20131120,0,0.77,0.77,0.77,0.77,0,0.77
20131119,0,0.77,0.77,0.77,0.77,5100,0.77
20131118,0,0.71,0.71,0.71,0.71,0,0.71
20131115,0,0.71,0.71,0.71,0.71,2000,0.71
20131114,0,0.69,0.69,0.69,0.69,20100,0.69
20131113,0,0.67,0.67,0.67,0.67,0,0.67
20131112,0,0.67,0.67,0.67,0.67,0,0.67
20131111,0,0.67,0.67,0.67,0.67,0,0.67
20131108,0,0.67,0.67,0.67,0.67,1100,0.67
20131107,0,0.62,0.62,0.62,0.62,0,0.62
20131106,0,0.62,0.62,0.62,0.62,0,0.62
20131105,0,0.62,0.62,0.62,0.62,0,0.62
20131104,0,0.62,0.62,0.62,0.62,0,0.62
20131101,0,0.62,0.62,0.62,0.62,0,0.62
20131031,0,0.62,0.62,0.62,0.62,0,0.62
20131030,0,0.62,0.62,0.62,0.62,0,0.62
20131029,0,0.62,0.62,0.62,0.62,0,0.62
20131028,0,0.62,0.62,0.62,0.62,0,0.62
20131025,0,0.62,0.62,0.62,0.62,100,0.62
20131024,0,0.61,0.61,0.61,0.61,0,0.61
20131023,0,0.61,0.61,0.61,0.61,0,0.61
20131022,0,0.61,0.61,0.61,0.61,100,0.61
20131021,0,0.7,0.7,0.7,0.7,0,0.7
20131018,0,0.7,0.7,0.7,0.7,0,0.7
20131017,0,0.7,0.7,0.7,0.7,0,0.7
20131016,0,0.7,0.7,0.7,0.7,0,0.7
20131015,0,0.7,0.7,0.7,0.7,0,0.7
20131014,0,0.68,0.68,0.68,0.68,1100,0.68
20131011,0,0.66,0.66,0.66,0.66,400,0.66
20131010,0,0.75,0.75,0.75,0.75,0,0.75
20131009,0,0.75,0.75,0.75,0.75,0,0.75
20131008,0,0.78,0.78,0.78,0.78,0,0.78
20131007,0,0.78,0.78,0.78,0.78,100,0.78
20131004,0,0.78,0.78,0.78,0.78,0,0.78
20131003,0,0.78,0.78,0.78,0.78,0,0.78
20131002,0,0.78,0.78,0.78,0.78,0,0.78
20131001,0,0.78,0.78,0.78,0.78,300,0.78
20130930,0,0.75,0.75,0.75,0.75,0,0.75
20130927,0,0.75,0.75,0.75,0.75,100,0.75
20130926,0,0.74,0.74,0.74,0.74,0,0.74
20130925,0,0.75,0.75,0.75,0.75,0,0.75
20130924,0,0.75,0.75,0.75,0.75,1000,0.75
20130923,0,0.75,0.75,0.75,0.75,100,0.75
20130920,0,0.75,0.75,0.75,0.75,0,0.75
20130919,0,0.75,0.75,0.75,0.75,100,0.75
20130918,0,0.75,0.75,0.75,0.75,800,0.75
20130917,0,0.75,0.75,0.75,0.75,3000,0.75
20130916,0,0.71,0.71,0.71,0.71,100,0.71
20130913,0,0.71,0.71,0.71,0.71,1000,0.71
20130912,0,0.69,0.69,0.69,0.69,0,0.69
20130911,0,0.69,0.69,0.69,0.69,0,0.69
20130910,0,0.69,0.69,0.69,0.69,300,0.69
20130909,0,0.69,0.69,0.69,0.69,0,0.69
20130906,0,0.69,0.69,0.69,0.69,200,0.69
20130905,0,0.65,0.65,0.65,0.65,0,0.65
20130904,0,0.65,0.65,0.65,0.65,0,0.65
20130903,0,0.65,0.65,0.65,0.65,0,0.65
20130902,0,0.65,0.65,0.65,0.65,0,0.65
20130830,0,0.65,0.65,0.65,0.65,0,0.65
20130829,0,0.65,0.65,0.65,0.65,0,0.65
20130828,0,0.65,0.65,0.65,0.65,0,0.65
20130827,0,0.65,0.65,0.65,0.65,0,0.65
20130826,0,0.62,0.62,0.62,0.62,0,0.62
20130823,0,0.59,0.59,0.59,0.59,300,0.59
20130822,0,0.57,0.57,0.57,0.57,0,0.57
20130821,0,0.55,0.55,0.55,0.55,0,0.55
20130820,0,0.52,0.52,0.52,0.52,0,0.52
20130819,0,0.5,0.5,0.5,0.5,1300,0.5
20130816,0,0.5,0.5,0.5,0.5,100,0.5
20130815,0,0.55,0.55,0.55,0.55,0,0.55
20130814,0,0.55,0.55,0.55,0.55,0,0.55
