date,time,open price,high price,low price,close price,volume,adjusted price
20121001,0,0.42,0.42,0.42,0.42,100,0.42
20120928,0,0.42,0.42,0.42,0.42,0,0.42
20120927,0,0.42,0.42,0.42,0.42,700,0.42
20120926,0,0.42,0.45,0.42,0.45,100,0.45
20120925,0,0.42,0.42,0.42,0.42,0,0.42
20120924,0,0.42,0.42,0.42,0.42,0,0.42
20120921,0,0.42,0.42,0.42,0.42,0,0.42
20120920,0,0.49,0.49,0.49,0.49,0,0.49
20120919,0,0.42,0.49,0.42,0.49,5200,0.49
20120918,0,0.46,0.48,0.46,0.48,1400,0.48
20120917,0,0.42,0.43,0.42,0.43,200,0.43
20120914,0,0.42,0.42,0.42,0.42,0,0.42
20120913,0,0.45,0.46,0.42,0.42,31700,0.42
20120912,0,0.41,0.45,0.41,0.45,4500,0.45
20120911,0,0.41,0.45,0.4,0.45,14200,0.45
20120910,0,0.45,0.45,0.4,0.41,17700,0.41
20120907,0,0.45,0.45,0.4,0.43,20400,0.43
20120906,0,0.49,0.5,0.43,0.5,26400,0.5
20120905,0,0.53,0.53,0.43,0.5,26200,0.5
20120904,0,0.53,0.53,0.53,0.53,0,0.53
20120903,0,0.53,0.53,0.53,0.53,0,0.53
20120831,0,0.53,0.53,0.53,0.53,0,0.53
20120830,0,0.5,0.58,0.5,0.53,24900,0.53
20120829,0,0.56,0.56,0.56,0.56,6000,0.56
20120828,0,0.55,0.55,0.55,0.55,0,0.55
20120827,0,0.55,0.55,0.55,0.55,200,0.55
20120824,0,0.47,0.47,0.47,0.47,2300,0.47
20120823,0,0.49,0.49,0.49,0.49,0,0.49
20120822,0,0.57,0.58,0.49,0.49,27100,0.49
20120821,0,0.53,0.53,0.53,0.53,400,0.53
20120820,0,0.57,0.57,0.57,0.57,1500,0.57
20120817,0,0.57,0.57,0.57,0.57,8000,0.57
20120816,0,0.57,0.57,0.57,0.57,1700,0.57
20120815,0,0.52,0.52,0.52,0.52,0,0.52
20120814,0,0.52,0.52,0.52,0.52,0,0.52
20120813,0,0.57,0.57,0.52,0.52,7900,0.52
20120810,0,0.55,0.55,0.55,0.55,2000,0.55
20120809,0,0.57,0.57,0.57,0.57,0,0.57
20120808,0,0.57,0.57,0.57,0.57,0,0.57
20120807,0,0.53,0.57,0.52,0.57,5900,0.57
20120806,0,0.56,0.6,0.54,0.54,3200,0.54
20120803,0,0.51,0.51,0.51,0.51,300,0.51
20120802,0,0.5,0.5,0.5,0.5,0,0.5
20120801,0,0.5,0.5,0.5,0.5,300,0.5
20120731,0,0.51,0.52,0.51,0.52,1900,0.52
20120730,0,0.52,0.52,0.52,0.52,0,0.52
20120727,0,0.53,0.53,0.53,0.53,0,0.53
20120726,0,0.53,0.53,0.53,0.53,200,0.53
20120725,0,0.55,0.55,0.55,0.55,0,0.55
