date,time,open price,high price,low price,close price,volume,adjusted price
20140106,0,0.25,0.32,0.21,0.32,2464400,0.32
20140103,0,6.76,8.88,6.22,8,33100,320
20140102,0,6.4,7.12,5,6.8,22800,272
20140101,0,5.6,5.6,5.6,5.6,0,224
20131231,0,7.4,8.4,4.08,5.6,59000,224
20131230,0,5.26,10.4,5.2,7.6,68500,304
20131227,0,3.94,5.98,3.76,5.2,35400,208
20131226,0,3.34,4.1,3.34,3.82,22500,152.8
20131225,0,3.52,3.52,3.52,3.52,0,140.8
20131224,0,3.4,3.56,3.24,3.52,3400,140.8
20131223,0,2.8,3.68,2.76,3.4,9500,136
20131220,0,3.16,3.2,2.68,2.68,51400,107.2
20131219,0,3.38,3.56,2.72,3.16,13900,126.4
20131218,0,3.28,3.6,3.12,3.6,7900,144
20131217,0,3.3,3.8,3.08,3.6,12600,144
20131216,0,3.4,3.72,3,3.2,24600,128
20131213,0,3.2,3.4,2.8,2.8,24000,112
20131212,0,2.16,3.24,2.16,2.96,24300,118.4
20131211,0,1.88,2.04,1.72,2.04,9100,81.6
20131210,0,1.4,1.88,1.4,1.88,11100,75.2
20131209,0,1.6,2.22,1.6,2,26200,80
20131206,0,2.44,2.44,1.4,1.41,11100,56.32
20131205,0,2.6,2.6,1.72,2.44,15200,97.6
20131204,0,2.4,3.4,2.4,2.44,17000,97.6
20131203,0,2,2.4,2,2.28,15300,91.2
20131202,0,2.2,2.2,1.72,2,13300,80
20131129,0,2.22,2.72,2.2,2.2,23500,88
20131128,0,2,2,2,2,0,80
20131127,0,1.4,2.2,1.4,2,16300,80
20131126,0,1.2,1.2,1.2,1.2,100,48
20131125,0,1.2,1.4,1.08,1.08,2400,43.2
20131122,0,1.18,1.48,1.08,1.2,6100,48
20131121,0,1.6,1.6,0.84,0.84,11000,33.6
20131120,0,0.8,1.6,0.8,1.2,35200,48
20131119,0,0.38,0.8,0.38,0.76,6900,30.4
20131118,0,0.4,0.8,0.4,0.8,15700,32
20131115,0,0.4,0.4,0.4,0.4,0,16
20131114,0,0.4,0.4,0.4,0.4,200,16
20131113,0,0.4,0.52,0.4,0.4,700,16.16
20131112,0,0.4,0.4,0.4,0.4,0,16.16
20131111,0,0.4,0.4,0.4,0.4,0,16
20131108,0,0.36,0.36,0.36,0.36,0,14.4
20131107,0,0.36,0.36,0.36,0.36,0,14.4
20131106,0,0.4,0.4,0.4,0.4,400,16
20131105,0,0.4,0.4,0.4,0.4,700,16
20131104,0,0.4,0.4,0.4,0.4,800,16.16
20131101,0,0.52,0.52,0.52,0.52,0,20.8
20131031,0,0.52,0.52,0.52,0.52,700,20.8
20131030,0,0.52,0.52,0.52,0.52,0,20.8
20131029,0,0.36,0.52,0.36,0.52,700,20.8
20131028,0,0.48,0.48,0.36,0.36,3200,14.56
20131025,0,0.48,0.48,0.48,0.48,0,19.2
20131024,0,0.36,0.48,0.36,0.48,800,19.2
20131023,0,0.36,0.52,0.36,0.48,2100,19.2
20131022,0,0.52,0.52,0.52,0.52,1100,20.8
20131021,0,0.35,0.35,0.35,0.35,0,13.92
20131018,0,0.4,0.4,0.33,0.33,700,13.28
20131017,0,0.36,0.51,0.36,0.51,500,20.32
20131016,0,0.33,0.33,0.33,0.33,0,13.12
20131015,0,0.48,0.48,0.32,0.33,2600,13.12
20131014,0,0.36,0.57,0.36,0.57,1400,22.72
20131011,0,0.44,0.44,0.44,0.44,5500,17.6
20131010,0,0.47,0.48,0.44,0.48,6400,19.2
20131009,0,0.48,0.48,0.48,0.48,0,19.2
20131008,0,0.6,0.6,0.48,0.48,5500,19.2
20131007,0,0.44,0.64,0.44,0.6,7000,24
20131004,0,0.44,0.44,0.44,0.44,0,17.6
20131003,0,0.44,0.44,0.44,0.44,8200,17.6
20131002,0,0.44,0.44,0.44,0.44,0,17.6
20131001,0,0.52,0.52,0.44,0.44,5100,17.6
20130930,0,0.52,0.52,0.52,0.52,0,20.96
20130927,0,0.52,0.52,0.5,0.5,2800,20
20130926,0,0.44,0.44,0.44,0.44,700,17.6
20130925,0,0.56,0.68,0.54,0.54,3400,21.6
20130924,0,0.5,0.6,0.48,0.6,1300,24
20130923,0,0.52,0.6,0.52,0.52,2300,20.8
20130920,0,0.52,0.52,0.52,0.52,200,20.8
20130919,0,0.56,0.56,0.56,0.56,0,22.4
20130918,0,0.6,0.6,0.56,0.56,2900,22.4
20130917,0,0.48,0.56,0.48,0.56,300,22.4
20130916,0,0.6,0.6,0.48,0.48,200,19.2
20130913,0,0.48,0.6,0.48,0.6,900,24
20130912,0,0.4,0.4,0.4,0.4,0,16
20130911,0,0.58,0.58,0.4,0.4,2500,16
20130910,0,0.44,0.44,0.44,0.44,0,17.76
20130909,0,0.52,0.52,0.52,0.52,0,20.8
20130906,0,0.52,0.52,0.52,0.52,0,20.8
20130905,0,0.45,0.45,0.45,0.45,0,18.08
20130904,0,0.45,0.45,0.45,0.45,300,18.08
20130903,0,0.44,0.44,0.44,0.44,0,17.6
20130902,0,0.44,0.44,0.44,0.44,0,17.6
20130830,0,0.44,0.44,0.44,0.44,0,17.6
20130829,0,0.5,0.5,0.44,0.44,2500,17.6
20130828,0,0.5,0.5,0.5,0.5,100,20
20130827,0,0.52,0.56,0.52,0.52,2000,20.8
20130826,0,0.68,0.68,0.68,0.68,0,27.2
20130823,0,0.48,0.68,0.48,0.68,2400,27.2
20130822,0,0.48,0.48,0.48,0.48,1100,19.2
20130821,0,0.4,0.4,0.4,0.4,200,16
20130820,0,0.5,0.52,0.5,0.52,1200,20.8
20130819,0,0.44,0.44,0.44,0.44,0,17.76
20130816,0,0.44,0.44,0.44,0.44,200,17.76
20130815,0,0.44,0.44,0.44,0.44,0,17.76
20130814,0,0.54,0.54,0.54,0.54,0,21.6
20130813,0,0.44,0.44,0.44,0.44,600,17.76
20130812,0,0.44,0.54,0.44,0.54,300,21.6
20130809,0,0.54,0.6,0.44,0.54,2500,21.6
20130808,0,0.54,0.54,0.54,0.54,100,21.6
20130807,0,0.52,0.52,0.52,0.52,0,20.8
20130806,0,0.5,0.52,0.5,0.52,600,20.8
20130805,0,0.72,0.72,0.72,0.72,0,28.8
20130802,0,0.72,0.72,0.72,0.72,0,28.8
20130801,0,0.48,0.72,0.48,0.72,0,28.8
20130731,0,0.56,0.56,0.52,0.52,200,20.8
20130730,0,0.6,0.6,0.52,0.56,5300,22.24
20130729,0,0.44,0.6,0.44,0.6,2200,24
20130726,0,0.34,0.8,0.34,0.76,30300,30.4
20130725,0,0.34,0.34,0.34,0.34,200,13.76
20130724,0,0.34,0.34,0.34,0.34,0,13.76
20130723,0,0.34,0.34,0.34,0.34,0,13.6
20130722,0,0.4,0.4,0.34,0.34,4200,13.6
20130719,0,0.4,0.4,0.4,0.4,0,16
20130718,0,0.48,0.76,0.4,0.4,9000,16
20130717,0,0.32,0.48,0.32,0.48,6600,19.2
20130716,0,0.26,0.28,0.26,0.28,100,11.2
20130715,0,0.44,0.44,0.44,0.44,0,17.6
20130712,0,0.4,0.44,0.4,0.44,1300,17.6
20130711,0,0.28,0.3,0.28,0.28,300,11.2
20130710,0,0.26,0.44,0.26,0.28,1700,11.2
20130709,0,0.28,0.28,0.28,0.28,0,11.2
20130708,0,0.28,0.28,0.28,0.28,0,11.2
20130705,0,0.37,0.37,0.36,0.36,1100,14.4
20130704,0,0.36,0.36,0.36,0.36,0,14.4
20130703,0,0.36,0.36,0.36,0.36,0,14.4
20130702,0,0.36,0.36,0.36,0.36,0,14.4
20130701,0,0.36,0.36,0.36,0.36,100,14.4
20130628,0,0.36,0.44,0.36,0.44,4900,17.6
20130627,0,0.39,0.4,0.36,0.36,15400,14.4
20130626,0,0.4,0.4,0.4,0.4,0,16
20130625,0,0.32,0.4,0.32,0.4,2200,16
20130624,0,0.32,0.32,0.32,0.32,1900,12.96
20130621,0,0.32,0.48,0.32,0.38,3300,15.2
20130620,0,0.36,0.36,0.36,0.36,100,14.24
20130619,0,0.36,0.4,0.36,0.4,1500,16
20130618,0,0.44,0.44,0.44,0.44,600,17.6
20130617,0,0.42,0.46,0.42,0.46,4000,18.4
20130614,0,0.36,0.36,0.36,0.36,0,14.24
20130613,0,0.34,0.34,0.34,0.34,100,13.6
20130612,0,0.3,0.34,0.3,0.34,5200,13.6
20130611,0,0.35,0.35,0.35,0.35,0,13.92
20130610,0,0.52,0.52,0.35,0.35,200,13.92
20130607,0,0.28,0.52,0.28,0.52,7900,20.8
20130606,0,0.3,0.3,0.24,0.24,3100,9.6
20130605,0,0.3,0.3,0.3,0.3,700,12
20130604,0,0.3,0.3,0.3,0.3,100,12
20130603,0,0.36,0.37,0.36,0.37,300,14.88
20130531,0,0.4,0.4,0.4,0.4,600,16
20130530,0,0.4,0.4,0.4,0.4,300,16
20130529,0,0.4,0.4,0.27,0.4,8300,16
20130528,0,0.36,0.4,0.36,0.4,5800,16
20130527,0,0.4,0.4,0.4,0.4,0,16
20130524,0,0.36,0.52,0.36,0.4,5200,16
20130523,0,0.36,0.52,0.36,0.44,2700,17.44
20130522,0,0.6,0.6,0.39,0.52,7600,20.8
20130521,0,0.44,0.52,0.44,0.52,5300,20.8
20130520,0,0.4,0.4,0.4,0.4,800,16
20130517,0,0.36,0.36,0.36,0.36,200,14.4
20130516,0,0.4,0.4,0.4,0.4,0,16
20130515,0,0.44,0.44,0.36,0.4,6200,16
20130514,0,0.57,0.57,0.34,0.48,0,19.2
20130513,0,0.35,0.5,0.35,0.5,7100,20
20130510,0,0.34,0.35,0.34,0.35,400,13.92
20130509,0,0.36,0.44,0.33,0.44,2600,17.6
20130508,0,0.6,0.6,0.33,0.36,1100,14.4
20130507,0,0.4,0.52,0.33,0.52,4200,20.8
20130506,0,0.34,0.4,0.33,0.4,8700,16
20130503,0,0.52,0.52,0.32,0.32,1300,12.8
20130502,0,0.3,0.32,0.24,0.24,2700,9.6
20130501,0,0.32,0.36,0.3,0.3,2200,12
20130430,0,0.32,0.32,0.28,0.32,4400,12.8
20130429,0,0.34,0.34,0.32,0.32,5300,12.96
20130426,0,0.32,0.36,0.32,0.35,6000,14.08
20130425,0,0.36,0.36,0.33,0.33,5900,13.12
20130424,0,0.56,0.56,0.36,0.36,19400,14.4
20130423,0,0.46,0.6,0.44,0.56,3300,22.4
20130422,0,0.64,0.64,0.44,0.56,1300,22.4
20130419,0,0.6,0.66,0.44,0.64,6300,25.6
20130418,0,0.55,0.76,0.48,0.68,5000,27.2
20130417,0,0.68,0.76,0.6,0.76,7900,30.4
20130416,0,0.74,0.8,0.66,0.76,10300,30.4
20130415,0,0.97,1.08,0.62,0.72,28200,28.8
20130412,0,0.82,1.38,0.82,0.97,54500,38.72
20130411,0,0.8,1.92,0.6,0.92,146800,36.8
20130410,0,1.08,1.08,0.68,0.7,46300,28
20130409,0,0.7,1.32,0.7,1,125600,40
20130408,0,0.22,1.16,0.22,0.52,210500,20.8
20130405,0,0.22,0.22,0.22,0.22,0,8.96
20130404,0,0.22,0.22,0.22,0.22,0,8.96
20130403,0,0.28,0.4,0.22,0.22,2700,8.96
20130402,0,0.28,0.28,0.28,0.28,0,11.2
20130401,0,0.28,0.28,0.28,0.28,100,11.2
20130329,0,0.28,0.28,0.28,0.28,0,11.2
20130328,0,0.28,0.28,0.28,0.28,200,11.2
20130327,0,0.28,0.28,0.28,0.28,300,11.2
20130326,0,0.36,0.44,0.28,0.28,3300,11.2
20130325,0,0.24,0.24,0.24,0.24,0,9.6
20130322,0,0.28,0.28,0.24,0.24,700,9.6
20130321,0,0.17,0.2,0.17,0.2,700,8.16
20130320,0,0.17,0.17,0.17,0.17,0,6.88
20130319,0,0.17,0.17,0.17,0.17,0,6.88
20130318,0,0.17,0.17,0.17,0.17,0,6.88
20130315,0,0.17,0.17,0.17,0.17,200,6.88
20130314,0,0.17,0.2,0.17,0.2,800,8
20130313,0,0.17,0.17,0.17,0.17,0,6.88
20130312,0,0.2,0.2,0.2,0.2,0,8
20130311,0,0.2,0.2,0.2,0.2,0,8
20130308,0,0.28,0.28,0.2,0.2,2500,8
20130307,0,0.28,0.28,0.28,0.28,0,11.2
20130306,0,0.2,0.2,0.18,0.18,200,7.2
20130305,0,0.16,0.16,0.16,0.16,0,6.4
20130304,0,0.16,0.16,0.16,0.16,0,6.4
20130301,0,0.16,0.16,0.16,0.16,0,6.4
20130228,0,0.16,0.16,0.16,0.16,100,6.4
20130227,0,0.24,0.24,0.16,0.16,2600,6.4
20130226,0,0.24,0.24,0.24,0.24,0,9.6
20130225,0,0.24,0.24,0.24,0.24,0,9.6
20130222,0,0.24,0.24,0.24,0.24,0,9.6
20130221,0,0.24,0.24,0.24,0.24,500,9.6
20130220,0,0.36,0.48,0.24,0.24,1900,9.6
20130219,0,0.32,0.52,0.32,0.52,9500,20.8
20130218,0,0.32,0.32,0.32,0.32,0,12.8
20130215,0,0.22,0.36,0.2,0.32,3100,12.8
20130214,0,0.17,0.22,0.17,0.22,1300,8.8
20130213,0,0.2,0.2,0.2,0.2,200,8
20130212,0,0.2,0.22,0.2,0.22,100,8.8
20130211,0,0.2,0.2,0.2,0.2,1000,8
20130208,0,0.16,0.16,0.16,0.16,0,6.4
20130207,0,0.14,0.18,0.14,0.16,3800,6.4
20130206,0,0.14,0.14,0.14,0.14,1100,5.6
20130205,0,0.14,0.14,0.12,0.12,5000,4.8
20130204,0,0.14,0.14,0.14,0.14,0,5.6
20130201,0,0.14,0.14,0.14,0.14,0,5.6
20130131,0,0.14,0.14,0.14,0.14,0,5.6
20130130,0,0.14,0.14,0.14,0.14,100,5.6
20130129,0,0.17,0.17,0.14,0.14,1100,5.6
20130128,0,0.14,0.14,0.14,0.14,0,5.6
20130125,0,0.14,0.14,0.14,0.14,100,5.6
20130124,0,0.14,0.14,0.14,0.14,0,5.6
20130123,0,0.14,0.14,0.14,0.14,0,5.6
20130122,0,0.14,0.14,0.14,0.14,0,5.6
20130121,0,0.14,0.14,0.14,0.14,0,5.6
20130118,0,0.14,0.14,0.14,0.14,200,5.6
20130117,0,0.14,0.14,0.14,0.14,0,5.6
20130116,0,0.14,0.14,0.14,0.14,0,5.6
20130115,0,0.14,0.14,0.14,0.14,2400,5.6
20130114,0,0.16,0.16,0.16,0.16,0,6.4
20130111,0,0.16,0.16,0.16,0.16,0,6.4
20130110,0,0.14,0.16,0.14,0.16,100,6.4
20130109,0,0.14,0.14,0.14,0.14,1100,5.6
20130108,0,0.14,0.14,0.14,0.14,0,5.6
20130107,0,0.14,0.14,0.14,0.14,0,5.6
20130104,0,0.16,0.16,0.14,0.14,4700,5.6
20130103,0,0.14,0.16,0.14,0.16,300,6.4
20130102,0,0.16,0.16,0.16,0.16,0,6.4
20130101,0,0.16,0.16,0.16,0.16,0,6.4
20121231,0,0.16,0.18,0.16,0.16,1400,6.4
20121228,0,0.13,0.2,0.13,0.2,800,8
20121227,0,0.15,0.15,0.12,0.13,3300,5.28
