date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.89,0.89,0.89,0.89,0,0.89
20140113,0,0.89,0.89,0.89,0.89,0,0.89
20140110,0,0.89,0.89,0.89,0.89,0,0.89
20140109,0,0.89,0.89,0.89,0.89,0,0.89
20140108,0,0.89,0.89,0.89,0.89,0,0.89
20140107,0,0.89,0.89,0.89,0.89,0,0.89
20140106,0,0.89,0.89,0.89,0.89,0,0.89
20140103,0,0.89,0.89,0.89,0.89,0,0.89
20140102,0,0.89,0.89,0.89,0.89,0,0.89
20131231,0,0.89,0.89,0.89,0.89,0,0.89
20131230,0,0.89,0.89,0.89,0.89,2800,0.89
20131227,0,0.89,0.89,0.89,0.89,800,0.89
20131226,0,0.79,0.79,0.79,0.79,0,0.79
20131224,0,0.79,0.79,0.79,0.79,0,0.79
20131223,0,0.79,0.79,0.79,0.79,0,0.79
20131220,0,0.79,0.79,0.79,0.79,0,0.79
20131219,0,0.75,0.79,0.75,0.79,2600,0.79
20131218,0,0.7,0.7,0.7,0.7,0,0.7
20131217,0,0.71,0.71,0.7,0.7,2600,0.7
20131216,0,1,1,1,1,0,1
20131213,0,0.75,1,0.75,1,3400,1
20131212,0,0.55,0.55,0.55,0.55,0,0.55
20131211,0,0.55,0.55,0.55,0.55,2000,0.55
20131210,0,0.52,0.52,0.52,0.52,0,0.52
20131209,0,0.52,0.52,0.52,0.52,0,0.52
20131206,0,0.52,0.52,0.52,0.52,0,0.52
20131205,0,0.52,0.52,0.52,0.52,0,0.52
20131204,0,0.6,0.6,0.52,0.52,1600,0.52
20131203,0,0.75,0.75,0.75,0.75,0,0.75
20131202,0,0.75,0.75,0.75,0.75,0,0.75
20131129,0,0.75,0.75,0.75,0.75,0,0.75
20131127,0,0.75,0.75,0.75,0.75,0,0.75
20131126,0,0.75,0.75,0.75,0.75,0,0.75
20131125,0,0.75,0.75,0.75,0.75,0,0.75
20131122,0,0.75,0.75,0.75,0.75,0,0.75
20131121,0,0.75,0.75,0.75,0.75,0,0.75
20131120,0,0.75,0.75,0.75,0.75,700,0.75
20131119,0,0.71,0.71,0.71,0.71,0,0.71
20131118,0,0.71,0.71,0.71,0.71,1200,0.71
20131115,0,0.71,0.71,0.71,0.71,0,0.71
20131114,0,0.71,0.71,0.71,0.71,0,0.71
20131113,0,0.71,0.71,0.71,0.71,300,0.71
20131112,0,0.71,0.71,0.71,0.71,0,0.71
20131111,0,0.71,0.71,0.71,0.71,0,0.71
20131108,0,0.71,0.71,0.71,0.71,0,0.71
20131107,0,0.71,0.71,0.71,0.71,200,0.71
20131106,0,0.8,0.8,0.8,0.8,0,0.8
20131105,0,0.8,0.8,0.8,0.8,0,0.8
20131104,0,0.63,0.8,0.63,0.8,1900,0.8
20131101,0,0.8,0.8,0.8,0.8,0,0.8
20131031,0,0.8,0.8,0.8,0.8,0,0.8
20131030,0,0.62,0.8,0.62,0.8,600,0.8
20131029,0,0.62,0.62,0.62,0.62,0,0.62
20131028,0,0.62,0.62,0.62,0.62,0,0.62
20131025,0,0.62,0.62,0.62,0.62,300,0.62
20131024,0,0.62,0.62,0.62,0.62,0,0.62
20131023,0,0.89,0.89,0.62,0.62,800,0.62
20131022,0,0.75,0.75,0.75,0.75,1000,0.75
20131021,0,0.9,0.9,0.7,0.7,2800,0.7
20131018,0,0.6,0.6,0.6,0.6,0,0.6
20131017,0,0.6,0.6,0.6,0.6,700,0.6
20131016,0,0.7,0.75,0.61,0.61,10000,0.61
20131015,0,0.81,0.81,0.81,0.81,0,0.81
20131014,0,0.81,0.81,0.81,0.81,2900,0.81
20131011,0,0.9,0.9,0.82,0.82,2900,0.82
20131010,0,0.9,0.9,0.82,0.82,700,0.82
20131009,0,0.98,0.98,0.82,0.82,3400,0.82
20131008,0,0.88,1,0.88,0.98,3500,0.98
20131007,0,0.4,0.9,0.4,0.9,29500,0.9
20131004,0,0.5,0.9,0.5,0.9,7200,0.9
20131003,0,0.55,0.62,0.55,0.6,9600,0.6
20131002,0,0.3,0.55,0.3,0.55,67700,0.55
20131001,0,0.34,0.34,0.32,0.32,3800,0.32
20130930,0,0.34,0.34,0.34,0.34,3000,0.34
20130927,0,0.22,0.38,0.22,0.32,16000,0.32
20130926,0,0.56,0.56,0.43,0.43,41100,0.43
20130925,0,0.54,0.56,0.54,0.56,5000,0.56
20130924,0,0.56,0.56,0.56,0.56,0,0.56
20130923,0,0.56,0.56,0.56,0.56,0,0.56
20130920,0,0.54,0.56,0.54,0.56,3000,0.56
20130919,0,0.55,0.56,0.55,0.55,5400,0.55
20130918,0,0.47,0.55,0.47,0.55,12000,0.55
20130917,0,0.45,0.47,0.45,0.47,9600,0.47
20130916,0,0.43,0.43,0.43,0.43,3100,0.43
20130913,0,0.55,0.55,0.55,0.55,0,0.55
20130912,0,0.55,0.55,0.55,0.55,0,0.55
