date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,2.16,2.18,2.1,2.11,76800,2.11
20140128,0,2.07,2.2,2.07,2.18,61700,2.18
20140127,0,2.16,2.16,2.05,2.06,121600,2.06
20140124,0,2.13,2.17,2.1,2.14,188400,2.14
20140123,0,2.25,2.29,2.16,2.18,138800,2.18
20140122,0,2.31,2.37,2.22,2.22,161800,2.22
20140121,0,2.4,2.5,2.28,2.34,258000,2.34
20140117,0,2.49,2.6,2.36,2.38,171300,2.38
20140116,0,2.41,2.62,2.33,2.56,265200,2.56
20140115,0,2.34,2.4,2.34,2.39,50300,2.39
20140114,0,2.28,2.37,2.25,2.34,46500,2.34
20140113,0,2.34,2.38,2.27,2.28,80200,2.28
20140110,0,2.41,2.42,2.31,2.35,37300,2.35
20140109,0,2.45,2.47,2.36,2.36,45200,2.36
20140108,0,2.43,2.48,2.37,2.44,106400,2.44
20140107,0,2.38,2.45,2.38,2.42,52600,2.42
20140106,0,2.48,2.5,2.35,2.38,107200,2.38
20140103,0,2.4,2.56,2.38,2.51,378600,2.51
20140102,0,2.3,2.37,2.3,2.36,56600,2.36
20131231,0,2.32,2.37,2.31,2.32,108900,2.32
20131230,0,2.27,2.39,2.25,2.32,171000,2.32
20131227,0,2.32,2.38,2.2,2.29,143000,2.29
20131226,0,2.2,2.34,2.19,2.29,197300,2.29
20131224,0,2.2,2.21,2.16,2.21,31100,2.21
20131223,0,2.18,2.22,2.15,2.2,79400,2.2
20131220,0,2.18,2.25,2.17,2.19,53900,2.19
20131219,0,2.21,2.24,2.12,2.2,33200,2.2
20131218,0,2.1,2.24,2.1,2.2,91900,2.2
20131217,0,2.16,2.21,2.12,2.14,57300,2.14
20131216,0,2.18,2.19,2.16,2.18,54700,2.18
20131213,0,2.2,2.24,2.17,2.17,49800,2.17
20131212,0,2.18,2.24,2.18,2.19,22700,2.19
20131211,0,2.27,2.3,2.21,2.21,55200,2.21
20131210,0,2.23,2.31,2.23,2.3,39700,2.3
20131209,0,2.27,2.3,2.22,2.26,29100,2.26
20131206,0,2.23,2.31,2.18,2.27,148200,2.27
20131205,0,2.31,2.34,2.2,2.23,45300,2.23
20131204,0,2.23,2.34,2.23,2.28,65400,2.28
20131203,0,2.27,2.4,2.22,2.27,63900,2.27
20131202,0,2.21,2.4,2.21,2.31,214400,2.31
20131129,0,2.16,2.21,2.16,2.21,41000,2.21
20131127,0,2.15,2.18,2.15,2.17,24200,2.17
20131126,0,2.18,2.21,2.15,2.17,35500,2.17
20131125,0,2.16,2.25,2.16,2.16,44900,2.16
20131122,0,2.2,2.23,2.19,2.19,33100,2.19
20131121,0,2.18,2.21,2.16,2.18,35700,2.18
20131120,0,2.23,2.23,2.18,2.18,40600,2.18
20131119,0,2.27,2.3,2.15,2.19,75600,2.19
20131118,0,2.31,2.31,2.22,2.24,73900,2.24
20131115,0,2.25,2.3,2.25,2.27,35400,2.27
20131114,0,2.3,2.33,2.26,2.27,129800,2.27
20131113,0,2.3,2.35,2.27,2.34,57200,2.34
20131112,0,2.31,2.4,2.27,2.28,57800,2.28
20131111,0,2.29,2.39,2.28,2.31,39300,2.31
20131108,0,2.3,2.4,2.26,2.31,43000,2.31
20131107,0,2.27,2.3,2.26,2.26,25100,2.26
20131106,0,2.3,2.32,2.27,2.28,61200,2.28
20131105,0,2.32,2.41,2.3,2.32,83000,2.32
20131104,0,2.33,2.37,2.32,2.33,13300,2.33
20131101,0,2.37,2.37,2.31,2.32,20500,2.32
20131031,0,2.3,2.36,2.3,2.36,60400,2.36
20131030,0,2.37,2.39,2.3,2.32,74900,2.32
20131029,0,2.38,2.38,2.32,2.38,34000,2.38
20131028,0,2.43,2.43,2.35,2.35,149100,2.35
20131025,0,2.4,2.49,2.37,2.41,94700,2.41
20131024,0,2.47,2.47,2.35,2.39,232200,2.39
20131023,0,2.79,2.79,2.46,2.48,347400,2.48
20131022,0,3.12,3.35,2.7,2.74,759400,2.74
20131021,0,2.73,3.19,2.72,3.1,1078500,3.1
20131018,0,2.56,2.75,2.47,2.67,275200,2.67
20131017,0,2.58,2.64,2.48,2.52,89100,2.52
20131016,0,2.61,2.73,2.45,2.57,198500,2.57
20131015,0,2.8,2.89,2.61,2.61,267100,2.61
20131014,0,2.46,2.77,2.4,2.7,441000,2.7
20131011,0,2.42,2.59,2.42,2.47,64700,2.47
20131010,0,2.38,2.55,2.36,2.48,176200,2.48
20131009,0,2.35,2.56,2.3,2.36,86700,2.36
20131008,0,2.6,2.6,2.35,2.38,116600,2.38
20131007,0,2.37,2.7,2.37,2.5,269300,2.5
20131004,0,2.26,2.45,2.26,2.39,112400,2.39
20131003,0,2.33,2.33,2.25,2.28,10400,2.28
20131002,0,2.25,2.39,2.23,2.31,62400,2.31
20131001,0,2.3,2.33,2.26,2.26,26100,2.26
20130930,0,2.28,2.35,2.24,2.26,19900,2.26
20130927,0,2.23,2.32,2.23,2.28,41200,2.28
20130926,0,2.22,2.28,2.16,2.23,83500,2.23
20130925,0,2.22,2.28,2.21,2.26,37400,2.26
20130924,0,2.22,2.28,2.16,2.27,114800,2.27
20130923,0,2.19,2.23,2.15,2.19,61600,2.19
20130920,0,2.31,2.35,2.05,2.24,361900,2.24
20130919,0,2.38,2.4,2.31,2.31,63100,2.31
20130918,0,2.35,2.4,2.28,2.38,84200,2.38
20130917,0,2.42,2.48,2.3,2.33,149300,2.33
20130916,0,2.45,2.47,2.39,2.4,223000,2.4
20130913,0,2.47,2.48,2.41,2.46,50700,2.46
20130912,0,2.49,2.5,2.4,2.43,60000,2.43
20130911,0,2.47,2.57,2.43,2.45,36100,2.45
20130910,0,2.47,2.61,2.42,2.48,83900,2.48
20130909,0,2.37,2.43,2.37,2.42,16400,2.42
20130906,0,2.43,2.49,2.39,2.43,49200,2.43
20130905,0,2.42,2.49,2.33,2.42,75600,2.42
20130904,0,2.37,2.44,2.36,2.44,12400,2.44
20130903,0,2.38,2.39,2.33,2.38,24900,2.38
20130830,0,2.39,2.43,2.32,2.35,45600,2.35
20130829,0,2.4,2.75,2.34,2.4,513400,2.4
20130828,0,2.29,2.55,2.25,2.37,160100,2.37
20130827,0,2.38,2.38,2.27,2.28,23700,2.28
20130826,0,2.4,2.49,2.34,2.38,82100,2.38
20130823,0,2.3,2.4,2.3,2.39,47000,2.39
20130822,0,2.44,2.44,2.23,2.34,22300,2.34
20130821,0,2.35,2.35,2.26,2.35,40800,2.35
20130820,0,2.47,2.47,2.26,2.33,197000,2.33
20130819,0,2.47,2.52,2.42,2.44,22800,2.44
20130816,0,2.46,2.49,2.41,2.49,33000,2.49
20130815,0,2.55,2.55,2.41,2.48,71100,2.48
20130814,0,2.54,2.64,2.47,2.56,58100,2.56
20130813,0,2.48,2.53,2.43,2.52,27200,2.52
20130812,0,2.48,2.55,2.46,2.46,32600,2.46
20130809,0,2.47,2.59,2.46,2.46,41000,2.46
20130808,0,2.48,2.55,2.4,2.47,57700,2.47
20130807,0,2.59,2.65,2.4,2.43,109500,2.43
20130806,0,2.7,2.72,2.58,2.59,54500,2.59
20130805,0,2.71,2.72,2.63,2.68,46400,2.68
20130802,0,2.75,2.75,2.64,2.72,81800,2.72
20130801,0,2.61,2.77,2.52,2.72,102100,2.72
20130731,0,2.6,2.7,2.56,2.59,81400,2.59
20130730,0,2.57,2.78,2.51,2.55,135200,2.55
20130729,0,2.54,2.62,2.52,2.53,43900,2.53
20130726,0,2.54,2.6,2.54,2.56,28200,2.56
