date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,2.86,2.96,2.86,2.96,3200,2.96
20140113,0,2.85,2.9,2.85,2.86,11600,2.86
20140110,0,2.85,2.85,2.85,2.85,500,2.85
20140109,0,2.88,2.88,2.88,2.88,200,2.88
20140108,0,2.88,2.98,2.88,2.98,1000,2.98
20140107,0,2.88,2.98,2.88,2.88,700,2.88
20140106,0,2.9,2.9,2.9,2.9,1100,2.9
20140103,0,2.85,2.86,2.85,2.86,8700,2.86
20140102,0,2.9,2.9,2.82,2.89,17100,2.89
20140101,0,2.85,2.85,2.85,2.85,0,2.85
20131231,0,2.85,2.85,2.85,2.85,0,2.85
20131230,0,2.86,2.86,2.85,2.85,2600,2.85
20131227,0,2.9,2.99,2.9,2.99,9500,2.99
20131226,0,2.86,2.86,2.86,2.86,0,2.86
20131225,0,2.86,2.86,2.86,2.86,0,2.86
20131224,0,2.86,2.86,2.86,2.86,0,2.86
20131223,0,2.86,2.9,2.86,2.86,1300,2.86
20131220,0,2.87,2.87,2.86,2.86,1500,2.86
20131219,0,2.86,2.89,2.86,2.87,600,2.87
20131218,0,2.86,2.86,2.86,2.86,2000,2.86
20131217,0,2.86,2.86,2.86,2.86,1000,2.86
20131216,0,2.85,2.85,2.85,2.85,0,2.85
20131213,0,2.85,2.85,2.85,2.85,100,2.85
20131212,0,2.9,2.9,2.85,2.85,10100,2.85
20131211,0,2.85,2.85,2.85,2.85,23400,2.85
20131210,0,2.78,2.87,2.78,2.85,81000,2.85
20131209,0,2.63,2.63,2.63,2.63,2500,2.63
20131206,0,2.63,2.63,2.63,2.63,100,2.63
20131205,0,2.69,2.69,2.69,2.69,100,2.69
20131204,0,2.63,2.63,2.63,2.63,0,2.63
20131203,0,2.63,2.63,2.63,2.63,300,2.63
20131202,0,2.64,2.64,2.64,2.64,0,2.64
20131129,0,2.64,2.64,2.64,2.64,900,2.64
20131128,0,2.63,2.63,2.63,2.63,0,2.63
20131127,0,2.63,2.63,2.63,2.63,0,2.63
20131126,0,2.63,2.63,2.63,2.63,0,2.63
20131125,0,2.63,2.63,2.63,2.63,900,2.63
20131122,0,2.64,2.64,2.63,2.63,600,2.63
20131121,0,2.64,2.64,2.63,2.63,3600,2.63
20131120,0,2.69,2.69,2.69,2.69,0,2.69
20131119,0,2.64,2.69,2.64,2.69,100,2.69
20131118,0,2.63,2.64,2.63,2.63,200,2.63
20131115,0,2.69,2.69,2.69,2.69,0,2.69
20131114,0,2.69,2.69,2.69,2.69,0,2.69
20131113,0,2.63,2.63,2.63,2.63,0,2.63
20131112,0,2.63,2.63,2.63,2.63,0,2.63
20131111,0,2.63,2.63,2.63,2.63,0,2.63
20131108,0,2.67,2.67,2.63,2.63,5100,2.63
20131107,0,2.62,2.69,2.62,2.69,100,2.69
20131106,0,2.62,2.62,2.62,2.62,100,2.62
20131105,0,2.62,2.62,2.62,2.62,0,2.62
20131104,0,2.69,2.69,2.69,2.69,0,2.69
20131101,0,2.69,2.69,2.69,2.69,0,2.69
20131031,0,2.63,2.63,2.63,2.63,4200,2.63
20131030,0,2.62,2.62,2.62,2.62,3900,2.62
20131029,0,2.62,2.65,2.62,2.65,200,2.65
20131028,0,2.65,2.65,2.65,2.65,500,2.65
20131025,0,2.65,2.65,2.65,2.65,200,2.65
20131024,0,2.66,2.7,2.66,2.7,3700,2.7
20131023,0,2.62,2.62,2.62,2.62,14100,2.62
20131022,0,2.61,2.62,2.61,2.62,11200,2.62
20131021,0,2.63,2.63,2.63,2.63,0,2.63
20131018,0,2.66,2.66,2.62,2.62,8000,2.62
20131017,0,2.62,2.62,2.62,2.62,0,2.62
20131016,0,2.62,2.62,2.62,2.62,0,2.62
20131015,0,2.63,2.63,2.62,2.62,2100,2.62
20131014,0,2.64,2.64,2.63,2.63,2500,2.63
20131011,0,2.68,2.68,2.63,2.63,700,2.63
20131010,0,2.63,2.63,2.63,2.63,800,2.63
20131009,0,2.7,2.7,2.62,2.65,67000,2.65
20131008,0,2.7,2.7,2.6,2.7,11800,2.7
20131007,0,2.64,2.7,2.64,2.7,100,2.7
20131004,0,2.7,2.7,2.7,2.7,100,2.7
20131003,0,2.65,2.65,2.65,2.65,0,2.65
20131002,0,2.75,3.03,2.63,2.65,33600,2.65
20131001,0,2.36,2.36,2.36,2.36,0,2.36
20130930,0,2.39,2.45,2.33,2.45,600,2.45
20130927,0,2.32,2.32,2.32,2.32,1000,2.32
20130926,0,2.65,2.65,2.49,2.49,500,2.49
20130925,0,2.17,2.99,2.17,2.99,19900,2.99
20130924,0,2.3,2.3,2.3,2.3,200,2.3
20130923,0,2.31,2.32,2.14,2.14,2300,2.14
20130920,0,2.18,2.18,2.18,2.18,0,2.18
20130919,0,2.18,2.18,2.18,2.18,0,2.18
20130918,0,2.18,2.18,2.18,2.18,100,2.18
20130917,0,2.2,2.2,2.2,2.2,0,2.2
20130916,0,2.19,2.19,2.19,2.19,300,2.19
20130913,0,2.26,2.26,2.26,2.26,0,2.26
20130912,0,2.34,2.34,2.34,2.34,100,2.34
20130911,0,2.35,2.35,2.35,2.35,0,2.35
20130910,0,2.35,2.35,2.35,2.35,0,2.35
20130909,0,2.27,2.35,2.27,2.35,1000,2.35
20130906,0,2.41,2.41,2.41,2.41,0,2.41
20130905,0,2.26,2.26,2.26,2.26,0,2.26
20130904,0,2.26,2.26,2.26,2.26,0,2.26
20130903,0,2.26,2.26,2.26,2.26,0,2.26
20130902,0,2.26,2.26,2.26,2.26,0,2.26
20130830,0,2.17,2.26,2.17,2.26,1900,2.26
20130829,0,2.5,2.55,2.5,2.55,3000,2.55
20130828,0,2.35,2.61,2.35,2.61,400,2.61
20130827,0,2.31,2.31,2.31,2.31,100,2.31
20130826,0,2.16,2.16,2.16,2.16,0,2.16
20130823,0,2.16,2.16,2.16,2.16,0,2.16
20130822,0,2.16,2.17,2.16,2.16,100,2.16
20130821,0,2.2,2.2,2.16,2.16,200,2.16
20130820,0,2.2,2.2,2.2,2.2,0,2.2
20130819,0,2.15,2.2,2.14,2.2,2100,2.2
20130816,0,2.05,2.05,2.05,2.05,0,2.05
20130815,0,2.05,2.05,2.05,2.05,0,2.05
20130814,0,2.05,2.05,2.05,2.05,0,2.05
20130813,0,2.05,2.05,2.05,2.05,0,2.05
20130812,0,2.03,2.03,2.03,2.03,0,2.03
20130809,0,2.03,2.03,2.03,2.03,0,2.03
20130808,0,2.03,2.03,2.03,2.03,600,2.03
20130807,0,2.05,2.05,2.05,2.05,0,2.05
20130806,0,2.03,2.1,2.03,2.1,1000,2.1
20130805,0,1.98,1.98,1.98,1.98,0,1.98
20130802,0,1.98,1.98,1.98,1.98,100,1.98
20130801,0,2,2,2,2,0,2
20130731,0,2,2,2,2,1100,2
20130730,0,2.05,2.05,2.05,2.05,0,2.05
20130729,0,2.07,2.07,2.07,2.07,0,2.07
20130726,0,2.07,2.07,2.07,2.07,300,2.07
20130725,0,2.08,2.08,2.08,2.08,0,2.08
20130724,0,2.08,2.08,2.08,2.08,0,2.08
20130723,0,2.05,2.05,2.05,2.05,0,2.05
20130722,0,2.05,2.05,2.05,2.05,0,2.05
20130719,0,2.02,2.02,2.02,2.02,800,2.02
20130718,0,2.21,2.21,2.21,2.21,0,2.21
20130717,0,2.21,2.21,2.21,2.21,0,2.21
20130716,0,2.21,2.21,2.21,2.21,0,2.21
20130715,0,2.3,2.3,2.3,2.3,0,2.3
20130712,0,2.3,2.3,2.3,2.3,0,2.3
20130711,0,2.3,2.3,2.3,2.3,1200,2.3
20130710,0,2.22,2.28,2.22,2.28,1600,2.28
20130709,0,2.08,2.08,2.08,2.08,0,2.08
20130708,0,2,2.08,2,2.08,5400,2.08
20130705,0,2,2,2,2,800,2
20130704,0,2,2,2,2,0,2
20130703,0,2,2,2,2,0,2
20130702,0,2,2,2,2,0,2
20130701,0,2,2,2,2,0,2
20130628,0,2,2,2,2,3300,2
20130627,0,2.05,2.11,2.05,2.11,1100,2.11
20130626,0,1.98,2.04,1.97,2.04,0,2.04
20130625,0,2.15,2.15,2.15,2.15,0,2.15
20130624,0,2.15,2.15,2.15,2.15,0,2.15
20130621,0,2.15,2.15,2.15,2.15,0,2.15
20130620,0,2.15,2.15,2.15,2.15,0,2.15
20130619,0,2.1,2.15,2,2.15,400,2.15
20130618,0,2,2,2,2,0,2
20130617,0,1.99,2,1.99,2,1400,2
20130614,0,2.08,2.16,2.02,2.16,3000,2.16
20130613,0,1.98,1.98,1.98,1.98,0,1.98
20130612,0,1.98,1.98,1.98,1.98,0,1.98
20130611,0,1.98,1.98,1.98,1.98,0,1.98
20130610,0,2,2,2,2,200,2
20130607,0,2,2.11,2,2.11,5000,2.11
20130606,0,2,2,1.98,2,18300,2
20130605,0,2,2,2,2,300,2
20130604,0,2.01,2.01,2.01,2.01,0,2.01
20130603,0,2,2.01,2,2.01,5200,2.01
20130531,0,2,2,1.98,1.98,6700,1.98
20130530,0,2,2,2,2,3000,2
20130529,0,2,2,2,2,4300,2
20130528,0,2,2.09,2,2.09,13600,2.09
20130527,0,2,2.14,2,2,14400,2
20130524,0,2,2.02,2,2.02,7300,2.02
20130523,0,2,2,2,2,0,2
20130522,0,2,2,2,2,0,2
20130521,0,2.01,2.01,2,2,25000,2
20130520,0,2,2,2,2,0,2
20130517,0,2,2,2,2,15800,2
20130516,0,2,2.01,2,2,7200,2
20130515,0,2,2,2,2,0,2
20130514,0,2,2,2,2,0,2
20130513,0,2.03,2.03,2,2,2300,2
20130510,0,2.16,2.16,2.16,2.16,0,2.16
20130509,0,2.16,2.16,2.16,2.16,0,2.16
20130508,0,2.16,2.16,2.16,2.16,0,2.16
20130507,0,2.04,2.16,2.04,2.16,100,2.16
20130506,0,2.15,2.15,2.15,2.15,0,2.15
20130503,0,2.15,2.15,2.15,2.15,0,2.15
20130502,0,2.15,2.15,2.15,2.15,0,2.15
20130501,0,2.15,2.15,2.15,2.15,0,2.15
20130430,0,2.15,2.15,2.15,2.15,0,2.15
20130429,0,2.15,2.15,2.15,2.15,2800,2.15
20130426,0,2.19,2.19,2.1,2.1,2100,2.1
20130425,0,2.15,2.19,2.15,2.19,3100,2.19
20130424,0,2.01,2.14,2.01,2.14,400,2.14
20130423,0,2.13,2.13,2.13,2.13,0,2.13
20130422,0,2.13,2.14,2.13,2.14,0,2.14
20130419,0,2.12,2.13,2.12,2.13,0,2.13
20130418,0,2,2.15,2,2.15,0,2.15
20130417,0,2,2,2,2,0,2
20130416,0,2,2,2,2,0,2
20130415,0,2,2,2,2,0,2
20130412,0,2,2,2,2,0,2
20130411,0,1.99,2,1.99,2,5100,2
20130410,0,1.9,1.9,1.9,1.9,0,1.9
20130409,0,1.93,1.93,1.93,1.93,0,1.93
20130408,0,1.93,1.93,1.93,1.93,0,1.93
20130405,0,1.93,1.93,1.93,1.93,0,1.93
20130404,0,1.93,1.93,1.93,1.93,100,1.93
20130403,0,2.09,2.09,1.97,1.97,3500,1.97
20130402,0,2.18,2.18,2.18,2.18,0,2.18
20130401,0,2.18,2.18,2.18,2.18,0,2.18
20130329,0,2.18,2.18,2.18,2.18,0,2.18
20130328,0,2.18,2.18,2.18,2.18,2000,2.18
20130327,0,2.26,2.26,2.26,2.26,0,2.26
20130326,0,2.26,2.26,2.26,2.26,2000,2.26
20130325,0,2.29,2.29,2.29,2.29,0,2.29
20130322,0,2.34,2.34,2.29,2.29,1000,2.29
20130321,0,2.32,2.32,2.32,2.32,0,2.32
20130320,0,2.32,2.32,2.32,2.32,200,2.32
20130319,0,2.42,2.42,2.42,2.42,2300,2.42
20130318,0,2.45,2.45,2.42,2.42,5000,2.42
20130315,0,2.6,2.8,2.47,2.54,5000,2.54
20130314,0,2.55,2.9,2.55,2.8,13400,2.8
20130313,0,2.45,2.47,2.45,2.45,2700,2.45
20130312,0,2.45,2.51,2.45,2.51,3100,2.51
20130311,0,2.64,2.65,2.45,2.45,3300,2.45
20130308,0,2.63,2.78,2.63,2.72,1100,2.72
20130307,0,2.8,2.8,2.8,2.8,0,2.8
20130306,0,2.75,2.75,2.75,2.75,1000,2.75
