date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,13.05,13.1,12.73,12.75,855100,12.53
20140113,0,13.28,13.32,13.12,13.19,424000,12.96
20140110,0,13.49,13.57,13.15,13.28,627600,13.05
20140109,0,13.43,13.49,13.15,13.49,595900,13.26
20140108,0,13.26,13.47,13.21,13.3,645000,13.07
20140107,0,13.1,13.23,13.06,13.13,673300,12.9
20140106,0,13.16,13.34,13.04,13.12,397500,12.89
20140103,0,13.05,13.16,12.9,13.09,797900,12.86
20140102,0,13.49,13.59,13.2,13.26,641500,13.03
20140101,0,13.41,13.41,13.41,13.41,0,13.18
20131231,0,13.24,13.44,13.22,13.41,306400,13.18
20131230,0,13.41,13.41,13.21,13.27,281600,13.04
20131227,0,13.5,13.5,13.19,13.24,348800,13.01
20131226,0,13.33,13.33,13.33,13.33,0,13.1
20131225,0,13.33,13.33,13.33,13.33,0,13.1
20131224,0,13,13.35,12.99,13.33,309800,13.1
20131223,0,13,13,12.78,12.9,993600,12.68
20131220,0,12.75,12.96,12.64,12.96,915800,12.74
20131219,0,12.5,12.78,12.39,12.78,1811600,12.56
20131218,0,12.3,12.34,12.18,12.3,1178500,12.09
20131217,0,12.55,12.6,12.13,12.27,2173600,12.06
20131216,0,12.38,12.61,12.36,12.55,624800,12.33
20131213,0,12.35,12.66,12.27,12.58,969100,12.36
20131212,0,12.73,12.85,12.34,12.41,1258000,12.2
20131211,0,12.73,12.98,12.69,12.73,888200,12.51
20131210,0,12.89,12.99,12.75,12.91,850900,12.69
20131209,0,12.95,13.04,12.68,12.76,985000,12.54
20131206,0,13.02,13.09,12.75,12.75,1265200,12.53
20131205,0,13.45,13.45,13.1,13.12,1646200,12.89
20131204,0,13.07,13.39,13.06,13.25,862900,13.02
20131203,0,13.15,13.24,12.98,13.09,1116100,12.86
20131202,0,13.33,13.47,13.07,13.15,1954700,12.92
20131129,0,13.21,13.46,13.18,13.37,2924600,13.14
20131128,0,12.8,13.2,12.8,13.13,3426300,12.9
20131127,0,12.57,12.6,12.37,12.4,1053400,12.19
20131126,0,12.7,12.7,12.41,12.69,1604500,12.47
20131125,0,12.49,12.65,12.4,12.61,1485100,12.39
20131122,0,12.31,12.44,12.21,12.25,1126000,12.04
20131121,0,12.05,12.28,12,12.23,855300,12.02
20131120,0,12.31,12.48,12.26,12.29,1676300,12.08
20131119,0,12.45,12.51,12.3,12.35,1398100,12.14
20131118,0,12.52,12.57,12.34,12.55,540500,12.33
20131115,0,12.44,12.66,12.38,12.5,812700,12.28
20131114,0,12.23,12.51,12.1,12.48,903300,12.27
20131113,0,12.47,12.5,12.22,12.26,1502300,12.05
20131112,0,12.55,12.7,12.5,12.55,1285100,12.33
20131111,0,12.81,12.94,12.52,12.56,1370600,12.34
20131108,0,12.9,12.91,12.72,12.8,874300,12.58
20131107,0,12.8,13.02,12.77,12.95,1280800,12.73
20131106,0,12.91,12.91,12.75,12.8,1258800,12.58
20131105,0,12.78,13.02,12.77,13,566500,12.78
20131104,0,12.82,12.97,12.72,12.72,1003100,12.5
20131101,0,12.97,13.03,12.84,12.86,660600,12.64
20131031,0,13,13.15,12.95,12.99,887100,12.77
20131030,0,12.94,13.09,12.78,13.05,1355500,12.83
20131029,0,12.96,12.98,12.72,12.8,1824300,12.58
20131028,0,12.98,13.03,12.7,12.74,1185000,12.52
20131025,0,13,13,12.75,12.81,788400,12.59
20131024,0,12.95,13.1,12.91,13,1228600,12.78
20131023,0,12.87,13.08,12.76,12.76,1260200,12.54
20131022,0,12.7,12.92,12.7,12.8,1704600,12.58
20131021,0,12.45,12.64,12.45,12.64,1309200,12.42
20131018,0,12.16,12.5,12.11,12.44,1234400,12.23
20131017,0,12.1,12.2,12.01,12.09,639800,11.88
20131016,0,11.98,12.12,11.93,12,800900,11.79
20131015,0,11.98,12.2,11.96,12.2,1184900,11.99
20131014,0,11.76,11.8,11.63,11.75,1005800,11.55
20131011,0,11.66,11.79,11.6,11.76,968500,11.56
20131010,0,11.43,11.59,11.34,11.39,1092100,11.19
20131009,0,11.48,11.66,11.21,11.59,399300,11.39
20131008,0,11.57,11.68,11.47,11.53,869600,11.33
20131007,0,11.75,12.1,11.59,11.66,530400,11.46
20131004,0,11.75,11.84,11.68,11.77,558500,11.57
20131003,0,11.81,11.93,11.78,11.89,584500,11.69
20131002,0,11.85,11.99,11.81,11.91,695500,11.7
20131001,0,11.85,12.01,11.83,11.85,745100,11.65
20130930,0,12.04,12.04,11.77,11.88,1153200,11.68
20130927,0,12.4,12.49,12.05,12.15,1235100,11.94
20130926,0,11.87,12.19,11.69,12.15,1343600,11.94
20130925,0,11.58,11.89,11.52,11.86,879000,11.66
20130924,0,11.54,11.63,11.48,11.5,568100,11.3
20130923,0,11.68,11.7,11.46,11.52,701800,11.32
20130920,0,11.87,11.94,11.72,11.73,953800,11.53
20130919,0,11.64,11.99,11.61,11.93,1792500,11.72
20130918,0,11.38,11.6,11.29,11.6,1881800,11.4
20130917,0,11.6,11.62,11.41,11.42,1003200,11.22
20130916,0,11.5,11.7,11.43,11.65,1157500,11.45
20130913,0,11.45,11.5,11.38,11.39,1209000,11.19
20130912,0,11.51,11.73,11.49,11.66,1722200,11.46
20130911,0,11.33,11.66,11.29,11.63,1845700,11.31
20130910,0,11.77,11.79,11.29,11.36,2503800,11.05
20130909,0,11.4,11.74,11.39,11.7,1680700,11.38
20130906,0,11.34,11.38,11.13,11.32,1448700,11.01
20130905,0,11.3,11.44,11.18,11.43,2103900,11.12
20130904,0,11.29,11.31,11.1,11.25,1576500,10.94
20130903,0,11.1,11.33,11.06,11.31,1582400,11
20130902,0,10.78,11.14,10.77,11.13,2003400,10.83
20130830,0,10.54,10.79,10.54,10.7,2369700,10.41
20130829,0,10.75,10.76,10.49,10.54,1684700,10.25
20130828,0,10.62,10.73,10.53,10.72,2292000,10.43
20130827,0,10.93,11.11,10.78,10.82,2118900,10.52
20130826,0,10.9,11.11,10.63,11.08,3433200,10.78
20130823,0,10.5,10.91,10.38,10.77,4625300,10.48
20130822,0,9.72,10.22,9.53,10.19,18958600,9.91
20130821,0,9.75,9.83,9.38,9.76,7317000,9.49
20130820,0,9.19,9.44,9.19,9.37,1345800,9.11
20130819,0,9.62,9.64,9.32,9.34,1380600,9.08
20130816,0,9.25,9.52,9.21,9.52,1492600,9.26
20130815,0,9.3,9.3,9.16,9.23,2343400,8.98
20130814,0,9.46,9.49,9.28,9.29,1634800,9.04
20130813,0,9.18,9.49,9.18,9.46,1721400,9.2
20130812,0,9.15,9.32,9.15,9.25,1635300,9
20130809,0,9.38,9.48,9.17,9.2,1165100,8.95
20130808,0,9.36,9.38,9.21,9.35,1234300,9.09
20130807,0,9.52,9.58,9.31,9.37,1041200,9.11
20130806,0,9.65,9.8,9.61,9.68,1286700,9.42
20130805,0,9.6,9.66,9.48,9.57,335200,9.31
20130802,0,9.7,9.73,9.57,9.62,1517900,9.36
20130801,0,9.57,9.63,9.5,9.6,1797300,9.34
20130731,0,9.34,9.59,9.34,9.43,899000,9.17
20130730,0,9.35,9.35,9.12,9.21,750500,8.96
20130729,0,9.3,9.43,9.21,9.24,406200,8.99
20130726,0,9.2,9.37,9.18,9.27,1147300,9.02
20130725,0,9.37,9.55,9.19,9.24,785200,8.99
20130724,0,9.27,9.38,9.18,9.31,1031900,9.06
20130723,0,9.35,9.43,9.17,9.24,1036000,8.99
20130722,0,9.68,9.68,9.27,9.3,413800,9.05
20130719,0,9.48,9.59,9.26,9.36,855900,9.1
20130718,0,9.6,9.75,9.31,9.44,778300,9.18
20130717,0,9.58,9.67,9.49,9.6,509400,9.34
20130716,0,9.57,9.75,9.47,9.69,889900,9.42
20130715,0,9.62,9.73,9.36,9.45,893600,9.19
20130712,0,9.73,9.8,9.56,9.71,1317600,9.44
20130711,0,9.34,9.69,9.32,9.65,1284400,9.39
20130710,0,9.25,9.48,9.21,9.37,1383000,9.11
20130709,0,9.19,9.25,8.92,9.2,2492600,8.95
20130708,0,9.74,9.83,9.27,9.31,1020300,9.06
20130705,0,9.4,9.55,9.26,9.55,1167400,9.29
20130704,0,9.24,9.35,9.16,9.22,918800,8.97
20130703,0,9.17,9.4,8.99,9.17,1286000,8.92
20130702,0,9.05,9.3,9.01,9.28,1229600,9.03
20130701,0,9.01,9.15,8.81,8.84,910600,8.6
20130628,0,9.25,9.35,8.98,9.07,1526500,8.82
20130627,0,9.06,9.24,8.98,9.16,1183900,8.91
20130626,0,8.76,9.09,8.76,9,1440100,8.75
20130625,0,8.76,8.81,8.55,8.65,1210800,8.41
20130624,0,8.74,8.93,8.62,8.8,1241900,8.56
20130621,0,9.02,9.1,8.76,8.89,1096200,8.65
20130620,0,9.24,9.28,8.94,8.97,2112100,8.72
20130619,0,8.89,9.27,8.89,9.21,1616700,8.96
20130618,0,9.1,9.29,8.64,8.82,2147100,8.58
20130617,0,8.9,9.13,8.82,8.96,1503600,8.71
20130614,0,8.92,8.99,8.82,8.93,1505400,8.69
20130613,0,8.84,8.97,8.72,8.86,2000700,8.62
20130612,0,9.01,9.17,8.86,8.94,1866600,8.7
