date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,14.49,14.57,14.49,14.57,800,14.57
20140113,0,14.55,14.55,14.23,14.31,600,14.31
20140110,0,15.24,15.24,14.58,14.58,2400,14.58
20140109,0,14.5,14.52,14.5,14.52,600,14.52
20140108,0,13.96,14.47,13.96,14.47,600,14.47
20140107,0,12.83,14.26,12.83,14.09,2300,14.09
20140106,0,13.07,13.07,12.61,12.68,700,12.68
20140103,0,13.84,13.84,13.21,13.21,600,13.21
20140102,0,13.86,13.9,13.85,13.86,1300,13.86
20131231,0,13.41,13.41,13.41,13.41,400,13.41
20131230,0,3.44,3.44,3.32,3.32,1900,13.28
20131227,0,3.28,3.44,3.28,3.43,10600,13.72
20131224,0,3.42,3.42,3.22,3.22,3500,12.88
20131223,0,3.32,3.4,3.32,3.37,600,13.48
20131220,0,3.07,3.35,3.07,3.35,3100,13.4
20131219,0,2.97,3.05,2.95,3.02,12600,12.08
20131218,0,3,3.05,2.97,2.97,1400,11.88
20131217,0,3.04,3.06,3.01,3.01,2200,12.04
20131216,0,3.29,3.29,3.1,3.1,400,12.4
20131213,0,3.45,3.45,3.36,3.36,300,13.44
20131212,0,3.4,3.4,3.37,3.37,1600,13.48
20131211,0,3.4,3.4,3.39,3.4,900,13.6
20131210,0,3.43,3.43,3.38,3.4,300,13.6
20131209,0,3.3,3.42,3.28,3.42,3400,13.68
20131206,0,3.38,3.38,3.33,3.33,9800,13.32
20131205,0,3.4,3.47,3.38,3.38,800,13.52
20131204,0,3.5,3.5,3.42,3.42,400,13.68
20131203,0,3.58,3.58,3.36,3.36,4800,13.44
20131202,0,3.3,3.51,3.3,3.49,2300,13.96
20131129,0,3.3,3.34,3.3,3.32,2700,13.28
20131128,0,3.28,3.28,3.28,3.28,0,13.12
20131127,0,3.29,3.29,3.28,3.28,0,13.12
20131126,0,3.3,3.33,3.23,3.25,5700,13
20131125,0,3.25,3.47,3.25,3.28,14900,13.12
20131122,0,3,3.02,3,3,700,12
20131121,0,2.96,3,2.85,2.85,800,11.4
20131120,0,3,3,3,3,200,12
20131119,0,3.3,3.3,3,3,800,12
20131118,0,2.99,3.27,2.78,3.27,3300,13.08
20131115,0,3.17,3.17,2.92,2.95,1700,11.8
20131114,0,3.01,3.25,2.95,3,3800,12
20131113,0,2.71,2.71,2.62,2.71,100,10.84
20131112,0,2.72,2.72,2.7,2.7,100,10.8
