date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,82.87,84.68,82.36,84.31,1265500,84.31
20140113,0,86.43,86.83,83.68,84.45,1885100,84.45
20140110,0,85.4,86.8,85.15,86.8,2071500,86.8
20140109,0,85.72,86.25,84.19,85.17,1389100,85.17
20140108,0,84.76,85.63,84.28,85.15,1455400,85.15
20140107,0,80.03,85.58,80.03,84.91,2535600,84.91
20140106,0,80.82,81.09,79.35,80.38,1631100,80.38
20140103,0,80.5,81.34,79.71,80.92,1284500,80.92
20140102,0,82.48,82.5,79.4,80.48,1995600,80.48
20131231,0,81.84,82.89,81.38,82.83,814100,82.83
20131230,0,81.46,81.98,80.76,81.67,801200,81.67
20131227,0,83.82,83.89,81.45,81.64,892500,81.64
20131226,0,82.95,84.12,82.85,83.47,1369300,83.47
20131224,0,83.58,83.65,82.1,82.82,583800,82.82
20131223,0,83.78,83.8,82.55,83.4,936900,83.4
20131220,0,82.44,83.7,81.63,83.13,6376000,83.13
20131219,0,81.4,82.88,81.27,82.02,1413100,82.02
20131218,0,80.9,81.6,78.67,81.41,3046000,81.41
20131217,0,80.63,81.63,79.73,80.9,2356200,80.9
20131216,0,82.05,83.2,81.54,81.89,1858900,81.89
20131213,0,82.71,83.32,81.27,81.38,1596800,81.38
20131212,0,82.84,83.91,82.13,82.6,2181200,82.6
20131211,0,84.86,85.26,82.32,82.79,1754600,82.79
20131210,0,84.82,85.9,84.52,84.98,1746800,84.98
20131209,0,85.75,87,84.13,84.77,2298400,84.77
20131206,0,86.76,87.97,84.67,85.61,1631800,85.61
20131205,0,85.11,87.63,84.72,85.54,1473000,85.54
20131204,0,85.32,86.84,84.52,85.13,1933100,85.13
20131203,0,87.17,87.62,85.29,85.92,1430400,85.92
20131202,0,88.25,89.57,86.9,87.54,1186100,87.54
20131129,0,88.69,89.46,88.23,88.32,431000,88.32
20131127,0,87.38,88.94,87.29,88.31,740000,88.31
20131126,0,86.48,88.2,85.23,87.38,1703100,87.38
20131125,0,87.88,88.47,86.07,86.61,1170900,86.61
20131122,0,87.5,88.39,87.01,87.4,1082600,87.4
20131121,0,87.27,88.37,87.02,87.27,1261700,87.27
20131120,0,87.92,88.55,86.74,87.13,915000,87.13
20131119,0,87.21,88.98,86.6,87.51,1376000,87.51
20131118,0,87.64,89.21,86.52,87.42,1852400,87.42
20131115,0,89.76,90.43,87.26,87.77,2300300,87.77
20131114,0,87.62,89.18,87.16,89.18,2412000,89.18
20131113,0,84.85,87.6,83.58,87.49,2465100,87.49
20131112,0,84.94,85.22,83.65,84.9,1881000,84.9
20131111,0,84.4,85.96,83.77,85.02,1754400,85.02
20131108,0,84.09,85.9,83.17,84.48,1939800,84.48
20131107,0,86.53,87,80.69,83.88,3475700,83.88
20131106,0,88.01,88.68,86.1,86.61,1919700,86.61
20131105,0,88.06,89.47,86.35,88.07,2781100,88.07
20131104,0,84,88.41,83.42,88.22,3270900,88.22
20131101,0,83.08,84.1,82.21,83.38,1793100,83.38
20131031,0,81.5,84.64,81.2,82.72,3513300,82.72
20131030,0,82.48,83,79.63,80.22,3152600,80.22
20131029,0,77.85,82.35,77.51,82.26,3277500,82.26
20131028,0,76.89,78.22,75.88,77.79,2266300,77.79
20131025,0,75.3,77.57,74.96,76.98,3246200,76.98
20131024,0,72,75.15,69.33,74.85,10534800,74.85
20131023,0,75.05,75.98,73.15,75.21,4724600,75.21
20131022,0,75.6,77.3,73.14,75.5,3555900,75.5
