Date,Open,High,Low,Close,Volume,Adj Close
2015-05-04,228.17999,234.73,227.11,230.50999,4425700,230.50999
2015-05-01,229.94,231.77,220.41,226.03,5262200,226.03
2015-04-30,230.39,232.89,225.17,226.05,3911900,226.05
2015-04-29,230.05,234.97,227.63,232.45,3936100,232.45
2015-04-28,234.75,235.50,228.03,230.48,6085400,230.48
2015-04-27,222.56,238.75,222.00,231.55,11672600,231.55
2015-04-24,220.50,220.80,218.00999,218.42999,2427800,218.42999
2015-04-23,218.27,221.48,217.14999,218.60001,4411200,218.60001
2015-04-22,212.50,221.88,211.69,219.44,7863000,219.44
2015-04-21,205.80,210.75,204.31,209.41,3432500,209.41
2015-04-20,206.78,207.85001,203.85001,205.27,2559300,205.27
2015-04-17,204.99001,206.88,203.50,206.78999,2469900,206.78999
2015-04-16,207.70,209.17,206.28999,206.70,1659100,206.70
2015-04-15,207.46001,209.59,206.60001,207.83,1952400,207.83
2015-04-14,208.57001,209.49001,205.50,207.46001,3026000,207.46001
2015-04-13,210.44,213.00,209.05,209.78,3758200,209.78
2015-04-10,209.85001,211.64999,209.00,210.89999,4067700,210.89999
2015-04-09,208.42999,210.37,206.12,210.09,3800200,210.09
2015-04-08,208.20,210.89999,205.87,207.67,6303100,207.67
2015-04-07,202.50999,205.06,201.14,203.25,4347900,203.25
2015-04-06,198.00,207.75,197.50,203.10001,12455800,203.10001
2015-04-02,190.23,193.23,190.00,191.00,5010400,191.00
2015-04-01,188.70,192.30,186.05,187.59,3794600,187.59
2015-03-31,193.53,193.75999,188.41,188.77,5026600,188.77
2015-03-30,185.85001,192.25,181.80,190.57001,10089500,190.57001
2015-03-27,189.07001,189.28999,181.39999,185.00,8604900,185.00
2015-03-26,193.92,194.78999,189.70,190.41,4128000,190.41
2015-03-25,198.27,198.59,192.70,194.30,5730400,194.30
2015-03-24,201.58,203.78999,199.75,201.72,3649900,201.72
2015-03-23,198.50,200.50,197.47,199.63,2631600,199.63
2015-03-20,197.45,198.99001,195.62,198.08,4269500,198.08
2015-03-19,202.00,204.59,194.53,195.64999,8475200,195.64999
2015-03-18,194.96001,200.88,193.11,200.71001,4820900,200.71001
2015-03-17,195.42999,198.71001,193.94,194.73,4894100,194.73
2015-03-16,192.00,195.91,189.80,195.70,5628800,195.70
2015-03-13,188.95,191.75,187.32001,188.67999,5434300,188.67999
2015-03-12,193.75,194.45,189.75,191.07001,4149300,191.07001
2015-03-11,191.14999,196.17999,191.00999,193.74001,4974900,193.74001
2015-03-10,188.46001,193.50,187.60001,190.32001,5579700,190.32001
2015-03-09,194.39,194.49001,188.25,190.88,6736700,190.88
2015-03-06,199.21001,200.75,192.14999,193.88,6712400,193.88
2015-03-05,202.85001,206.19,200.14999,200.63,4877000,200.63
2015-03-04,199.25,202.52,197.21001,202.44,4222000,202.44
2015-03-03,196.81,200.24001,195.32001,199.56,4432300,199.56
