date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,6.98,7.11,6.98,7.04,42300,7.04
20140113,0,7.04,7.11,6.95,7.02,108500,7.02
20140110,0,6.99,7.1,6.83,7.01,51000,7.01
20140109,0,7.09,7.2,6.82,6.97,111400,6.97
20140108,0,6.94,7.05,6.87,7.03,133100,7.03
20140107,0,7.05,7.14,6.85,6.94,145100,6.94
20140106,0,6.88,7.26,6.6,7.06,191200,7.06
20140103,0,6.77,7.12,6.6,6.92,54900,6.92
20140102,0,6.81,6.94,6.56,6.77,28900,6.77
20131231,0,6.64,7.04,6.61,6.86,33400,6.86
20131230,0,6.81,6.99,6.55,6.61,28200,6.61
20131227,0,7,7,6.75,6.79,21200,6.79
20131226,0,6.81,7.08,6.68,6.95,66700,6.95
20131224,0,6.8,6.86,6.72,6.79,12200,6.79
20131223,0,7,7,6.64,6.81,84800,6.81
20131220,0,6.2,7.1,6.2,7.03,372900,7.03
20131219,0,6.24,6.25,6.04,6.17,40400,6.17
20131218,0,6.02,6.23,5.99,6.23,49300,6.23
20131217,0,6.11,6.11,6,6.02,37700,6.02
20131216,0,6.1,6.17,5.98,6.1,40900,6.1
20131213,0,6.05,6.08,5.99,6.06,27600,6.06
20131212,0,6.07,6.23,6,6.06,21200,6.06
20131211,0,6.15,6.15,6,6.08,22700,6.08
20131210,0,6.14,6.21,6.05,6.12,35700,6.12
20131209,0,6.2,6.2,6.06,6.17,33300,6.17
20131206,0,6.17,6.25,6.12,6.18,18100,6.18
20131205,0,6.13,6.24,6.01,6.1,21000,6.1
20131204,0,6,6.16,6,6.11,32800,6.11
20131203,0,6.04,6.25,5.98,6,34200,6
20131202,0,6.04,6.1,6,6.07,38600,6.07
20131129,0,6.09,6.09,5.98,6.04,39800,6.04
20131127,0,6.03,6.1,6.01,6.04,15400,6.04
20131126,0,6.08,6.1,5.94,6.04,30300,6.04
20131125,0,6.05,6.1,5.94,6.05,19900,6.05
20131122,0,5.99,6.1,5.99,6.01,20700,6.01
20131121,0,5.95,6.1,5.9,6.03,80700,6.03
20131120,0,5.93,5.97,5.87,5.95,40000,5.95
20131119,0,5.88,5.97,5.85,5.89,40500,5.89
20131118,0,5.93,5.97,5.73,5.86,29700,5.86
20131115,0,5.87,5.97,5.62,5.86,35300,5.86
20131114,0,5.61,5.91,5.44,5.88,56200,5.88
20131113,0,5.38,5.66,5.3,5.6,41900,5.6
20131112,0,5.4,5.45,5.29,5.45,32300,5.45
20131111,0,5.22,5.4,5.04,5.4,34600,5.4
20131108,0,4.85,5.35,4.82,5.21,35400,5.21
20131107,0,5.06,5.14,5,5,20400,5
20131106,0,5.14,5.15,5,5.05,14500,5.05
20131105,0,5.02,5.22,5.02,5.1,14800,5.1
20131104,0,5,5.12,4.82,5.03,38300,5.03
20131101,0,4.99,5.05,4.83,4.97,34400,4.97
20131031,0,4.94,5.31,4.88,5.02,73800,5.02
20131030,0,4.98,5,4.85,4.94,35900,4.94
20131029,0,5.01,5.02,4.93,4.99,8100,4.99
20131028,0,5.03,5.06,4.99,5.01,17100,5.01
20131025,0,4.98,5.16,4.98,5.01,53700,5.01
20131024,0,4.99,4.99,4.9,4.94,60400,4.94
20131023,0,4.96,4.99,4.93,4.97,53200,4.97
20131022,0,4.97,4.99,4.95,4.97,28900,4.97
