Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,20.57,21.01,20.56,20.66,921400,20.66
2013-09-26,20.68,21.00,20.60,20.81,1102500,20.81
2013-09-25,20.92,21.13,20.60,20.65,1179000,20.65
2013-09-24,20.81,21.19,20.74,20.87,1147000,20.87
2013-09-23,21.25,21.27,20.60,20.79,1060900,20.79
2013-09-20,21.37,21.58,21.16,21.26,1999700,21.26
2013-09-19,21.72,21.90,21.25,21.35,1085000,21.35
2013-09-18,21.96,22.07,21.36,21.71,1342600,21.71
2013-09-17,21.72,22.20,21.72,22.02,854600,22.02
2013-09-16,23.04,23.04,21.60,21.70,1419000,21.70
2013-09-13,22.47,22.99,22.47,22.75,1068900,22.75
2013-09-12,22.18,22.49,22.00,22.39,1214900,22.39
2013-09-11,21.43,22.25,21.31,22.23,1729900,22.23
2013-09-10,21.12,21.67,21.10,21.43,1400700,21.43
2013-09-09,20.81,21.37,20.81,21.02,1660400,21.02
2013-09-06,21.36,21.47,20.79,20.87,1345500,20.87
2013-09-05,21.03,21.55,20.93,21.22,1115000,21.22
2013-09-04,20.62,21.27,20.55,20.98,2429400,20.98
2013-09-03,21.16,21.41,20.55,20.61,2046500,20.61
2013-08-30,21.38,21.69,21.13,21.16,1242200,21.16
2013-08-29,21.11,21.59,21.02,21.43,1254200,21.43
2013-08-28,21.16,21.52,21.03,21.14,1559100,21.14
2013-08-27,21.91,22.12,21.18,21.21,2324800,21.21
2013-08-26,22.39,22.47,22.06,22.13,899400,22.13
2013-08-23,22.03,22.48,21.99,22.38,1036700,22.38
2013-08-22,21.78,22.08,21.65,22.03,595000,22.03
2013-08-21,21.66,21.86,21.43,21.67,432700,21.67
2013-08-20,21.59,21.88,21.39,21.76,647000,21.76
2013-08-19,21.58,21.83,21.46,21.59,878800,21.59
2013-08-16,21.20,21.79,21.20,21.58,976200,21.58
2013-08-15,21.21,21.64,21.12,21.55,1061300,21.55
2013-08-14,21.40,21.76,21.39,21.44,832200,21.44
2013-08-13,21.65,21.68,21.11,21.52,1068800,21.52
2013-08-12,20.71,21.77,20.71,21.63,1099400,21.63
2013-08-09,21.01,21.31,20.84,21.19,830300,21.19
2013-08-08,20.77,21.26,20.57,21.13,1435900,21.13
2013-08-07,20.59,20.71,20.31,20.53,1200800,20.53
2013-08-06,20.83,21.00,20.45,20.66,1567200,20.66
2013-08-05,21.38,21.38,20.82,20.96,1847200,20.96
2013-08-02,20.84,21.50,20.51,21.37,6925700,21.37
2013-08-01,24.73,25.59,24.73,25.10,2375000,25.10
2013-07-31,24.63,25.00,24.20,24.44,977700,24.44
2013-07-30,24.48,24.93,24.13,24.49,970800,24.49
2013-07-29,23.91,24.84,23.76,24.33,827800,24.33
2013-07-26,24.27,24.47,24.05,24.11,1051500,24.11
2013-07-25,24.44,24.73,24.16,24.41,982800,24.41
2013-07-24,24.74,24.81,24.00,24.45,998900,24.45
2013-07-23,25.41,25.73,25.20,25.40,560500,25.40
2013-07-22,25.02,25.68,24.82,25.38,581100,25.38
2013-07-19,25.96,26.12,24.78,25.17,855600,25.17
2013-07-18,25.99,26.40,25.76,26.14,601600,26.14
2013-07-17,25.89,26.00,25.45,25.97,691600,25.97
2013-07-16,26.48,26.50,25.80,25.94,624900,25.94
2013-07-15,25.57,26.46,25.57,26.45,639900,26.45
2013-07-12,25.18,25.90,25.18,25.55,640500,25.55
2013-07-11,25.21,25.38,24.90,25.20,648100,25.20
2013-07-10,25.49,25.66,24.94,24.98,477200,24.98
2013-07-09,25.56,26.01,25.27,25.47,745100,25.47
2013-07-08,25.03,25.56,25.00,25.38,523900,25.38
2013-07-05,24.84,25.04,24.56,25.04,367400,25.04
2013-07-03,24.01,24.89,23.82,24.38,446800,24.38
2013-07-02,24.45,24.93,23.84,24.11,824300,24.11
2013-07-01,24.66,25.02,24.44,24.50,722100,24.50
2013-06-28,24.36,24.84,24.17,24.71,2018600,24.71
2013-06-27,23.85,24.58,23.66,24.47,766900,24.47
2013-06-26,24.16,24.22,23.61,23.64,612700,23.64
2013-06-25,23.56,23.90,23.37,23.85,539900,23.85
2013-06-24,23.64,23.81,23.35,23.39,605400,23.39
2013-06-21,24.24,24.45,23.31,23.84,1550300,23.84
2013-06-20,24.62,25.09,23.97,24.16,740600,24.16
2013-06-19,25.08,25.46,24.97,24.97,426200,24.97
2013-06-18,24.63,25.23,24.58,25.07,486600,25.07
2013-06-17,24.80,25.14,24.52,24.57,974400,24.57
2013-06-14,24.99,25.06,24.43,24.51,778200,24.51
2013-06-13,24.80,25.22,24.76,25.03,881100,25.03
2013-06-12,25.16,25.51,24.80,24.84,938100,24.84
2013-06-11,25.50,25.51,24.89,24.92,478600,24.92
2013-06-10,25.21,25.82,25.06,25.75,834000,25.75
2013-06-07,25.11,25.34,24.72,25.20,1088900,25.20
2013-06-06,24.55,24.95,24.40,24.90,1124800,24.90
2013-06-05,25.74,25.78,24.47,24.53,1881600,24.53
2013-06-04,26.39,26.61,25.76,26.13,1062000,26.13
2013-06-03,26.44,26.58,26.01,26.33,1016900,26.33
2013-05-31,26.80,26.99,26.34,26.36,921100,26.36
2013-05-30,26.52,27.12,26.41,26.97,605800,26.97
2013-05-29,26.38,26.71,26.18,26.45,498200,26.45
2013-05-28,26.65,27.06,26.28,26.60,553200,26.60
2013-05-24,26.33,26.55,26.00,26.40,467800,26.40
2013-05-23,25.48,26.56,25.34,26.47,1158500,26.47
2013-05-22,26.41,26.43,25.62,25.72,957300,25.72
2013-05-21,26.30,26.55,26.06,26.33,982300,26.33
2013-05-20,26.41,26.75,26.30,26.36,1007800,26.36
2013-05-17,26.71,26.84,26.28,26.57,1269500,26.57
2013-05-16,26.73,26.96,26.28,26.52,1666300,26.52
2013-05-15,27.00,27.21,26.96,27.09,1084900,27.09
2013-05-14,26.61,27.00,26.48,26.97,905100,26.97
2013-05-13,26.55,26.69,26.21,26.55,1132800,26.55
2013-05-10,26.78,27.05,26.43,26.48,943000,26.48
2013-05-09,26.56,27.08,26.46,26.65,1344100,26.65
2013-05-08,25.17,27.44,25.12,26.71,9607000,26.71
2013-05-07,31.68,32.25,31.49,31.74,1571500,31.74
2013-05-06,31.87,32.22,31.34,31.72,932200,31.72
2013-05-03,31.17,31.93,31.00,31.87,1016900,31.87
2013-05-02,30.66,31.25,30.65,30.78,677000,30.78
2013-05-01,30.79,31.36,30.58,30.60,1537300,30.60
2013-04-30,30.23,30.86,30.07,30.86,816400,30.86
2013-04-29,30.23,30.43,29.91,30.36,642500,30.36
2013-04-26,30.61,30.81,30.00,30.21,559500,30.21
2013-04-25,29.90,30.93,29.60,30.71,741500,30.71
2013-04-24,29.71,29.97,29.44,29.75,1167200,29.75
2013-04-23,29.48,30.01,29.07,29.74,1072000,29.74
2013-04-22,29.47,29.56,28.81,29.36,724800,29.36
2013-04-19,28.82,29.77,28.65,29.27,880000,29.27
2013-04-18,29.01,29.04,28.44,28.80,1554700,28.80
2013-04-17,28.30,29.39,28.03,29.04,2313800,29.04
2013-04-16,28.01,28.59,27.51,28.58,747000,28.58
2013-04-15,28.62,28.70,27.55,27.74,842600,27.74
2013-04-12,28.55,28.75,27.96,28.71,807500,28.71
2013-04-11,28.49,28.97,28.47,28.59,577200,28.59
2013-04-10,28.32,28.69,28.32,28.50,1294100,28.50
2013-04-09,27.48,28.46,27.48,28.15,461800,28.15
2013-04-08,27.93,28.47,27.93,28.20,727600,28.20
