date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,60.64,61.53,60.48,61.53,803700,61.53
20140113,0,61.55,61.8,60.17,60.33,1100300,60.33
20140110,0,60.97,61.5,60.97,61.46,1383000,61.46
20140109,0,61.5,61.93,60.79,60.98,2238000,60.98
20140108,0,60.36,61.29,60.36,61.24,1476900,61.24
20140107,0,59.49,61.33,59.48,61.14,1696400,61.14
20140106,0,60,60.12,59.29,59.46,1144500,59.46
20140103,0,60.09,60.51,59.68,59.84,2203600,59.84
20140102,0,59.74,60.16,59.41,60.02,1871900,60.02
20131231,0,59.36,59.85,59.33,59.78,769900,59.78
20131230,0,59.28,59.4,58.92,59.16,866400,59.16
20131227,0,59.71,59.79,59.39,59.45,579800,59.45
20131226,0,59.32,59.89,59.25,59.68,597900,59.68
20131224,0,59.47,59.47,59.09,59.27,398500,59.27
20131223,0,59.51,59.66,59.06,59.47,1623300,59.47
20131220,0,58.37,59.4,58.09,59.27,5553600,59.27
20131219,0,58.19,58.6,57.91,58.13,1597700,58.13
20131218,0,57.67,58.33,57.25,58.32,1670000,58.32
20131217,0,57.84,57.98,57.51,57.79,1004100,57.79
20131216,0,57.44,57.89,56.99,57.76,1232200,57.76
20131213,0,56.66,57.55,56.56,57.05,1286600,57.05
20131212,0,56.15,56.83,55.72,56.44,2103400,56.44
20131211,0,57.32,57.32,56.18,56.29,1466200,56.29
20131210,0,56.76,57.61,56.76,57.35,1239000,57.35
20131209,0,57.1,57.31,56.59,56.77,870900,56.77
20131206,0,57.48,57.91,56.79,57.2,760100,57.2
20131205,0,56.72,57,56.37,56.89,854500,56.89
20131204,0,56.42,57.15,56.24,56.83,999000,56.83
20131203,0,56.9,57.36,56.54,56.66,1498800,56.66
20131202,0,57.06,57.33,56.86,57.17,1007400,57.17
20131129,0,56.68,57.3,56.65,56.86,652300,56.86
20131127,0,56.57,56.95,56.54,56.7,612800,56.7
20131126,0,56.57,56.99,56.42,56.58,1144100,56.58
20131125,0,57,57.03,56.06,56.45,854800,56.45
20131122,0,56.14,56.73,56,56.72,1073600,56.72
20131121,0,55.31,56.12,55.31,55.94,1102400,55.94
20131120,0,55.73,55.95,55.15,55.28,1577300,55.28
20131119,0,55.42,55.98,55.09,55.49,1025800,55.49
20131118,0,55.87,56.17,55.43,55.49,619400,55.49
20131115,0,55.78,56.09,55.6,55.65,906900,55.65
20131114,0,54.99,55.95,54.79,55.81,1690800,55.81
20131113,0,54.37,55.1,54.08,55.1,709500,55.1
20131112,0,54.04,54.81,53.96,54.73,782000,54.73
20131111,0,54.26,54.67,54.02,54.3,743800,54.3
20131108,0,53.35,54.48,53.35,54.15,1151400,54.15
20131107,0,54.41,54.59,53.23,53.29,843700,53.29
20131106,0,54.52,54.63,54.26,54.31,995700,54.31
20131105,0,54.08,54.6,53.92,54.3,1069500,54.3
20131104,0,54.44,54.57,54.02,54.37,1024800,54.37
20131101,0,54.38,54.79,53.87,54.19,1310900,54.19
20131031,0,54.21,54.57,53.83,54.28,1397100,54.28
20131030,0,54.08,54.57,54.05,54.21,2005000,54.21
20131029,0,53.6,54.12,52.73,54,2225100,54
