date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,31.27,31.74,31.1,31.69,448300,31.69
20140113,0,31.75,31.93,30.92,31.13,530900,31.13
20140110,0,31.34,32,31.13,31.78,457200,31.78
20140109,0,32.39,32.39,31.03,31.44,697300,31.44
20140108,0,32.15,32.41,31.98,32.12,403600,32.12
20140107,0,31.65,32.89,31.37,32.13,725000,32.13
20140106,0,31.5,31.82,30.9,31.59,575400,31.59
20140103,0,31.86,32.19,31.06,31.35,424600,31.35
20140102,0,31.74,31.79,31.1,31.72,321100,31.72
20131231,0,31.8,31.99,31.5,31.79,604800,31.79
20131230,0,31.87,32.04,31.3,31.82,323200,31.82
20131227,0,32.35,32.43,31.87,31.98,328500,31.98
20131226,0,31.42,32.48,31.42,32.38,1290100,32.38
20131224,0,30.79,31.21,30.68,31.15,245300,31.15
20131223,0,30.66,30.78,30.29,30.66,537900,30.66
20131220,0,29.12,30.55,28.88,30.51,894400,30.51
20131219,0,28.76,29.12,28.41,28.97,418400,28.97
20131218,0,28.85,29.19,28.12,28.85,616000,28.85
20131217,0,28.97,29,28.46,28.89,460400,28.89
20131216,0,28.55,29.24,28.55,29,781000,29
20131213,0,28.15,28.44,27.67,28.27,255400,28.27
20131212,0,27.66,28.3,27.34,28,297000,28
20131211,0,28.72,28.82,27.54,27.69,413500,27.69
20131210,0,28.6,29.24,28.6,28.68,318300,28.68
20131209,0,28.85,28.85,28.06,28.74,359300,28.74
20131206,0,29.34,29.45,28.47,28.78,475400,28.78
20131205,0,28.61,29.3,28.29,28.94,492900,28.94
20131204,0,28.51,28.82,27.89,28.66,493500,28.66
20131203,0,28.44,28.89,28.35,28.6,973000,28.6
20131202,0,28.55,28.63,28.3,28.54,634800,28.54
20131129,0,28.65,28.68,28.3,28.55,241200,28.55
20131127,0,28.13,28.6,28.05,28.57,612600,28.57
20131126,0,27.58,28.12,27.37,28.1,500200,28.1
20131125,0,27.5,27.79,26.9,27.6,484600,27.6
20131122,0,27.94,28.03,27.03,27.39,564800,27.39
20131121,0,26.73,28.05,26.55,27.85,740700,27.85
20131120,0,26.5,26.78,25.95,26.69,712700,26.69
20131119,0,26.93,27.09,26.27,26.45,940700,26.45
20131118,0,27.14,27.28,26.8,27.01,775500,27.01
20131115,0,27.5,27.55,27.06,27.15,580200,27.15
20131114,0,27.45,27.84,27.06,27.48,668900,27.48
20131113,0,26.49,27.52,26.34,27.51,806200,27.51
20131112,0,25.97,26.77,25.67,26.56,1233100,26.56
20131111,0,26.81,26.96,25.79,26.12,883300,26.12
20131108,0,26.33,27.9,25.97,26.94,1610100,26.94
20131107,0,27.96,28.19,26.14,26.35,1920000,26.35
20131106,0,27.54,30.42,27.14,27.75,2913800,27.75
20131105,0,26.48,26.87,26.25,26.48,1071200,26.48
20131104,0,26.69,26.92,26.27,26.7,1005000,26.7
20131101,0,26.93,27.1,26.45,26.65,970900,26.65
20131031,0,26.85,27.3,26.42,26.95,1196800,26.95
20131030,0,28.65,29,25.21,27.36,3727500,27.36
20131029,0,28.84,29.3,28.52,28.65,742300,28.65
20131028,0,29.08,29.42,28.55,28.86,962800,28.86
20131025,0,30.24,30.45,29.11,29.44,589000,29.44
20131024,0,29.75,30.25,29.41,30.07,977600,30.07
20131023,0,29.7,30.08,28.88,29.5,1151700,29.5
20131022,0,31.29,31.68,29.81,29.91,951300,29.91
20131021,0,31.18,31.84,31,31.1,450400,31.1
20131018,0,30.77,31.55,30.29,30.91,1321100,30.91
20131017,0,29.85,30.56,29.71,30.2,872300,30.2
20131016,0,30.42,30.71,29.98,30.09,788400,30.09
20131015,0,30.72,31.37,30.06,30.17,736100,30.17
20131014,0,29.71,30.9,29.45,30.78,451400,30.78
20131011,0,29.7,30.87,29.6,30.72,932500,30.72
20131010,0,29.31,29.74,28.92,29.69,811000,29.69
20131009,0,28.51,30.74,27.81,28.77,2047700,28.77
20131008,0,31.73,31.73,28.37,28.81,2998100,28.81
20131007,0,32.9,33.3,31.77,31.82,621200,31.82
20131004,0,32.24,33.7,31.85,33.39,542100,33.39
20131003,0,33.15,33.16,32.18,32.34,335700,32.34
20131002,0,33.1,33.34,32.87,33.2,635700,33.2
20131001,0,32.35,33.57,32.23,33.17,981400,33.17
20130930,0,31.5,32.5,31.5,32.35,422300,32.35
20130927,0,32.02,32.02,31.47,31.89,280400,31.89
20130926,0,32.09,32.71,31.83,32.26,457400,32.26
20130925,0,31.64,32.09,31.51,31.95,433500,31.95
20130924,0,31.84,32.08,31.16,31.67,346100,31.67
20130923,0,32.04,32.19,31.34,31.72,564300,31.72
20130920,0,31.96,32.18,31.46,32.06,913900,32.06
20130919,0,31.97,32.19,31.71,31.87,706700,31.87
20130918,0,30.84,32,30.79,31.75,939700,31.75
20130917,0,30.08,30.87,30.08,30.83,368600,30.83
20130916,0,30.67,30.69,29.8,30.01,370400,30.01
20130913,0,30.18,30.4,29.42,30.17,797700,30.17
20130912,0,29.77,30.5,29.55,30.04,1116300,30.04
20130911,0,30.25,30.75,29.8,29.9,1439600,29.9
20130910,0,30.33,31.7,30.33,31.13,757400,31.13
20130909,0,30.71,31.3,29.88,30.09,1361200,30.09
20130906,0,29.25,30.7,28.67,30.37,1193900,30.37
20130905,0,28.94,29.27,28.78,29.01,443700,29.01
20130904,0,29.15,29.44,28.76,28.99,382100,28.99
20130903,0,28.67,29.22,28.36,29.02,517200,29.02
20130830,0,29.11,29.2,28.08,28.22,370400,28.22
20130829,0,28.26,29.1,28.24,29.04,700300,29.04
20130828,0,27.92,28.7,27.7,28.41,360600,28.41
20130827,0,28.38,28.49,27.96,28,430400,28
20130826,0,28.74,28.84,28.57,28.71,331900,28.71
20130823,0,28.92,29.08,28.19,28.71,496600,28.71
20130822,0,28.66,29.05,28.65,28.91,265400,28.91
20130821,0,28.85,28.86,28.37,28.53,528800,28.53
20130820,0,28.9,29.24,28.02,28.89,696000,28.89
20130819,0,29.29,29.45,28.72,28.99,543900,28.99
20130816,0,28.72,29.47,28.5,29.25,689800,29.25
20130815,0,28.18,29.11,27.91,28.84,1344400,28.84
20130814,0,28,29,27.77,28.58,1072400,28.58
20130813,0,27.7,28.04,27.32,27.94,788800,27.94
20130812,0,26.89,27.66,26.63,27.53,1466800,27.53
20130809,0,26.17,27,25.77,26.89,6190000,26.89
20130808,0,28.4,28.43,28.02,28.16,646400,28.16
20130807,0,28.14,28.42,27.75,28.2,1121800,28.2
