date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,40.21,41.14,40.04,41.14,14473900,41.14
20140113,0,41.16,41.22,39.8,39.99,16047200,39.99
20140110,0,40.95,41.35,40.82,41.23,8721700,41.23
20140109,0,41.33,41.35,40.61,40.92,12897300,40.92
20140108,0,41.29,41.72,41.02,41.02,18638200,41.02
20140107,0,40.08,41.2,40.08,40.92,14100000,40.92
20140106,0,40.05,40.32,39.75,39.93,12467500,39.93
20140103,0,40.16,40.44,39.82,40.12,15755200,40.12
20140102,0,40.37,40.49,39.31,39.59,21504200,39.59
20131231,0,40.17,40.5,40,40.44,8291400,40.44
20131230,0,40.46,40.58,39.85,40.2,8676800,40.2
20131227,0,40.72,40.75,40.32,40.49,6138700,40.49
20131226,0,41,41.05,40.22,40.65,7364600,40.65
20131224,0,40.91,40.95,40.66,40.85,5113900,40.85
20131223,0,40.25,40.8,40.13,40.77,7447900,40.77
20131220,0,40.39,40.6,40.11,40.12,24637200,40.12
20131219,0,40.04,40.38,39.91,40.2,10710200,40.2
20131218,0,39.53,40.04,38.82,40.04,16844000,40.04
20131217,0,39.99,40,39.4,39.51,9842000,39.51
20131216,0,39.97,40.27,39.6,39.73,11439100,39.73
20131213,0,39.61,40.2,39.56,39.73,13773700,39.73
20131212,0,39.02,40,39,39.35,16184600,39.35
20131211,0,39.9,40.16,38.92,39.16,20915200,39.16
20131210,0,38.92,40.25,38.92,40.22,25479700,40.22
20131209,0,39.13,39.2,38.57,38.87,14386300,38.87
20131206,0,39.24,39.28,38.53,38.86,22215000,38.86
20131205,0,38.24,39.31,38.05,38.87,27662000,38.87
20131204,0,36.47,38.15,36.25,38.13,26139700,38.13
20131203,0,36.77,37.07,36.34,36.56,14098300,36.56
20131202,0,37.04,37.15,36.68,37.01,11573000,37.01
20131129,0,36.91,37.35,36.9,36.98,6455400,36.98
20131127,0,36.7,37.12,36.51,36.96,10427500,36.96
20131126,0,36.32,36.75,36.11,36.64,10458300,36.64
20131125,0,36.78,36.85,35.96,36.29,15159800,36.29
20131122,0,36.19,36.63,35.96,36.49,13247500,36.49
20131121,0,36.23,36.66,36.22,36.3,26425000,36.3
20131120,0,35.43,36.22,35.22,35.62,32439800,35.62
20131119,0,35.03,35.17,34.51,34.63,14955300,34.63
20131118,0,35.65,36.19,34.51,34.98,19070000,34.98
20131115,0,35.8,35.94,35.3,35.47,15615700,35.47
20131114,0,35.07,35.89,34.76,35.69,21411400,35.69
20131113,0,33.82,35.12,33.63,35.1,21359400,35.1
20131112,0,34,34.52,33.88,34.07,18227600,34.07
20131111,0,33.57,33.99,33.25,33.82,15846800,33.82
20131108,0,32.23,33.12,32.2,33.12,15082800,33.12
20131107,0,32.99,33.05,32.06,32.11,16861300,32.11
20131106,0,33.07,33.3,32.71,32.88,10826400,32.88
20131105,0,33.03,33.08,32.55,32.97,13471100,32.97
20131104,0,33.2,33.66,33.01,33.19,15778500,33.19
20131101,0,33.15,33.35,33,33.18,15201400,33.18
20131031,0,32.43,33.12,32.28,32.94,15301900,32.94
20131030,0,33.33,33.48,32.38,32.57,14292300,32.57
20131029,0,33.07,34,32.82,33.17,29349200,33.17
20131028,0,32.09,32.7,31.7,32.35,18325700,32.35
20131025,0,32.31,32.95,32,32.25,22290000,32.25
20131024,0,33.16,33.31,32.81,33.08,15086700,33.08
20131023,0,33.76,33.84,33.02,33.1,15931700,33.1
20131022,0,34.24,34.6,33.58,33.94,17549100,33.94
20131021,0,33.65,34.35,33.65,34.06,17776700,34.06
20131018,0,33.17,33.75,33.11,33.43,24622900,33.43
20131017,0,32.88,33.01,32.31,32.74,25229700,32.74
20131016,0,33.9,34.11,32.83,33.09,44820000,33.09
20131015,0,34.2,34.32,33.06,33.38,42773900,33.38
20131014,0,33.8,34.1,33.68,34,17614000,34
20131011,0,33.67,34.37,33.61,34.15,17012300,34.15
20131010,0,33.49,33.91,33.33,33.87,23448100,33.87
20131009,0,33.07,33.33,31.79,33.01,33509700,33.01
20131008,0,34.46,34.5,32.1,32.93,42914600,32.93
20131007,0,34.46,34.69,34.08,34.14,15448700,34.14
20131004,0,33.96,35.06,33.96,34.89,23950200,34.89
20131003,0,34.32,34.36,33.2,33.88,23263900,33.88
20131002,0,34.15,34.7,33.9,34.14,21637400,34.14
20131001,0,33.36,34.44,33.3,34.31,28180900,34.31
20130930,0,33.04,33.75,32.68,33.17,30065800,33.17
20130927,0,33.33,33.85,32.76,33.55,31791600,33.55
20130926,0,31.65,33,31.58,32.75,39233700,32.75
20130925,0,31.4,32.03,31.12,31.34,19146600,31.34
20130924,0,30.55,31.66,30.54,31.27,27820600,31.27
20130923,0,31.03,31.03,30.02,30.26,15728900,30.26
20130920,0,31.05,31.1,30.76,30.93,14925400,30.93
20130919,0,30.53,31.05,30.34,31.03,12795100,31.03
20130918,0,30.01,30.46,29.85,30.44,15570600,30.44
20130917,0,29.64,30,29.31,30,10499700,30
20130916,0,29.64,30.04,29.51,29.62,15748700,29.62
20130913,0,29.47,29.47,28.8,29.26,13836600,29.26
20130912,0,29.72,30.27,29.5,29.65,22060700,29.65
20130911,0,29.38,29.41,28.97,29.19,10374600,29.19
20130910,0,29.43,29.63,29.08,29.48,13007600,29.48
20130909,0,28.32,29.32,28.32,29.24,21178000,29.24
20130906,0,28.35,28.5,27.82,28.17,10807500,28.17
20130905,0,28.1,28.35,27.91,28.23,8989600,28.23
20130904,0,27.7,28.12,27.6,28.07,8880500,28.07
20130903,0,27.38,27.87,27.37,27.78,14591100,27.78
20130830,0,27.39,27.44,26.82,27.12,16344400,27.12
20130829,0,27.03,27.45,27.03,27.3,13911900,27.3
20130828,0,26.9,27.24,26.83,27.11,9603100,27.11
20130827,0,27.24,27.46,26.75,27,14549500,27
20130826,0,27.99,28.04,27.7,27.7,9754400,27.7
20130823,0,28.3,28.32,27.81,27.99,13192900,27.99
20130822,0,27.6,28.01,27.37,27.9,15728600,27.9
20130821,0,27.09,27.49,27,27.06,8791300,27.06
20130820,0,26.92,27.31,26.9,27.12,10707200,27.12
20130819,0,27.27,27.44,26.91,26.91,11876000,26.91
20130816,0,27,27.6,27,27.32,14823400,27.32
20130815,0,27.83,27.83,27.12,27.14,14217100,27.14
20130814,0,28.19,28.21,28,28.05,8471400,28.05
20130813,0,28.38,28.6,28.23,28.34,14891300,28.34
20130812,0,27.55,28.37,27.5,28.35,16561900,28.35
20130809,0,27.41,27.7,27.2,27.68,13051100,27.68
20130808,0,27.55,27.62,27.23,27.48,8934400,27.48
20130807,0,27.31,27.51,27.06,27.39,9450700,27.39
20130806,0,27.67,27.75,27.15,27.32,10951100,27.32
20130805,0,27.71,27.8,27.45,27.67,7839200,27.67
20130802,0,28.07,28.09,27.55,27.65,11863400,27.65
20130801,0,28.35,28.45,27.91,27.96,13157600,27.96
20130731,0,27.92,28.21,27.57,28.09,20920100,28.09
20130730,0,28.09,28.23,27.86,28.05,10337800,28.05
20130729,0,27.95,28.33,27.8,27.93,11095100,27.93
20130726,0,28,28.34,27.74,28.11,11918700,28.11
20130725,0,27.73,28.46,27.65,28.27,20000600,28.27
20130724,0,27.54,27.92,27.23,27.84,22739800,27.84
20130723,0,28.03,28.04,27.21,27.36,25923400,27.36
20130722,0,28.08,28.42,27.63,27.86,46046400,27.86
20130719,0,29.41,29.72,29.04,29.11,20756900,29.11
20130718,0,29.57,29.83,28.73,29.66,35025600,29.66
20130717,0,27.66,29.73,27.52,29.66,83791400,29.66
20130716,0,27.3,27.45,26.73,26.88,31375200,26.88
20130715,0,27.47,27.47,27.06,27.34,16674800,27.34
20130712,0,27.08,27.44,27.01,27.23,17315300,27.23
20130711,0,26.95,27.19,26.94,27.04,17589800,27.04
20130710,0,26.88,27.07,26.19,26.56,15103300,26.56
20130709,0,25.74,26.7,25.74,26.68,17567800,26.68
20130708,0,25.72,25.99,25.49,25.53,10478400,25.53
20130705,0,25.85,26.26,25.52,25.68,11097500,25.68
20130703,0,24.84,25.64,24.82,25.59,6059100,25.59
20130702,0,25.27,25.5,24.9,24.99,10129600,24.99
20130701,0,25.26,25.54,25.18,25.24,10679300,25.24
20130628,0,25.43,25.54,24.89,25.13,26774300,25.13
20130627,0,25.47,25.98,25.44,25.47,14489800,25.47
20130626,0,25.22,25.68,25.01,25.29,12583100,25.29
20130625,0,24.29,25.01,24.23,24.96,18883900,24.96
20130624,0,24.98,25.09,23.82,24.07,37006200,24.07
20130621,0,25.29,25.43,24.94,25.19,24574100,25.19
20130620,0,26.03,26.05,25.23,25.35,19115500,25.35
20130619,0,26.6,26.78,26.23,26.24,11398300,26.24
20130618,0,26.57,26.89,26.51,26.66,9710700,26.66
20130617,0,26.29,26.85,26.24,26.54,10289700,26.54
20130614,0,26.32,26.55,26.16,26.28,7398800,26.28
20130613,0,25.79,26.46,25.71,26.37,9763800,26.37
20130612,0,26.5,26.53,25.89,25.89,11920800,25.89
20130611,0,26.43,26.88,26.32,26.4,10097100,26.4
20130610,0,27.04,27.12,26.7,26.74,15850700,26.74
20130607,0,26.39,27.09,26.28,27.04,16948700,27.04
20130606,0,25.88,26.21,25.66,26.21,13559000,26.21
20130605,0,26.11,26.25,25.69,25.75,14270500,25.75
20130604,0,26.46,26.57,25.97,26.26,13218300,26.26
20130603,0,26.37,26.62,26.13,26.39,16454100,26.39
20130531,0,26.2,26.6,26.09,26.3,23994200,26.3
20130530,0,25.83,26.5,25.8,26.33,12916200,26.33
20130529,0,25.9,26.04,25.32,25.81,18738900,25.81
20130528,0,26.65,26.77,25.98,26.07,19015300,26.07
20130524,0,25.9,26.48,25.65,26.33,14967100,26.33
20130523,0,25.95,26.27,25.7,26.02,23307000,26.02
20130522,0,27.07,27.19,26.44,26.54,16046200,26.54
20130521,0,26.9,27.13,26.72,27,14889000,27
20130520,0,26.68,27.05,26.21,26.58,25099100,26.58
20130517,0,26.78,26.98,26.46,26.52,14889300,26.52
20130516,0,27.43,27.43,26.57,26.58,18192300,26.58
20130515,0,26.63,27.68,26.55,27.34,21956500,27.34
20130514,0,26.75,26.87,26.52,26.64,14828200,26.64
20130513,0,26.76,26.83,26.36,26.39,15808000,26.39
20130510,0,26.32,26.86,26.31,26.83,16236400,26.83
20130509,0,26.41,26.49,26.14,26.24,11186000,26.24
20130508,0,26.17,26.66,25.96,26.41,24960800,26.41
20130507,0,26.01,26.79,25.55,26.07,25883100,26.07
20130506,0,25.05,25.34,24.92,25.17,11990500,25.17
20130503,0,25.13,25.25,24.99,25.07,11513900,25.07
20130502,0,24.34,24.97,24.18,24.97,10651000,24.97
20130501,0,24.67,24.72,24.26,24.3,11075000,24.3
20130430,0,24.38,24.79,24.36,24.73,10091200,24.73
20130429,0,24.85,24.91,24.35,24.43,12533100,24.43
20130426,0,25.14,25.37,24.58,24.68,19573300,24.68
20130425,0,24.93,25.29,24.88,25.2,17289100,25.2
20130424,0,24.45,24.97,24.44,24.75,15138800,24.75
20130423,0,23.96,24.45,23.96,24.38,16718000,24.38
20130422,0,23.71,23.96,23.47,23.95,15539700,23.95
20130419,0,23.12,23.63,22.83,23.47,17860200,23.47
20130418,0,23.66,23.7,22.7,23.26,25822300,23.26
20130417,0,23.45,24.1,23.13,23.7,45148600,23.7
20130416,0,24.06,24.26,23.76,23.79,30877500,23.79
20130415,0,24.72,24.99,23.83,23.98,28129600,23.98
20130412,0,24.58,24.8,24.34,24.69,13342800,24.69
20130411,0,24.41,24.57,24.31,24.49,12362500,24.49
20130410,0,24,24.32,23.95,24.2,17281900,24.2
20130409,0,23.56,24,23.44,23.83,14773900,23.83
20130408,0,23.24,23.48,23.13,23.48,9998100,23.48
20130405,0,23.18,23.41,23.01,23.3,14243700,23.3
20130404,0,23.49,23.72,23.36,23.52,12521200,23.52
20130403,0,23.78,23.88,23.24,23.38,14934300,23.38
20130402,0,23.77,23.9,23.6,23.78,14724800,23.78
20130401,0,23.31,23.62,23.19,23.5,12344300,23.5
20130328,0,23.63,23.77,23.45,23.53,17611900,23.53
20130327,0,23.54,23.83,23.41,23.59,13943600,23.59
20130326,0,23.46,23.62,23.35,23.59,16893200,23.59
20130325,0,23.41,23.88,23.31,23.38,23138900,23.38
20130322,0,22.88,23.26,22.72,23.26,18062100,23.26
20130321,0,22.39,22.95,22.36,22.86,24719100,22.86
20130320,0,22.03,22.33,21.95,22.1,18094100,22.1
20130319,0,22.06,22.33,21.89,22.17,12846900,22.17
20130318,0,21.9,22.17,21.87,22.01,15071700,22.01
20130315,0,22.34,22.39,21.97,22.07,33557400,22.07
20130314,0,22.47,22.75,22.41,22.43,12798500,22.43
20130313,0,22.48,22.48,22.16,22.34,13956200,22.34
20130312,0,22.51,22.58,22.19,22.4,12012300,22.4
20130311,0,22.8,23,22.57,22.6,16489200,22.6
20130308,0,22.92,22.96,22.71,22.9,10583500,22.9
20130307,0,22.92,23,22.65,22.7,12881800,22.7
20130306,0,23.08,23.09,22.71,22.8,15193900,22.8
20130305,0,22.91,23.08,22.61,22.95,30497400,22.95
20130304,0,22.37,22.74,22.2,22.7,30075300,22.7
20130301,0,21.36,22.28,21.26,21.94,33776700,21.94
20130228,0,21.06,21.57,21.05,21.31,18873700,21.31
20130227,0,20.81,21.31,20.69,21.16,15697300,21.16
20130226,0,20.68,20.85,20.58,20.76,14038200,20.76
20130225,0,21.26,21.32,20.72,20.73,13334900,20.73
20130222,0,20.87,21.31,20.85,21.22,13673300,21.22
20130221,0,20.92,21,20.74,20.83,13296100,20.83
20130220,0,21.31,21.45,20.9,20.92,14438900,20.92
20130219,0,21.03,21.41,20.97,21.29,16665800,21.29
20130215,0,21.15,21.25,20.9,21.02,12584000,21.02
20130214,0,21.1,21.26,21.06,21.18,12817900,21.18
20130213,0,21.15,21.43,21.07,21.15,18797900,21.15
20130212,0,20.94,21.4,20.89,21.21,27750200,21.21
20130211,0,20.44,20.98,20.39,20.9,22089900,20.9
20130208,0,20.38,20.61,20.3,20.5,22249700,20.5
20130207,0,20.1,20.43,19.93,20.32,24705600,20.32
20130206,0,19.63,19.9,19.59,19.85,15392300,19.85
20130205,0,19.49,19.78,19.42,19.66,13559800,19.66
20130204,0,19.76,19.81,19.31,19.34,23906500,19.34
20130201,0,19.77,19.83,19.58,19.76,27610600,19.76
20130131,0,19.92,19.99,19.57,19.63,34973700,19.63
20130130,0,19.92,20.12,19.69,20.12,36572300,20.12
20130129,0,20.87,20.88,19.68,19.7,57652300,19.7
20130128,0,20.5,20.5,20.2,20.31,39510100,20.31
20130125,0,20.43,20.48,20.23,20.37,14954300,20.37
20130124,0,20.08,20.52,20.07,20.44,13711400,20.44
20130123,0,19.98,20.19,19.91,20.11,13857900,20.11
20130122,0,19.91,19.95,19.72,19.9,13866900,19.9
20130118,0,20.07,20.17,19.97,20.02,13535100,20.02
20130117,0,20.14,20.21,20,20.13,14500600,20.13
20130116,0,19.91,20.14,19.62,20.07,33291700,20.07
20130115,0,19.28,19.54,19.28,19.52,16087600,19.52
20130114,0,19.33,19.54,19.25,19.43,13828400,19.43
20130111,0,19.05,19.38,18.89,19.29,21552200,19.29
20130110,0,19.19,19.38,18.93,18.99,30647000,18.99
20130109,0,19.73,19.75,19.22,19.32,21646700,19.32
20130108,0,19.32,19.68,19.3,19.66,16931700,19.66
20130107,0,19.56,19.58,19.28,19.4,23864500,19.4
20130104,0,19.76,19.95,19.72,19.86,12489600,19.86
20130103,0,20.05,20.1,19.72,19.78,19504400,19.78
20130102,0,20.2,20.32,20.01,20.08,20463100,20.08
20121231,0,19.43,19.97,19.4,19.9,20645100,19.9
20121228,0,19.44,19.57,19.28,19.5,16667800,19.5
20121227,0,19.54,19.67,19.44,19.6,13999400,19.6
20121226,0,19.7,19.75,19.52,19.57,9376200,19.57
20121224,0,19.45,19.66,19.38,19.65,11431500,19.65
20121221,0,19.49,19.49,19.23,19.35,32727700,19.35
20121220,0,19.58,19.71,19.41,19.69,24572800,19.69
20121219,0,19.59,19.69,19.58,19.6,12351400,19.6
20121218,0,19.72,19.76,19.58,19.62,17094600,19.62
20121217,0,19.72,19.74,19.53,19.69,14760300,19.69
20121214,0,19.4,19.72,19.4,19.64,19580400,19.64
20121213,0,19.44,19.54,19.26,19.35,20454600,19.35
20121212,0,19.56,19.6,19.34,19.38,22899200,19.38
20121211,0,19.53,19.63,19.43,19.52,19049500,19.52
20121210,0,19.18,19.47,19.15,19.43,24127800,19.43
20121207,0,19.16,19.3,19.06,19.2,19159700,19.2
20121206,0,18.78,19.28,18.77,19.2,25312800,19.2
20121205,0,18.98,19.03,18.77,18.89,24739100,18.89
20121204,0,18.64,18.96,18.6,18.93,30725600,18.93
20121203,0,18.55,18.84,18.34,18.55,29603000,18.55
20121130,0,18.9,18.95,18.69,18.77,24075300,18.77
20121129,0,18.95,19.03,18.85,18.87,27259800,18.87
20121128,0,18.78,18.95,18.53,18.91,30313200,18.91
20121127,0,18.87,19.16,18.8,18.93,29330500,18.93
20121126,0,18.88,19,18.7,18.76,34042700,18.76
20121123,0,18.5,18.59,18.4,18.57,7714800,18.57
20121121,0,18.24,18.5,18.2,18.4,19584800,18.4
20121120,0,18.44,18.5,18.19,18.24,26228200,18.24
20121119,0,18.02,18.37,17.87,18.36,32995900,18.36
20121116,0,17.91,18.02,17.76,17.86,31014300,17.86
20121115,0,17.82,18.16,17.74,17.89,35659000,17.89
20121114,0,17.9,18.08,17.75,17.83,36398900,17.83
20121113,0,17.42,17.85,17.38,17.85,29016900,17.85
20121112,0,17.18,17.56,17.17,17.51,22361500,17.51
20121109,0,17.22,17.52,17.18,17.26,23832100,17.26
20121108,0,17.3,17.5,17.23,17.24,20322000,17.24
20121107,0,17.24,17.56,17.18,17.39,24344200,17.39
20121106,0,17.44,17.53,17.32,17.46,26321200,17.46
20121105,0,17.1,17.43,17.01,17.37,31854300,17.37
20121102,0,17,17.14,16.95,17.11,27568700,17.11
20121101,0,16.9,17.05,16.86,16.95,19764900,16.95
20121031,0,16.81,16.89,16.6,16.84,21058800,16.84
20121026,0,16.54,16.82,16.52,16.79,23374200,16.79
20121025,0,16.72,16.77,16.49,16.61,23080800,16.61
20121024,0,16.78,16.8,16.48,16.55,25119700,16.55
