date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,33.34,34.78,33.2,34.51,3421500,34.51
20140113,0,33.75,34.27,32.86,33.3,3529500,33.3
20140110,0,33.14,33.87,32.61,33.69,2098400,33.69
20140109,0,34.15,34.24,32.65,33,2643500,33
20140108,0,35.24,35.73,33.15,33.55,5818200,33.55
20140107,0,34.03,35.33,33.92,34.82,3568300,34.82
20140106,0,31.81,34.65,31.4,33.92,6507600,33.92
20140103,0,32,32.17,31.17,31.5,2511600,31.5
20140102,0,30.02,31.96,30,31.8,2660400,31.8
20131231,0,30.64,31.16,29.93,30.3,1685500,30.3
20131230,0,30.87,31,30.12,30.28,1440900,30.28
20131227,0,30.91,31.54,30.76,30.94,2107200,30.94
20131226,0,30.11,31,30.01,30.72,1861400,30.72
20131224,0,30.15,30.48,29.32,30.11,1208400,30.11
20131223,0,29,30.2,28.9,30.13,2217100,30.13
20131220,0,29.02,29.55,28.6,28.67,3212800,28.67
20131219,0,28.76,29.29,28.25,29.14,2752800,29.14
20131218,0,29.06,29.26,27.95,29.15,2547000,29.15
20131217,0,28.97,29.68,28.81,28.91,1627800,28.91
20131216,0,30.98,31.03,28.64,28.83,4079300,28.83
20131213,0,30.13,31.52,29.96,30.88,2615300,30.88
20131212,0,30.25,30.46,29.4,29.95,2033100,29.95
20131211,0,31.5,31.86,29.56,29.62,3872700,29.62
20131210,0,30.14,32.3,30.14,31.54,3769600,31.54
20131209,0,30.36,30.92,29.64,30.5,2426300,30.5
20131206,0,31.59,31.82,29.65,30.25,6054500,30.25
20131205,0,29.91,32.1,29.29,31.63,5745400,31.63
20131204,0,28.01,30.38,27.96,29.95,4875000,29.95
20131203,0,28.15,29.14,28.02,28.18,2784100,28.18
20131202,0,28.18,29.06,27.78,28.32,4334600,28.32
20131129,0,26.9,28.46,26.9,28.18,1622900,28.18
20131127,0,27.28,27.47,26.92,27.17,1877300,27.17
20131126,0,26.41,27.44,25.9,27.02,4617100,27.02
20131125,0,28.17,28.86,26.26,26.35,3299000,26.35
20131122,0,28.05,28.7,27.6,28.37,2736500,28.37
20131121,0,27.47,28.29,27.42,27.68,2398400,27.68
20131120,0,28.16,28.8,27.29,27.36,4281000,27.36
20131119,0,29.8,30.06,28.15,28.25,9079600,28.25
20131118,0,29.08,31.77,29,30.05,12367600,30.05
20131115,0,28.62,29.73,28,29.3,13712300,29.3
20131114,0,27.15,27.25,25.79,26.36,7111500,26.36
20131113,0,26.87,27.29,26.18,27.15,3648600,27.15
20131112,0,26.59,27.28,26.07,26.38,1627100,26.38
20131111,0,26.56,27.48,26.1,26.71,3651500,26.71
20131108,0,25.5,25.94,25.04,25.86,1862200,25.86
20131107,0,26.44,26.44,24.8,25.35,4157900,25.35
20131106,0,27.35,27.35,26.23,26.39,2930700,26.39
20131105,0,27.14,27.35,26.65,27.02,2597100,27.02
20131104,0,27.48,27.87,27.13,27.5,2043100,27.5
20131101,0,27.25,27.69,26.76,27.09,2021100,27.09
20131031,0,27.23,27.78,26.5,27.24,2066900,27.24
20131030,0,28.51,28.58,26.77,27.2,4309400,27.2
20131029,0,27.18,28.06,26,27.85,3891300,27.85
20131028,0,27.92,28.2,26.5,26.86,3773200,26.86
20131025,0,29.86,29.86,27.64,28.34,4159100,28.34
20131024,0,29.1,30.2,29.08,29.21,2883600,29.21
20131023,0,29.87,30.05,29,29.13,4012700,29.13
20131022,0,30.84,31.49,28.3,30.52,5862500,30.52
20131021,0,30.14,30.73,29.75,30.49,4037400,30.49
20131018,0,28.95,30.14,28.93,30.09,5338600,30.09
20131017,0,27.93,28.83,27.69,28.05,3087400,28.05
20131016,0,28.79,29.34,27.97,28.11,4573400,28.11
20131015,0,30.13,30.36,28.45,28.71,3177200,28.71
20131014,0,29.2,30.19,28.51,29.94,2615900,29.94
20131011,0,28.62,29.6,28.46,29.55,3441900,29.55
20131010,0,27.63,28.92,27.63,28.63,4255300,28.63
20131009,0,27.86,27.86,25.81,26.9,6026900,26.9
20131008,0,30.6,31.1,27.36,27.42,6073200,27.42
20131007,0,30.64,31.34,30.12,30.58,4004400,30.58
20131004,0,29.42,30.95,28.93,30.76,3705700,30.76
20131003,0,30.09,30.26,28.49,29,2677900,29
20131002,0,28.3,30.33,28.08,29.84,4595500,29.84
20131001,0,27.65,28.7,27.14,28.66,2525800,28.66
20130930,0,27.45,27.94,26.7,27.4,2358600,27.4
20130927,0,28.09,28.69,27.53,28.12,2727000,28.12
20130926,0,27.06,28.84,27.06,28.46,4463900,28.46
20130925,0,26.75,27.4,26.68,27,3395500,27
20130924,0,26.96,27.4,26.48,26.57,2731600,26.57
20130923,0,27.34,27.69,26.71,27.01,3693800,27.01
20130920,0,28.86,28.89,26.75,27.08,4003200,27.08
20130919,0,28.52,29.3,28.31,28.71,3596400,28.71
20130918,0,27,28.65,26.88,28.45,3928600,28.45
20130917,0,26.5,27.17,25.81,27.03,2633500,27.03
20130916,0,26.91,27.9,26.21,26.42,4374600,26.42
20130913,0,24.54,26.85,23.54,26.83,11231300,26.83
20130912,0,23.53,25.18,23.51,24.63,6355000,24.63
20130911,0,23.65,24.3,23.26,23.43,2766100,23.43
20130910,0,24.01,24.15,23.45,23.84,2276400,23.84
20130909,0,24.3,24.3,23.35,23.89,2382300,23.89
20130906,0,24.5,24.56,23.73,24.01,1694700,24.01
20130905,0,23.51,24.79,23.51,24.32,2191900,24.32
20130904,0,23.79,24.15,23.12,23.52,1051800,23.52
20130903,0,23.4,24.17,23.31,23.67,1255500,23.67
20130830,0,23.72,23.85,22.88,23.19,1997600,23.19
20130829,0,23.84,24.44,23.81,23.96,1366800,23.96
20130828,0,22.85,23.99,22.81,23.72,1239500,23.72
20130827,0,23.51,23.85,22.76,23.01,1664300,23.01
20130826,0,23.9,24.94,23.76,24.12,2645100,24.12
20130823,0,23.17,23.85,23.14,23.76,1669400,23.76
20130822,0,22.92,23.5,22.69,23.35,1570700,23.35
20130821,0,21.46,23.19,21.4,22.63,2995300,22.63
20130820,0,21.4,21.76,21.1,21.5,1119100,21.5
20130819,0,21.32,21.94,21.08,21.4,2130300,21.4
20130816,0,21.44,21.44,21,21.24,1604800,21.24
20130815,0,22.3,22.33,21.08,21.44,2599000,21.44
20130814,0,23.02,23.18,22.1,22.33,3093200,22.33
20130813,0,23,23.57,22.5,23.2,2884000,23.2
20130812,0,22.96,23.53,22.61,22.97,3813800,22.97
20130809,0,23.39,23.7,22,23.29,11983600,23.29
20130808,0,24.43,25.8,24.43,25.4,5066200,25.4
20130807,0,25.05,25.16,23.71,23.94,3361400,23.94
20130806,0,25.14,26.37,24.96,25.48,5458500,25.48
20130805,0,25,25.68,24.31,25.27,3657100,25.27
20130802,0,24.5,25.26,23.8,25.02,7013800,25.02
20130801,0,22.58,24.7,22.58,23.78,5033200,23.78
20130731,0,20.63,22.38,20.6,22.18,4193100,22.18
20130730,0,21.34,21.34,20.41,20.81,1331100,20.81
20130729,0,21.09,21.79,20.92,21.01,3180100,21.01
20130726,0,20.43,21.92,20.43,21.27,4145600,21.27
20130725,0,19.87,20.55,19.8,20.5,2822800,20.5
20130724,0,19.9,20.09,18.81,19.35,2265100,19.35
20130723,0,20.12,20.3,19.61,19.75,806000,19.75
20130722,0,20.2,20.26,19.79,19.95,985900,19.95
20130719,0,20.45,20.58,20.11,20.27,845100,20.27
20130718,0,19.69,20.55,19.69,20.47,3276900,20.47
20130717,0,19.8,19.8,19.49,19.71,1128900,19.71
20130716,0,19.75,20.17,19.68,19.71,1498600,19.71
20130715,0,18.76,19.98,18.61,19.67,2088000,19.67
20130712,0,18.58,18.96,18.39,18.72,1226100,18.72
20130711,0,18.43,18.74,18.22,18.71,1154800,18.71
20130710,0,18.46,18.71,17.9,18.05,1859700,18.05
20130709,0,19.13,19.13,18.43,18.49,1111800,18.49
20130708,0,19.11,19.34,18.79,18.97,1785800,18.97
20130705,0,18.71,19.25,18.67,19.05,1038400,19.05
20130703,0,18.3,18.83,18.12,18.39,956800,18.39
20130702,0,18.81,19.23,18.12,18.25,1220800,18.25
20130701,0,19.37,19.76,19.16,19.17,736900,19.17
20130628,0,19.27,19.47,18.83,19.19,845800,19.19
20130627,0,18.99,19.46,18.96,19.22,1330200,19.22
20130626,0,18.78,19.29,18.71,18.92,1135000,18.92
20130625,0,18.08,18.67,18.03,18.51,1060000,18.51
20130624,0,18.81,18.81,17.69,17.96,2731300,17.96
20130621,0,19.2,19.4,18.95,19.23,1524200,19.23
20130620,0,19.8,19.9,18.72,18.85,2430000,18.85
20130619,0,20.54,20.57,19.95,20.03,866700,20.03
20130618,0,20.56,20.95,20.53,20.68,664600,20.68
20130617,0,20.25,20.87,20.25,20.65,791600,20.65
20130614,0,20.38,20.66,20.09,20.31,730300,20.31
20130613,0,20.38,20.43,19.66,20.38,1407600,20.38
20130612,0,20.92,21.17,20.49,20.54,592200,20.54
20130611,0,21.16,21.24,20.69,20.77,1114200,20.77
20130610,0,20.88,21.79,20.75,21.48,1634600,21.48
20130607,0,20.88,21.12,20.66,20.95,1665700,20.95
20130606,0,20.22,20.48,20.1,20.42,888100,20.42
20130605,0,19.96,20.38,19.84,20.22,1877200,20.22
20130604,0,20.46,20.65,20.09,20.15,581500,20.15
20130603,0,20.4,20.49,19.66,20.45,2122800,20.45
20130531,0,20.73,21.12,20.42,20.45,1648900,20.45
20130530,0,20.42,20.94,20.42,20.79,1355500,20.79
20130529,0,20.7,20.8,20.33,20.49,1868900,20.49
20130528,0,20.34,20.97,20.15,20.75,2483600,20.75
20130524,0,19.37,20.42,19.37,20.06,1939600,20.06
20130523,0,18.97,19.76,18.57,19.64,1736500,19.64
20130522,0,20.42,21.1,19.16,19.34,2352100,19.34
20130521,0,19.91,20.98,19.83,20.54,2630400,20.54
20130520,0,19.03,20.15,18.78,19.96,3225200,19.96
20130517,0,21.48,21.48,18.87,19.1,7219500,19.1
20130516,0,21.81,22.5,20.83,21.08,5140800,21.08
20130515,0,20.2,22.12,20.15,21.18,4648500,21.18
20130514,0,20.05,20.38,19.7,20.2,2631900,20.2
20130513,0,19.21,20.24,19.21,19.99,3211600,19.99
20130510,0,19.5,19.53,18.78,19.41,3345100,19.41
20130509,0,19.6,20.46,19.38,19.41,3749500,19.41
20130508,0,19.56,19.82,19.38,19.61,1396800,19.61
20130507,0,19.82,20.09,19.39,19.5,2181500,19.5
20130506,0,19.95,20.15,19.71,19.85,1229100,19.85
20130503,0,19.83,20,19.73,19.88,995900,19.88
20130502,0,19.72,19.9,19.53,19.74,1172800,19.74
20130501,0,20.4,20.4,19.7,19.83,1514400,19.83
20130430,0,20.16,20.64,19.94,20.26,1821500,20.26
20130429,0,19.15,20.41,18.91,20.09,3733700,20.09
20130426,0,18.44,19.12,18.26,18.91,1704000,18.91
20130425,0,18.44,19.03,18,18.82,2486000,18.82
20130424,0,17.27,19.02,17.26,18.47,4020000,18.47
20130423,0,16.96,17.68,16.76,17.39,2031900,17.39
20130422,0,17.12,17.16,16.81,16.97,1227700,16.97
20130419,0,17.29,17.32,16.95,17.21,1698800,17.21
20130418,0,17.02,17.26,16.53,17.11,1034200,17.11
20130417,0,17.16,17.38,16.69,16.95,1409200,16.95
20130416,0,17.07,17.42,16.85,17.36,1815800,17.36
20130415,0,17.14,17.5,16.6,16.82,2353300,16.82
20130412,0,16.71,17.48,16.4,17.39,1758200,17.39
20130411,0,17.01,17.28,16.69,16.78,1056700,16.78
20130410,0,16.82,17.29,16.6,16.99,1465900,16.99
20130409,0,16.41,16.9,16.13,16.8,1562200,16.8
20130408,0,16.23,16.69,16.15,16.36,1244200,16.36
20130405,0,15.54,16.58,15.54,16.25,2199900,16.25
20130404,0,16.12,16.12,15.65,15.92,1712400,15.92
20130403,0,16.66,16.81,15.86,16,2047400,16
20130402,0,16.45,16.67,16.23,16.62,2035800,16.62
20130401,0,16.83,16.96,16.23,16.35,1396800,16.35
20130328,0,16.77,17,16.6,16.77,1118600,16.77
20130327,0,16.78,17.2,16.75,16.86,1777800,16.86
20130326,0,17.25,17.28,16.72,16.88,2394800,16.88
20130325,0,17.5,17.52,17.01,17.22,1530300,17.22
20130322,0,17.5,17.64,17.1,17.5,1370600,17.5
20130321,0,17.43,17.76,17.39,17.46,1354900,17.46
