date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,63.5,67.21,63.27,67,2228400,67
20140113,0,64.47,67.27,61.56,62.77,3237400,62.77
20140110,0,61.56,64.7,61.16,64.4,1433400,64.4
20140109,0,63.61,64.28,60.51,60.96,1874700,60.96
20140108,0,63.27,64.5,61.7,63.38,2463600,63.38
20140107,0,57.91,62.95,57.9,62.18,3261000,62.18
20140106,0,58.18,58.48,55.18,57.34,2492700,57.34
20140103,0,53.05,58.35,53.01,58.02,5312500,58.02
20140102,0,50,52.51,50,52.46,2814900,52.46
20131231,0,49.87,50.63,49.32,50.28,597900,50.28
20131230,0,50.61,51,49.57,49.75,762700,49.75
20131227,0,48.95,51.22,48.8,50.45,1271100,50.45
20131226,0,49.71,50.1,48.88,48.96,294700,48.96
20131224,0,50.05,50.15,49.12,49.99,342900,49.99
20131223,0,49.09,50.22,48.54,50.05,701400,50.05
20131220,0,48.47,49.72,47.62,49.08,834800,49.08
20131219,0,47.22,48.38,47.21,48.19,425200,48.19
20131218,0,49.06,49.49,46.64,47.85,878900,47.85
20131217,0,48.01,49.32,47.25,49.11,603500,49.11
20131216,0,50.08,50.25,47.66,48.08,772500,48.08
20131213,0,50.02,50.35,49.69,49.9,353800,49.9
20131212,0,48.79,50.3,48.77,49.8,476600,49.8
20131211,0,50.6,51.15,48.78,49.01,802900,49.01
20131210,0,49.12,50.58,49.12,50.15,659500,50.15
20131209,0,49.86,50.3,49.15,50.06,950700,50.06
20131206,0,52.06,52.25,49.2,49.53,1271300,49.53
20131205,0,50.94,51.75,50.77,51.7,438600,51.7
20131204,0,50.8,51.78,50.5,51.39,502000,51.39
20131203,0,51.64,51.84,50.57,51.28,490700,51.28
20131202,0,50.71,52.05,49.98,51.98,1161400,51.98
20131129,0,50.07,51.15,50,50.38,589300,50.38
20131127,0,49.52,50.4,49,50,806600,50
20131126,0,47.3,49.39,46.32,49.3,1060000,49.3
20131125,0,50.35,50.69,47,47.31,1852600,47.31
20131122,0,52.6,52.6,49.75,50.28,850000,50.28
20131121,0,51.26,52.49,51.26,51.72,603600,51.72
20131120,0,50.27,52.17,49.68,51.01,1054700,51.01
20131119,0,52.12,52.87,49.61,50.07,1986900,50.07
20131118,0,55.15,56.75,50.56,52.06,2613200,52.06
20131115,0,53.5,54.98,53.05,54.14,2210800,54.14
20131114,0,52.31,53.46,50.8,52.68,1832400,52.68
20131113,0,48.47,54.01,48,54,2288800,54
20131112,0,49.06,50.67,49.06,49.28,1128300,49.28
20131111,0,47.91,49.8,47.38,49.03,1186300,49.03
20131108,0,47.67,49.5,46.06,47.47,1943300,47.47
20131107,0,49.89,50.5,47.21,47.73,1900700,47.73
20131106,0,55.54,56.16,47.66,48.01,5702900,48.01
20131105,0,53.85,54,52.08,53.89,1897500,53.89
20131104,0,50,54.75,49.83,54.55,3214800,54.55
20131101,0,49.25,49.93,48,49.75,1092900,49.75
20131031,0,46.81,50,45.55,49.17,1620500,49.17
20131030,0,50.41,50.79,46.81,47.5,2112400,47.5
20131029,0,44.56,49.88,43.5,49.78,3705100,49.78
20131028,0,45.96,48.32,42.6,43.1,3997700,43.1
20131025,0,49.2,50.47,45.23,46.22,2453500,46.22
20131024,0,49.01,51.98,48.63,49.18,2790100,49.18
20131023,0,49.49,50.4,47.58,48.13,1506100,48.13
20131022,0,53.63,54.7,47.49,50.94,2726400,50.94
20131021,0,55.08,55.35,51.78,53.39,2305400,53.39
20131018,0,54.5,55.28,53.5,54.98,1748500,54.98
20131017,0,52.61,54.09,52.02,53.33,1333300,53.33
20131016,0,50.68,53.18,50.67,52.61,2089700,52.61
20131015,0,50.26,52.69,49,50.44,1723400,50.44
20131014,0,48.41,50.55,47.63,50.08,1687000,50.08
20131011,0,47.67,50.3,46.51,50,2649400,50
20131010,0,45.38,47.31,44.52,47.01,1556300,47.01
20131009,0,42.9,44.93,41.6,43.93,2597300,43.93
20131008,0,48.81,49.6,41.28,41.71,3273300,41.71
20131007,0,50.1,50.31,47.01,49.09,1491300,49.09
20131004,0,49.2,50.45,48.76,49.72,910500,49.72
20131003,0,50.28,51.5,48.05,48.4,2018800,48.4
20131002,0,48,50.9,47,50.47,1882400,50.47
20131001,0,46.75,48.1,45.09,48.09,1161600,48.09
20130930,0,46.68,47.95,46.41,46.78,830600,46.78
20130927,0,48.88,48.88,47,48.22,724800,48.22
20130926,0,47.58,49.25,46.99,48.9,1297800,48.9
20130925,0,46.26,47.25,45.61,46.69,619600,46.69
20130924,0,46.74,48,45.6,46.07,1187000,46.07
20130923,0,48.93,48.94,44.77,46.59,2310900,46.59
20130920,0,50.7,51.38,48.75,48.94,1594600,48.94
20130919,0,49.04,50.94,48.45,50.07,2189400,50.07
