Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
AAIT,iShares MSCI All Country Asia Information Technology Index Fund,G,N,N,100
AAME,Atlantic American Corporation - Common Stock,G,N,N,100
AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,100
AAON,"AAON, Inc. - Common Stock",Q,N,N,100
AAPL,Apple Inc. - Common Stock,Q,N,N,100
AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100
ABAX,"ABAXIS, Inc. - Common Stock",Q,N,N,100
ABCB,Ameris Bancorp - Common Stock,Q,N,N,100
ABCD,"Cambium Learning Group, Inc. - Common Stock",S,N,D,100
ABCO,The Advisory Board Company - Common Stock,Q,N,N,100
ABFS,Arkansas Best Corporation - Common Stock,Q,N,N,100
ABGB,"Abengoa, S.A. - American Depositary Shares",Q,N,N,100
ABIO,"ARCA biopharma, Inc. - Common Stock",S,N,N,100
ABMD,"ABIOMED, Inc. - Common Stock",Q,N,N,100
ABTL,Autobytel Inc. - Common Stock,S,N,N,100
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,G,N,N,100
ACAS,"American Capital, Ltd. - Common Stock",Q,N,N,100
ACAT,Arctic Cat Inc. - Common Stock,Q,N,N,100
ACCL,"Accelrys, Inc. - Common Stock",Q,N,N,100
ACET,Aceto Corporation - Common Stock,Q,N,N,100
ACFC,Atlantic Coast Federal Corporation - Common Stock,G,N,N,100
ACFN,"Acorn Energy, Inc. - Common Stock",G,N,N,100
ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,100
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100
ACHN,"Achillion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
ACIW,"ACI Worldwide, Inc. - Common Stock",Q,N,N,100
ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,N,N,100
ACNB,ACNB Corporation - Common Stock,S,N,N,100
ACOR,"Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100
ACPW,"Active Power, Inc. - Common Stock",S,N,N,100
ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ACST,"Acasti Pharma, Inc. - Class A Common Stock",S,N,N,100
ACTG,Acacia Research Corporation - Common Stock,Q,N,N,100
ACTS,"Actions Semiconductor Co., Ltd. - American Depositary Shares, each representing Six Ordinary Shares",Q,N,N,100
ACUR,"Acura Pharmaceuticals, Inc. - Common Stock",S,N,N,100
ACWI,iShares MSCI ACWI Index Fund,G,N,N,100
ACWX,iShares MSCI ACWI ex US Index Fund,G,N,N,100
ACXM,Acxiom Corporation - Common Stock,Q,N,N,100
ADAT,Authentidate Holding Corp. - Common Stock,S,N,N,100
ADBE,Adobe Systems Incorporated - Common Stock,Q,N,N,100
ADEP,"Adept Technology, Inc. - Common Stock",S,N,N,100
ADES,"Advanced Emissions Solutions, Inc. - Common Stock",S,N,N,100
