pid,method,repetition,timeperiod,profit
T2,NoTimeFork,4,D1,-2967.43
T2,TimeFork,4,D0,17588.55
T3,NoTimeFork,4,D0,5561.73
T3,TimeFork,4,D1,14056.33
T4,TimeFork,4,D0,41991.15
T4,NoTimeFork,4,D1,9394.99
T5,NoTimeFork,4,D1,6077.03
T5,TimeFork,4,D0,19275.14
T6,NoTimeFork,4,D0,16353.74
T6,TimeFork,4,D1,4128.65
T7,TimeFork,4,D0,23922.48
T7,NoTimeFork,4,D1,3807.8
T8,TimeFork,4,D1,3683.81
T8,NoTimeFork,4,D0,6216.3
T9,NoTimeFork,4,D0,6968.03
T9,TimeFork,4,D1,4073.67
T10,TimeFork,4,D0,23488.92
T10,NoTimeFork,4,D1,11431.11
T11,TimeFork,4,D1,-643.93
T11,NoTimeFork,4,D0,13976.44
T12,NoTimeFork,4,D1,7067.23
T12,TimeFork,4,D0,24354.2
T13,TimeFork,4,D0,13650
T13,NoTimeFork,4,D1,3368.78
T14,TimeFork,4,D1,4224.42
T14,NoTimeFork,4,D0,9910.41
