pid,method,stockId,repetition,timeperiod,investment,profit,percentprofit
T2,No-TimeFork,TSLA,1,1,40000,2780.33,6.950825
T2,No-TimeFork,TSLA,2,1,19858,-778.27,-3.91917615067
T2,No-TimeFork,TSLA,4,1,5000,-232.25,-4.645
T2,TimeFork,TSLA,1,0,15000,433.50,2.89
T2,TimeFork,TSLA,2,0,50000,5738.91,11.47782
T2,TimeFork,TSLA,3,0,65000,5677.18,8.73412307692
T2,TimeFork,TSLA,4,0,60000,3018.93,5.03155
T3,No-TimeFork,TSLA,1,0,10000,113.26,1.1326
T3,No-TimeFork,TSLA,2,0,6866,894.46,13.0273812992
T3,No-TimeFork,TSLA,3,0,12324,1076.39,8.7340960727
T3,No-TimeFork,TSLA,4,0,14617,368.30,2.5196688787
T3,TimeFork,TSLA,1,1,25000,12280.39,49.12156
T3,TimeFork,TSLA,2,1,30000,-153.66,-0.5122
T4,TimeFork,TSLA,1,0,50000,8499.26,16.99852
T4,TimeFork,TSLA,2,0,110610.35,16584.12,14.9932804661
T4,TimeFork,TSLA,4,0,130589.13,11402.02,8.73121675594
T4,No-TimeFork,TSLA,4,1,35833,1819.23,5.07696815784
T5,No-TimeFork,TSLA,4,1,30000,-1784.67,-5.9489
T5,TimeFork,TSLA,2,0,40000,5210.93,13.027325
T5,TimeFork,TSLA,3,0,30501,2745.84,9.00245893577
T5,TimeFork,TSLA,4,0,30000,1509.46,5.03153333333
T6,No-TimeFork,TSLA,1,0,2500,26.18,1.0472
T6,No-TimeFork,TSLA,2,0,40000,4447.83,11.119575
T6,No-TimeFork,TSLA,3,0,70000,6113.88,8.73411428571
T6,No-TimeFork,TSLA,4,0,44789,1128.53,2.51965884481
T6,TimeFork,TSLA,1,1,65000,3966.65,6.10253846154
T6,TimeFork,TSLA,2,1,25000,-992.71,-3.97084
T6,TimeFork,TSLA,3,1,35000,-604.32,-1.72662857143
T6,TimeFork,TSLA,4,1,60000,-1512.64,-2.52106666667
T7,TimeFork,TSLA,1,0,10000,720.48,7.2048
T7,TimeFork,TSLA,2,0,85000,11073.22,13.0273176471
T7,TimeFork,TSLA,3,0,60000,5401.48,9.00246666667
T7,TimeFork,TSLA,4,0,40000,4258.90,10.64725
T7,No-TimeFork,TSLA,4,1,60000,-1916.20,-3.19366666667
T8,TimeFork,TSLA,1,1,20000,-231.09,-1.15545
T8,TimeFork,TSLA,2,1,3315.63,67.15,2.02525613533
T8,TimeFork,TSLA,3,1,36820.66,-1777.63,-4.82780591114
T8,TimeFork,TSLA,4,1,2417.06,-77.19,-3.19354918786
T8,No-TimeFork,TSLA,1,0,5000,52.36,1.0472
T8,No-TimeFork,TSLA,2,0,4000,521.09,13.02725
T8,No-TimeFork,TSLA,3,0,3000,174.85,5.82833333333
T8,No-TimeFork,TSLA,4,0,5407,495.47,9.16349176993
T9,No-TimeFork,TSLA,1,0,5000,52.36,1.0472
T9,No-TimeFork,TSLA,2,0,10000,680.25,6.8025
T9,No-TimeFork,TSLA,4,0,10000,275.72,2.7572
T9,TimeFork,TSLA,2,1,5,-0.20,-4.0
T9,TimeFork,TSLA,4,1,53245.9,-286.51,-0.538088378636
T10,TimeFork,TSLA,1,0,60000,4314.80,7.19133333333
T10,TimeFork,TSLA,2,0,49887,8047.16,16.1307755527
T10,TimeFork,TSLA,3,0,45000,3930.35,8.73411111111
T10,TimeFork,TSLA,4,0,40000,3802.48,9.5062
T10,No-TimeFork,TSLA,1,1,10000,728.71,7.2871
T10,No-TimeFork,TSLA,2,1,10000,-256.58,-2.5658
T10,No-TimeFork,TSLA,3,1,3001,-112.61,-3.75241586138
T10,No-TimeFork,TSLA,4,1,90728.79,2707.71,2.98439999034
T11,TimeFork,TSLA,3,1,21230,-1392.53,-6.55925577014
T11,TimeFork,TSLA,4,1,48138,-259.03,-0.538098799285
T11,No-TimeFork,TSLA,3,0,51292,4692.82,9.14922405053
T11,No-TimeFork,TSLA,4,0,50000,5697.49,11.39498
T12,No-TimeFork,TSLA,2,1,37393,-1527.00,-4.08365202043
T12,No-TimeFork,TSLA,3,1,33064,-2975.67,-8.99972780063
T12,No-TimeFork,TSLA,4,1,40000,1869.36,4.6734
T12,TimeFork,TSLA,1,0,55000,3955.23,7.19132727273
T12,TimeFork,TSLA,2,0,69700,7750.34,11.1195695839
T12,TimeFork,TSLA,3,0,27922,2016.09,7.22043549889
T12,TimeFork,TSLA,4,0,49978,4930.07,9.86448037136
T13,TimeFork,TSLA,1,0,25000,1801.20,7.2048
T13,TimeFork,TSLA,1,0,15000,1080.72,7.2048
T13,TimeFork,TSLA,2,0,17835,2876.92,16.1307541351
T13,TimeFork,TSLA,3,0,25000,2399.47,9.59788
T13,TimeFork,TSLA,4,0,25091,2385.20,9.50619744131
T13,No-TimeFork,TSLA,1,1,20000,1220.51,6.10255
T13,No-TimeFork,TSLA,2,1,15000,303.81,2.0254
T13,No-TimeFork,TSLA,3,1,15000,-562.84,-3.75226666667
T13,No-TimeFork,TSLA,4,1,47031,-3681.22,-7.82722034403
T14,TimeFork,TSLA,1,1,10000,240.80,2.408
T14,TimeFork,TSLA,2,1,50000,-1282.89,-2.56578
T14,TimeFork,TSLA,3,1,67433.81,-2530.31,-3.75228687212
T14,TimeFork,TSLA,4,1,40000,-3130.89,-7.827225
T14,No-TimeFork,TSLA,1,0,20000,2376.73,11.88365
T14,No-TimeFork,TSLA,2,0,10000,1111.96,11.1196
T14,No-TimeFork,TSLA,3,0,34034,2972.57,8.73411882235
T14,No-TimeFork,TSLA,4,0,20000,2129.45,10.64725
